t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,276.603,940.610,118.305,-60.802,8.593,-8.798,1.744,0.484,0.000,0.000,0.000,3,10.965,13.948,0.999,"Ground_Mountain_0_1:(-0.226, 0.974, -0.020);Ground_Mountain_0_1:(-0.226, 0.974, -0.020);Ground_Mountain_0_1:(-0.226, 0.974, -0.020);Ground_Mountain_0_1:(-0.226, 0.974, -0.020);Ground_Mountain_0_1:(-0.226, 0.974, -0.020);Ground_Mountain_0_1:(-0.226, 0.974, -0.020);Ground_Mountain_0_1:(-0.225, 0.974, -0.019);Ground_Mountain_0_1:(-0.225, 0.974, -0.019);Ground_Mountain_0_1:(-0.225, 0.974, -0.019);Ground_Mountain_0_1:(-0.225, 0.974, -0.019);Ground_Mountain_0_1:(-0.225, 0.974, -0.019);Ground_Mountain_0_1:(-0.225, 0.974, -0.019);Ground_Mountain_0_1:(-0.224, 0.974, -0.018);Ground_Mountain_0_1:(-0.224, 0.974, -0.018);Ground_Mountain_0_1:(-0.224, 0.974, -0.018);Ground_Mountain_0_1:(-0.224, 0.974, -0.018);Ground_Mountain_0_1:(-0.224, 0.974, -0.018);Ground_Mountain_0_1:(-0.224, 0.974, -0.018);Ground_Mountain_0_1:(-0.223, 0.975, -0.018);Ground_Mountain_0_1:(-0.223, 0.975, -0.018);Ground_Mountain_0_1:(-0.223, 0.975, -0.018);Ground_Mountain_0_1:(-0.223, 0.975, -0.018);Ground_Mountain_0_1:(-0.223, 0.975, -0.018);Ground_Mountain_0_1:(-0.223, 0.975, -0.018);Ground_Mountain_0_1:(-0.223, 0.975, -0.018);Ground_Mountain_0_1:(-0.223, 0.975, -0.018);Ground_Mountain_0_1:(-0.223, 0.975, -0.018);Ground_Mountain_0_1:(-0.223, 0.975, -0.018);Ground_Mountain_0_1:(-0.223, 0.975, -0.018);Ground_Mountain_0_1:(-0.223, 0.975, -0.018);Ground_Mountain_0_1:(-0.210, 0.978, -0.016);Ground_Mountain_0_1:(-0.210, 0.978, -0.016);Ground_Mountain_0_1:(-0.210, 0.978, -0.016);Ground_Mountain_0_1:(-0.210, 0.978, -0.016);Ground_Mountain_0_1:(-0.210, 0.978, -0.016);Ground_Mountain_0_1:(-0.210, 0.978, -0.016);Ground_Mountain_0_1:(-0.193, 0.981, -0.015);Ground_Mountain_0_1:(-0.193, 0.981, -0.015);Ground_Mountain_0_1:(-0.193, 0.981, -0.015);Ground_Mountain_0_1:(-0.193, 0.981, -0.015);Ground_Mountain_0_1:(-0.193, 0.981, -0.015);Ground_Mountain_0_1:(-0.193, 0.981, -0.015);Ground_Mountain_0_1:(-0.192, 0.981, -0.014);Ground_Mountain_0_1:(-0.192, 0.981, -0.014);Ground_Mountain_0_1:(-0.192, 0.981, -0.014);Ground_Mountain_0_1:(-0.192, 0.981, -0.014);Ground_Mountain_0_1:(-0.192, 0.981, -0.014);Ground_Mountain_0_1:(-0.192, 0.981, -0.014);Ground_Mountain_0_1:(-0.191, 0.981, -0.013);Ground_Mountain_0_1:(-0.191, 0.981, -0.013);Ground_Mountain_0_1:(-0.191, 0.981, -0.013);Ground_Mountain_0_1:(-0.191, 0.981, -0.013);Ground_Mountain_0_1:(-0.191, 0.981, -0.013);Ground_Mountain_0_1:(-0.191, 0.981, -0.013);Ground_Mountain_0_1:(-0.190, 0.982, -0.012);Ground_Mountain_0_1:(-0.190, 0.982, -0.012);Ground_Mountain_0_1:(-0.190, 0.982, -0.012);Ground_Mountain_0_1:(-0.190, 0.982, -0.012);Ground_Mountain_0_1:(-0.190, 0.982, -0.012);Ground_Mountain_0_1:(-0.190, 0.982, -0.012);Ground_Mountain_0_1:(-0.190, 0.982, -0.012);Ground_Mountain_0_1:(-0.190, 0.982, -0.012);Ground_Mountain_0_1:(-0.190, 0.982, -0.012);Ground_Mountain_0_1:(-0.190, 0.982, -0.012);Ground_Mountain_0_1:(-0.190, 0.982, -0.012);Ground_Mountain_0_1:(-0.190, 0.982, -0.012);Ground_Mountain_0_1:(-0.190, 0.982, -0.012);Ground_Mountain_0_1:(-0.190, 0.982, -0.012);Ground_Mountain_0_1:(-0.190, 0.982, -0.012);Ground_Mountain_0_1:(-0.190, 0.982, -0.012);Ground_Mountain_0_1:(-0.190, 0.982, -0.012);Ground_Mountain_0_1:(-0.190, 0.982, -0.012);Ground_Mountain_0_1:(-0.126, 0.992, -0.005);Ground_Mountain_0_1:(-0.126, 0.992, -0.005);Ground_Mountain_0_1:(-0.145, 0.989, -0.009);Ground_Mountain_0_1:(-0.145, 0.989, -0.009);Ground_Mountain_0_1:(-0.145, 0.989, -0.009);Ground_Mountain_0_1:(-0.145, 0.989, -0.009);Ground_Mountain_0_1:(-0.145, 0.989, -0.009);Ground_Mountain_0_1:(-0.145, 0.989, -0.009);Ground_Mountain_0_1:(-0.144, 0.990, -0.009);Ground_Mountain_0_1:(-0.144, 0.990, -0.009);Ground_Mountain_0_1:(-0.144, 0.990, -0.009);Ground_Mountain_0_1:(-0.144, 0.990, -0.009);Ground_Mountain_0_1:(-0.144, 0.990, -0.009);Ground_Mountain_0_1:(-0.144, 0.990, -0.009);Ground_Mountain_0_1:(-0.144, 0.990, -0.009);Ground_Mountain_0_1:(-0.144, 0.990, -0.009);Ground_Mountain_0_1:(-0.144, 0.990, -0.009);Ground_Mountain_0_1:(-0.144, 0.990, -0.009);Ground_Mountain_0_1:(-0.144, 0.990, -0.009);Ground_Mountain_0_1:(-0.144, 0.990, -0.009);Ground_Mountain_0_1:(-0.143, 0.990, -0.008);Ground_Mountain_0_1:(-0.143, 0.990, -0.008);Ground_Mountain_0_1:(-0.143, 0.990, -0.008);Ground_Mountain_0_1:(-0.143, 0.990, -0.008);Ground_Mountain_0_1:(-0.143, 0.990, -0.008);Ground_Mountain_0_1:(-0.143, 0.990, -0.008);Ground_Mountain_0_1:(-0.143, 0.990, -0.008);Ground_Mountain_0_1:(-0.143, 0.990, -0.008);Ground_Mountain_0_1:(-0.143, 0.990, -0.008);Ground_Mountain_0_1:(-0.143, 0.990, -0.008);Ground_Mountain_0_1:(-0.143, 0.990, -0.008);Ground_Mountain_0_1:(-0.143, 0.990, -0.008);Ground_Mountain_0_1:(-0.143, 0.990, -0.008);Ground_Mountain_0_1:(-0.143, 0.990, -0.008);Ground_Mountain_0_1:(-0.143, 0.990, -0.008);Ground_Mountain_0_1:(-0.143, 0.990, -0.008);Ground_Mountain_0_1:(-0.143, 0.990, -0.008);Ground_Mountain_0_1:(-0.143, 0.990, -0.008);Ground_Mountain_0_1:(-0.073, 0.997, -0.005);Ground_Mountain_0_1:(-0.108, 0.994, -0.007);Ground_Mountain_0_1:(-0.108, 0.994, -0.007);Ground_Mountain_0_1:(-0.108, 0.994, -0.007);Ground_Mountain_0_1:(-0.108, 0.994, -0.007);Ground_Mountain_0_1:(-0.108, 0.994, -0.007);Ground_Mountain_0_1:(-0.108, 0.994, -0.007);Ground_Mountain_0_1:(-0.092, 0.996, -0.006);Ground_Mountain_0_1:(-0.092, 0.996, -0.006);Ground_Mountain_0_1:(-0.092, 0.996, -0.006);Ground_Mountain_0_1:(-0.092, 0.996, -0.006);Ground_Mountain_0_1:(-0.092, 0.996, -0.006);Ground_Mountain_0_1:(-0.092, 0.996, -0.006);Ground_Mountain_1_2:(-0.193, 0.680, 0.707);Ground_Mountain_1_2:(-0.193, 0.680, 0.707);Ground_Mountain_1_2:(-0.193, 0.680, 0.707);Ground_Mountain_1_2:(-0.193, 0.680, 0.707);Ground_Mountain_1_2:(-0.193, 0.680, 0.707);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);"
0.040,276.466,940.576,118.353,-60.766,1.868,-2.011,1.874,0.814,1.000,0.000,0.042,2,2.023,12.032,0.997,"Ground_Mountain_1_2:(-0.193, 0.681, 0.707);Ground_Mountain_1_2:(-0.193, 0.681, 0.707);Ground_Mountain_1_2:(-0.193, 0.681, 0.707);Ground_Mountain_1_2:(-0.193, 0.681, 0.707);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);"
0.060,276.446,940.570,118.383,-60.753,0.388,-0.422,1.522,0.407,1.000,0.000,0.033,1,0.000,0.991,0.996,"Ground_Mountain_1_2:(-0.189, 0.678, 0.711);Ground_Mountain_1_2:(-0.189, 0.678, 0.711);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);"
0.080,276.449,940.569,118.408,-60.743,0.103,-0.114,1.284,0.329,1.000,0.000,0.021,1,0.000,0.665,0.995,"Ground_Mountain_1_2:(-0.189, 0.678, 0.711);Ground_Mountain_1_2:(-0.189, 0.678, 0.711);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);"
0.100,276.455,940.570,118.430,-60.733,0.051,-0.054,1.080,0.314,1.000,0.000,0.011,1,0.000,0.627,0.993,"Ground_Mountain_1_2:(-0.189, 0.678, 0.711);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);"
0.120,276.461,940.571,118.447,-60.724,0.045,-0.046,0.882,0.312,1.000,0.000,0.003,1,0.000,0.634,0.992,"Ground_Mountain_1_2:(-0.189, 0.678, 0.711);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);"
0.140,276.467,940.572,118.460,-60.714,0.043,-0.046,0.686,0.312,1.000,0.000,-0.006,1,0.000,0.649,0.990,"Ground_Mountain_1_2:(-0.189, 0.678, 0.711);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);"
0.160,276.472,940.573,118.469,-60.705,0.038,-0.046,0.490,0.312,1.000,0.000,-0.014,1,0.047,0.665,0.988,"Ground_Mountain_1_2:(-0.189, 0.678, 0.711);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);"
0.180,276.475,940.573,118.475,-60.695,0.031,-0.046,0.301,0.313,1.000,0.000,-0.022,1,0.368,0.679,0.986,"Ground_Mountain_1_2:(-0.189, 0.678, 0.711);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);"
0.200,276.478,940.574,118.476,-60.686,0.021,-0.045,0.119,0.315,1.000,0.000,-0.030,1,0.715,0.692,0.984,"Ground_Mountain_1_2:(-0.189, 0.678, 0.711);Mountain trunk:(1.000, 0.000, 0.000);"
