t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,275.685,943.125,114.212,-92.270,16.623,-16.564,0.578,-2.356,0.000,0.000,0.000,2,14.552,17.071,0.998,"Ground_Mountain_0_1:(-0.147, 0.985, -0.087);Ground_Mountain_0_1:(-0.147, 0.985, -0.087);Ground_Mountain_0_1:(-0.147, 0.985, -0.087);Ground_Mountain_0_1:(-0.147, 0.985, -0.087);Ground_Mountain_0_1:(-0.147, 0.985, -0.087);Ground_Mountain_0_1:(-0.141, 0.986, -0.086);Ground_Mountain_0_1:(-0.141, 0.986, -0.086);Ground_Mountain_0_1:(-0.141, 0.986, -0.086);Ground_Mountain_0_1:(-0.141, 0.986, -0.086);Ground_Mountain_0_1:(-0.141, 0.986, -0.086);Ground_Mountain_0_1:(-0.141, 0.986, -0.086);Ground_Mountain_0_1:(-0.121, 0.989, -0.085);Ground_Mountain_0_1:(-0.121, 0.989, -0.085);Ground_Mountain_0_1:(-0.121, 0.989, -0.085);Ground_Mountain_0_1:(-0.121, 0.989, -0.085);Ground_Mountain_0_1:(-0.121, 0.989, -0.085);Ground_Mountain_0_1:(-0.121, 0.989, -0.085);Ground_Mountain_0_1:(-0.116, 0.990, -0.085);Ground_Mountain_0_1:(-0.116, 0.990, -0.085);Ground_Mountain_0_1:(-0.116, 0.990, -0.085);Ground_Mountain_0_1:(-0.116, 0.990, -0.085);Ground_Mountain_0_1:(-0.116, 0.990, -0.085);Ground_Mountain_0_1:(-0.116, 0.990, -0.085);Ground_Mountain_0_1:(-0.114, 0.990, -0.084);Ground_Mountain_0_1:(-0.114, 0.990, -0.084);Ground_Mountain_0_1:(-0.114, 0.990, -0.084);Ground_Mountain_0_1:(-0.114, 0.990, -0.084);Ground_Mountain_0_1:(-0.114, 0.990, -0.084);Ground_Mountain_0_1:(-0.114, 0.990, -0.084);Ground_Mountain_0_1:(-0.108, 0.991, -0.083);Ground_Mountain_0_1:(-0.108, 0.991, -0.083);Ground_Mountain_0_1:(-0.108, 0.991, -0.083);Ground_Mountain_0_1:(-0.108, 0.991, -0.083);Ground_Mountain_0_1:(-0.108, 0.991, -0.083);Ground_Mountain_0_1:(-0.108, 0.991, -0.083);Ground_Mountain_0_1:(-0.090, 0.993, -0.082);Ground_Mountain_0_1:(-0.090, 0.993, -0.082);Ground_Mountain_0_1:(-0.090, 0.993, -0.082);Ground_Mountain_0_1:(-0.090, 0.993, -0.082);Ground_Mountain_0_1:(-0.090, 0.993, -0.082);Ground_Mountain_0_1:(-0.090, 0.993, -0.082);Ground_Mountain_0_1:(-0.085, 0.993, -0.082);Ground_Mountain_0_1:(-0.085, 0.993, -0.082);Ground_Mountain_0_1:(-0.085, 0.993, -0.082);Ground_Mountain_0_1:(-0.085, 0.993, -0.082);Ground_Mountain_0_1:(-0.085, 0.993, -0.082);Ground_Mountain_0_1:(-0.085, 0.993, -0.082);Ground_Mountain_0_1:(-0.079, 0.994, -0.081);Ground_Mountain_0_1:(-0.079, 0.994, -0.081);Ground_Mountain_0_1:(-0.079, 0.994, -0.081);Ground_Mountain_0_1:(-0.079, 0.994, -0.081);Ground_Mountain_0_1:(-0.079, 0.994, -0.081);Ground_Mountain_0_1:(-0.079, 0.994, -0.081);Ground_Mountain_0_1:(-0.078, 0.994, -0.081);Ground_Mountain_0_1:(-0.078, 0.994, -0.081);Ground_Mountain_0_1:(-0.078, 0.994, -0.081);Ground_Mountain_0_1:(-0.078, 0.994, -0.081);Ground_Mountain_0_1:(-0.078, 0.994, -0.081);Ground_Mountain_0_1:(-0.078, 0.994, -0.081);Ground_Mountain_0_1:(-0.078, 0.994, -0.081);Ground_Mountain_0_1:(-0.078, 0.994, -0.081);Ground_Mountain_0_1:(-0.078, 0.994, -0.081);Ground_Mountain_0_1:(-0.078, 0.994, -0.081);Ground_Mountain_0_1:(-0.078, 0.994, -0.081);Ground_Mountain_0_1:(-0.078, 0.994, -0.081);Ground_Mountain_0_1:(-0.067, 0.995, -0.080);Ground_Mountain_0_1:(-0.067, 0.995, -0.080);Ground_Mountain_0_1:(-0.067, 0.995, -0.080);Ground_Mountain_0_1:(-0.067, 0.995, -0.080);Ground_Mountain_0_1:(-0.067, 0.995, -0.080);Ground_Mountain_0_1:(-0.067, 0.995, -0.080);Ground_Mountain_0_1:(-0.056, 0.995, -0.080);Ground_Mountain_0_1:(-0.056, 0.995, -0.080);Ground_Mountain_0_1:(-0.056, 0.995, -0.080);Ground_Mountain_0_1:(-0.056, 0.995, -0.080);Ground_Mountain_0_1:(-0.056, 0.995, -0.080);Ground_Mountain_0_1:(-0.056, 0.995, -0.080);Ground_Mountain_0_1:(-0.050, 0.996, -0.080);Ground_Mountain_0_1:(-0.050, 0.996, -0.080);Ground_Mountain_0_1:(-0.050, 0.996, -0.080);Ground_Mountain_0_1:(-0.050, 0.996, -0.080);Ground_Mountain_0_1:(-0.050, 0.996, -0.080);Ground_Mountain_0_1:(-0.050, 0.996, -0.080);Ground_Mountain_0_1:(-0.045, 0.996, -0.080);Ground_Mountain_0_1:(-0.045, 0.996, -0.080);Ground_Mountain_0_1:(-0.045, 0.996, -0.080);Ground_Mountain_0_1:(-0.045, 0.996, -0.080);Ground_Mountain_0_1:(-0.045, 0.996, -0.080);Ground_Mountain_0_1:(-0.045, 0.996, -0.080);Ground_Mountain_0_1:(-0.045, 0.996, -0.079);Ground_Mountain_0_1:(-0.045, 0.996, -0.079);Ground_Mountain_0_1:(-0.045, 0.996, -0.079);Ground_Mountain_0_1:(-0.045, 0.996, -0.079);Ground_Mountain_0_1:(-0.045, 0.996, -0.079);Ground_Mountain_0_1:(-0.045, 0.996, -0.079);Ground_Mountain_1_1:(-0.005, 0.458, -0.889);Ground_Mountain_1_1:(-0.005, 0.458, -0.889);Ground_Mountain_1_1:(-0.005, 0.458, -0.889);Ground_Mountain_1_1:(-0.005, 0.458, -0.889);Ground_Mountain_1_1:(-0.005, 0.458, -0.889);Ground_Mountain_1_1:(-0.005, 0.458, -0.889);Ground_Mountain_1_1:(0.996, 0.000, 0.085);"
0.040,275.285,942.796,114.220,-92.321,16.804,-16.821,0.465,-2.353,1.000,0.000,-0.010,2,3.566,15.606,0.997,"Ground_Mountain_1_1:(-0.014, 0.458, -0.889);Ground_Mountain_1_1:(-0.014, 0.458, -0.889);Ground_Mountain_1_1:(-0.014, 0.458, -0.889);Ground_Mountain_1_1:(-0.014, 0.458, -0.889);Ground_Mountain_1_1:(-0.014, 0.458, -0.889);Ground_Mountain_1_1:(-0.014, 0.458, -0.889);Ground_Mountain_1_1:(-0.009, 0.998, -0.058);"
0.060,274.965,942.460,114.230,-92.373,16.963,-17.070,0.492,-2.262,1.000,0.000,-0.029,2,1.467,13.319,0.994,"Ground_Mountain_1_1:(-0.008, 0.466, -0.885);Ground_Mountain_1_1:(-0.008, 0.466, -0.885);Ground_Mountain_1_1:(-0.008, 0.466, -0.885);Ground_Mountain_1_1:(-0.008, 0.466, -0.885);Ground_Mountain_1_1:(-0.008, 0.466, -0.885);Ground_Mountain_1_1:(-0.008, 0.466, -0.885);"
0.080,274.638,942.124,114.235,-92.425,16.828,-17.063,0.295,-2.261,1.000,0.000,-0.042,0,0.000,1.108,0.991,"Ground_Mountain_1_1:(-0.013, 0.464, -0.886);Ground_Mountain_1_1:(-0.013, 0.464, -0.886);Ground_Mountain_1_1:(-0.013, 0.464, -0.886);Ground_Mountain_1_1:(-0.013, 0.464, -0.886);Ground_Mountain_1_1:(-0.013, 0.464, -0.886);"
0.100,274.309,941.788,114.235,-92.476,16.659,-17.056,0.099,-2.260,1.000,0.000,-0.056,0,0.000,1.146,0.987,"Ground_Mountain_1_1:(-0.011, 0.451, -0.893);Ground_Mountain_1_1:(-0.011, 0.451, -0.893);Ground_Mountain_1_1:(-0.011, 0.451, -0.893);Ground_Mountain_1_1:(-0.011, 0.451, -0.893);Ground_Mountain_1_1:(-0.011, 0.451, -0.893);Ground_Mountain_1_1:(-0.011, 0.451, -0.893);"
0.120,273.980,941.451,114.232,-92.528,16.458,-17.049,-0.097,-2.260,1.000,0.000,-0.070,0,0.000,1.182,0.982,"Ground_Mountain_1_1:(-0.011, 0.451, -0.893);Ground_Mountain_1_1:(-0.011, 0.451, -0.893);Ground_Mountain_1_1:(-0.011, 0.451, -0.893);Ground_Mountain_1_1:(-0.011, 0.451, -0.893);Ground_Mountain_1_1:(-0.011, 0.451, -0.893);Ground_Mountain_1_1:(-0.011, 0.451, -0.893);"
0.140,273.649,941.114,114.225,-92.579,16.225,-17.042,-0.293,-2.259,1.000,0.000,-0.084,0,0.000,1.216,0.977,"Ground_Mountain_1_1:(-0.005, 0.447, -0.894);Ground_Mountain_1_1:(-0.005, 0.447, -0.894);Ground_Mountain_1_1:(-0.005, 0.447, -0.894);Ground_Mountain_1_1:(-0.005, 0.447, -0.894);Ground_Mountain_1_1:(-0.005, 0.447, -0.894);Ground_Mountain_1_1:(-0.005, 0.447, -0.894);"
0.160,273.317,940.777,114.213,-92.631,15.961,-17.035,-0.489,-2.258,1.000,0.000,-0.098,0,0.000,1.248,0.971,"Ground_Mountain_1_1:(-0.007, 0.449, -0.894);Ground_Mountain_1_1:(-0.007, 0.449, -0.894);Ground_Mountain_1_1:(-0.007, 0.449, -0.894);Ground_Mountain_1_1:(-0.007, 0.449, -0.894);Ground_Mountain_1_1:(-0.007, 0.449, -0.894);Ground_Mountain_1_1:(-0.007, 0.449, -0.894);"
0.180,272.907,940.440,114.198,-92.682,15.669,-17.029,-0.685,-2.257,1.000,0.000,-0.112,0,0.000,1.278,0.964,"Ground_Mountain_1_1:(-0.020, 0.468, -0.883);Ground_Mountain_1_1:(-0.020, 0.468, -0.883);Ground_Mountain_1_1:(-0.020, 0.468, -0.883);Ground_Mountain_1_1:(-0.020, 0.468, -0.883);Ground_Mountain_1_1:(-0.020, 0.468, -0.883);Ground_Mountain_1_1:(-0.020, 0.468, -0.883);"
0.200,272.574,940.102,114.178,-92.733,15.347,-17.022,-0.881,-2.256,1.000,0.000,-0.126,0,0.000,1.306,0.957,"Ground_Mountain_1_1:(-0.019, 0.467, -0.884);Ground_Mountain_1_1:(-0.019, 0.467, -0.884);Ground_Mountain_1_1:(-0.019, 0.467, -0.884);Ground_Mountain_1_1:(-0.019, 0.467, -0.884);Ground_Mountain_1_1:(-0.019, 0.467, -0.884);Ground_Mountain_1_1:(-0.019, 0.467, -0.884);"
