t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,275.988,942.777,115.498,-91.686,31.988,-31.871,-0.196,-2.724,0.000,0.000,-0.001,0,0.000,0.000,0.995,"Mountain trunk:(0.902, 0.000, -0.432);Mountain trunk:(0.890, 0.000, -0.456);Mountain trunk:(0.863, 0.000, -0.505);Ground_Mountain_0_1:(-0.278, 0.800, 0.531);Ground_Mountain_0_1:(-0.278, 0.800, 0.531);Ground_Mountain_0_1:(-0.278, 0.800, 0.531);Ground_Mountain_0_1:(-0.278, 0.800, 0.531);Ground_Mountain_0_1:(-0.278, 0.800, 0.531);Ground_Mountain_0_1:(-0.278, 0.800, 0.531);Ground_Mountain_0_1:(-0.364, 0.799, 0.478);Ground_Mountain_0_1:(-0.364, 0.799, 0.478);Ground_Mountain_0_1:(-0.364, 0.799, 0.478);Ground_Mountain_0_1:(-0.364, 0.799, 0.478);Ground_Mountain_0_1:(-0.364, 0.799, 0.478);Ground_Mountain_0_1:(-0.321, 0.756, 0.571);Ground_Mountain_0_1:(-0.321, 0.756, 0.571);Ground_Mountain_0_1:(-0.438, 0.819, 0.370);Mountain trunk:(0.853, 0.000, -0.522);Ground_Mountain_0_1:(-0.266, 0.802, 0.534);Ground_Mountain_0_1:(-0.266, 0.802, 0.534);Ground_Mountain_0_1:(-0.266, 0.802, 0.534);Ground_Mountain_0_1:(-0.266, 0.802, 0.534);Ground_Mountain_0_1:(-0.266, 0.802, 0.534);Ground_Mountain_0_1:(-0.266, 0.802, 0.534);Ground_Mountain_0_1:(-0.340, 0.784, 0.520);Ground_Mountain_0_1:(-0.340, 0.784, 0.520);Ground_Mountain_0_1:(-0.340, 0.784, 0.520);Ground_Mountain_0_1:(-0.340, 0.784, 0.520);Ground_Mountain_0_1:(-0.340, 0.784, 0.520);Ground_Mountain_0_1:(-0.340, 0.784, 0.520);Ground_Mountain_0_1:(-0.438, 0.819, 0.370);Ground_Mountain_0_1:(-0.438, 0.819, 0.370);Mountain trunk:(0.850, 0.000, -0.527);Mountain trunk:(0.850, 0.000, -0.527);Ground_Mountain_0_1:(-0.341, 0.785, 0.517);Ground_Mountain_0_1:(-0.341, 0.785, 0.517);Ground_Mountain_0_1:(-0.341, 0.785, 0.517);Ground_Mountain_0_1:(-0.283, 0.806, 0.521);Ground_Mountain_0_1:(-0.283, 0.806, 0.521);Ground_Mountain_0_1:(-0.283, 0.806, 0.521);Ground_Mountain_0_1:(-0.283, 0.806, 0.521);Ground_Mountain_0_1:(-0.438, 0.819, 0.370);Mountain trunk:(0.846, 0.000, -0.533);Mountain trunk:(0.846, 0.000, -0.533);Mountain trunk:(0.846, 0.000, -0.533);Ground_Mountain_0_1:(-0.338, 0.779, 0.528);Ground_Mountain_0_1:(-0.338, 0.779, 0.528);Ground_Mountain_0_1:(-0.338, 0.779, 0.528);Mountain trunk:(0.850, 0.000, -0.527);Mountain trunk:(0.850, 0.000, -0.527);Mountain trunk:(0.850, 0.000, -0.527);Ground_Mountain_0_1:(-0.336, 0.774, 0.537);Mountain trunk:(0.839, 0.000, -0.544);Mountain trunk:(0.839, 0.000, -0.544);Ground_Mountain_0_1:(-0.334, 0.769, 0.544);Mountain trunk:(0.836, 0.000, -0.549);Mountain trunk:(0.836, 0.000, -0.549);Mountain trunk:(0.834, 0.000, -0.552);Mountain trunk:(0.834, 0.000, -0.552);Mountain trunk:(0.832, 0.000, -0.555);Mountain trunk:(0.832, 0.000, -0.555);Mountain trunk:(0.830, 0.000, -0.557);Mountain trunk:(0.830, 0.000, -0.557);Mountain trunk:(0.830, 0.000, -0.558);Mountain trunk:(0.830, 0.000, -0.558);Mountain trunk:(0.830, 0.000, -0.558);Mountain trunk:(0.830, 0.000, -0.558);Mountain trunk:(0.830, 0.000, -0.557);Mountain trunk:(0.830, 0.000, -0.557);Mountain trunk:(0.831, 0.000, -0.557);Mountain trunk:(0.831, 0.000, -0.557);Mountain trunk:(0.831, 0.000, -0.556);Mountain trunk:(0.831, 0.000, -0.556);Mountain trunk:(0.831, 0.000, -0.556);Mountain trunk:(0.831, 0.000, -0.556);Mountain trunk:(0.832, 0.000, -0.555);Mountain trunk:(0.832, 0.000, -0.555);Ground_Mountain_1_1:(-0.006, 0.454, -0.891);Ground_Mountain_1_1:(-0.006, 0.454, -0.891);Ground_Mountain_1_1:(-0.006, 0.454, -0.891);Ground_Mountain_1_1:(-0.006, 0.454, -0.891);Ground_Mountain_1_1:(-0.006, 0.454, -0.891);Ground_Mountain_1_1:(-0.006, 0.454, -0.891);"
0.040,275.304,942.161,115.516,-91.862,31.976,-31.858,-0.392,-2.723,0.006,0.000,0.022,0,0.000,0.215,0.980,"Ground_Mountain_1_1:(-0.011, 0.459, -0.888);Ground_Mountain_1_1:(-0.011, 0.459, -0.888);Ground_Mountain_1_1:(-0.011, 0.459, -0.888);Ground_Mountain_1_1:(-0.011, 0.459, -0.888);Ground_Mountain_1_1:(-0.011, 0.459, -0.888);Ground_Mountain_1_1:(-0.011, 0.459, -0.888);"
0.060,274.698,941.537,115.523,-92.015,31.956,-31.843,-0.386,-2.763,0.012,0.000,0.040,1,10.340,0.426,0.959,"Ground_Mountain_1_1:(-0.016, 0.460, -0.888);Ground_Mountain_1_1:(-0.016, 0.460, -0.888);Ground_Mountain_1_1:(-0.016, 0.460, -0.888);Ground_Mountain_1_1:(-0.016, 0.460, -0.888);Ground_Mountain_1_1:(-0.016, 0.460, -0.888);Ground_Mountain_1_1:(-0.016, 0.460, -0.888);"
0.080,274.084,940.906,115.521,-92.095,31.641,-31.545,-0.195,-2.808,0.022,0.000,0.037,2,15.772,8.080,0.950,"Ground_Mountain_1_1:(-0.024, 0.459, -0.888);Ground_Mountain_1_1:(-0.024, 0.459, -0.888);Ground_Mountain_1_1:(-0.024, 0.459, -0.888);Ground_Mountain_1_1:(-0.024, 0.459, -0.888);"
0.100,273.466,940.275,115.515,-92.157,31.648,-31.553,-0.165,-2.820,0.180,0.000,0.028,2,8.172,6.068,0.945,"Ground_Mountain_1_1:(-0.014, 0.463, -0.886);Ground_Mountain_1_1:(-0.014, 0.463, -0.886);"
0.120,272.784,939.643,115.509,-92.219,31.654,-31.561,-0.217,-2.806,0.176,0.000,0.027,2,3.847,4.818,0.938,""
0.140,272.168,939.011,115.500,-92.282,31.659,-31.569,-0.314,-2.773,0.173,0.000,0.027,2,1.309,3.946,0.930,""
0.160,271.550,938.379,115.488,-92.344,31.664,-31.577,-0.428,-2.727,0.171,0.000,0.027,2,0.000,3.353,0.921,""
0.180,270.932,937.748,115.472,-92.406,31.651,-31.564,-0.624,-2.726,0.168,0.000,0.026,1,0.000,1.672,0.913,""
0.200,270.259,937.116,115.453,-92.467,31.640,-31.551,-0.820,-2.725,0.174,0.000,0.025,1,0.000,1.689,0.904,""
0.220,269.641,936.485,115.429,-92.528,31.628,-31.539,-1.016,-2.724,0.180,0.000,0.024,0,0.000,1.704,0.894,""
0.240,269.022,935.854,115.402,-92.589,31.617,-31.526,-1.211,-2.723,0.186,0.000,0.023,0,0.000,1.717,0.885,""
0.260,268.357,935.223,115.371,-92.649,31.606,-31.514,-1.407,-2.722,0.192,0.000,0.022,0,0.000,1.728,0.876,""
0.280,267.737,934.593,115.335,-92.709,31.595,-31.501,-1.603,-2.721,0.197,0.000,0.020,0,0.000,1.737,0.867,""
0.300,267.117,933.963,115.296,-92.769,31.585,-31.488,-1.798,-2.720,0.202,0.000,0.018,0,0.000,1.745,0.858,""
0.320,266.495,933.333,115.253,-92.829,31.574,-31.476,-1.993,-2.719,0.208,0.000,0.016,0,0.000,1.750,0.849,""
0.340,265.836,932.703,115.206,-92.888,31.564,-31.463,-2.189,-2.717,0.213,0.000,0.014,0,0.000,1.754,0.840,""
0.360,265.214,932.074,115.156,-92.947,31.554,-31.451,-2.384,-2.716,0.218,0.000,0.012,0,0.000,1.756,0.832,""
0.380,264.590,931.444,115.101,-93.005,31.544,-31.438,-2.579,-2.715,0.223,0.000,0.009,0,0.000,1.756,0.824,""
0.400,263.966,930.815,115.043,-93.063,31.534,-31.425,-2.774,-2.714,0.228,0.000,0.007,0,0.000,1.755,0.816,""
0.420,263.310,930.187,114.981,-93.121,31.525,-31.413,-2.969,-2.713,0.233,0.000,0.004,0,0.000,1.753,0.808,""
0.440,262.685,929.558,114.915,-93.179,31.515,-31.400,-3.164,-2.712,0.238,0.000,0.002,0,0.000,1.749,0.801,""
0.460,262.059,928.930,114.845,-93.237,31.505,-31.388,-3.359,-2.711,0.243,0.000,-0.001,0,0.000,1.743,0.793,""
0.480,261.405,928.302,114.772,-93.294,31.495,-31.375,-3.554,-2.710,0.247,0.000,-0.003,0,0.000,1.737,0.787,""
0.500,260.778,927.675,114.695,-93.351,31.486,-31.363,-3.749,-2.709,0.252,0.000,-0.006,0,0.000,1.729,0.780,""
0.520,260.150,927.047,114.614,-93.408,31.476,-31.350,-3.943,-2.708,0.257,0.000,-0.008,0,0.000,1.720,0.774,""
0.540,259.521,926.420,114.529,-93.464,31.466,-31.338,-4.138,-2.707,0.262,0.000,-0.010,0,0.000,1.710,0.769,""
0.560,258.867,925.793,114.441,-93.520,31.457,-31.325,-4.332,-2.706,0.267,0.000,-0.013,0,0.000,1.698,0.764,""
0.580,258.236,925.166,114.348,-93.576,31.447,-31.313,-4.527,-2.704,0.272,0.000,-0.015,0,0.000,1.686,0.759,""
0.600,257.605,924.540,114.252,-93.632,31.437,-31.300,-4.721,-2.703,0.276,0.000,-0.017,0,0.000,1.673,0.754,""
0.620,256.953,923.914,114.153,-93.688,31.427,-31.287,-4.915,-2.702,0.281,0.000,-0.020,0,0.000,1.659,0.750,""
0.640,256.320,923.288,114.049,-93.743,31.417,-31.275,-5.109,-2.701,0.286,0.000,-0.022,0,0.000,1.644,0.747,""
0.660,255.687,922.663,113.942,-93.798,31.407,-31.262,-5.303,-2.700,0.291,0.000,-0.023,0,0.000,1.628,0.744,""
0.680,255.052,922.037,113.831,-93.853,31.397,-31.250,-5.497,-2.699,0.296,0.000,-0.025,0,0.000,1.611,0.741,""
0.700,254.396,921.412,113.717,-93.908,31.387,-31.237,-5.691,-2.698,0.301,0.000,-0.027,0,0.000,1.594,0.739,""
0.720,253.760,920.787,113.598,-93.963,31.377,-31.225,-5.885,-2.697,0.306,0.000,-0.029,0,0.000,1.576,0.737,""
0.740,253.123,920.163,113.476,-94.017,31.366,-31.212,-6.079,-2.696,0.312,0.000,-0.031,0,0.000,1.557,0.736,""
0.760,252.464,919.538,113.351,-94.072,31.356,-31.200,-6.273,-2.695,0.317,0.000,-0.033,0,0.000,1.538,0.735,""
0.780,251.826,918.914,113.221,-94.126,31.345,-31.188,-6.466,-2.694,0.322,0.000,-0.035,0,0.000,1.518,0.734,""
0.800,251.187,918.290,113.088,-94.180,31.335,-31.175,-6.660,-2.693,0.327,0.000,-0.037,0,0.000,1.497,0.734,""
0.820,250.548,917.667,112.951,-94.233,31.324,-31.163,-6.853,-2.691,0.333,0.000,-0.038,0,0.000,1.476,0.734,""
0.840,249.885,917.044,112.810,-94.287,31.313,-31.150,-7.047,-2.690,0.338,0.000,-0.040,0,0.000,1.454,0.735,""
0.860,249.244,916.421,112.666,-94.340,31.302,-31.138,-7.240,-2.689,0.344,0.000,-0.042,0,0.000,1.432,0.736,""
0.880,248.602,915.798,112.517,-94.393,31.291,-31.125,-7.433,-2.688,0.349,0.000,-0.044,0,0.000,1.409,0.737,""
0.900,247.936,915.175,112.366,-94.446,31.279,-31.113,-7.626,-2.687,0.355,0.000,-0.045,0,0.000,1.386,0.739,""
0.920,247.293,914.553,112.210,-94.499,31.268,-31.100,-7.819,-2.686,0.360,0.000,-0.045,0,0.000,1.362,0.741,""
0.940,246.650,913.932,112.061,-94.549,31.282,-31.141,-7.477,-2.496,0.366,0.000,-0.044,2,12.478,2.408,0.743,""
0.960,245.985,913.314,111.919,-94.595,31.273,-31.181,-7.095,-2.341,0.359,0.000,-0.039,2,15.852,1.390,0.744,""
0.980,245.349,912.697,111.789,-94.643,31.245,-31.222,-6.511,-2.366,0.364,0.000,-0.030,3,29.332,0.822,0.742,""
1.000,244.717,912.138,111.716,-94.747,29.957,-30.332,-3.985,-3.869,0.378,0.000,-0.021,4,44.026,2.760,0.683,"Ground_Mountain_1_1:(0.135, 0.831, -0.540);Ground_Mountain_1_1:(0.135, 0.831, -0.540);Ground_Mountain_1_1:(0.002, 0.742, -0.670);Ground_Mountain_1_1:(0.243, 0.737, -0.631);Ground_Mountain_1_1:(0.243, 0.737, -0.631);"
1.020,244.148,911.555,111.651,-94.819,29.688,-30.320,-3.378,-3.982,1.000,0.000,-0.033,4,28.964,15.845,0.690,"Ground_Mountain_1_1:(0.243, 0.737, -0.631);"
1.040,243.533,910.964,111.629,-94.951,29.373,-29.377,-0.772,-5.561,1.000,0.000,-0.030,4,39.524,14.228,0.651,"Ground_Mountain_1_1:(0.187, 0.690, -0.699);Ground_Mountain_1_1:(0.187, 0.690, -0.699);"
