t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,601.973,964.232,163.879,135.368,31.700,26.639,-0.065,-17.182,0.000,0.000,0.047,4,7.199,0.547,1.000,""
0.040,601.340,964.764,163.877,135.025,31.701,26.639,-0.055,-17.186,0.150,0.000,0.049,4,10.294,0.077,1.000,""
0.060,600.708,965.295,163.878,134.682,31.702,26.635,0.008,-17.195,0.149,0.000,0.052,4,12.908,0.353,1.000,""
0.080,600.084,965.827,163.880,134.338,31.701,26.626,0.110,-17.209,0.149,0.000,0.054,4,14.903,0.457,1.000,""
0.100,599.451,966.358,163.884,133.994,31.700,26.610,0.236,-17.229,0.149,0.000,0.055,4,16.083,0.573,1.000,""
0.120,598.819,966.889,163.892,133.649,31.698,26.589,0.372,-17.257,0.150,0.000,0.057,4,16.612,0.511,1.000,""
0.140,598.185,967.420,163.902,133.304,31.696,26.561,0.503,-17.292,0.151,0.000,0.058,4,16.377,0.469,1.000,""
0.160,597.561,967.950,163.914,132.957,31.694,26.529,0.620,-17.335,0.152,0.000,0.059,4,15.661,0.375,1.000,""
0.180,596.928,968.480,163.929,132.609,31.692,26.492,0.712,-17.385,0.153,0.000,0.060,4,14.417,0.255,1.000,""
0.200,596.294,969.010,163.944,132.260,31.689,26.450,0.776,-17.443,0.154,0.000,0.061,4,13.011,0.136,1.000,""
0.220,595.670,969.538,163.960,131.910,31.687,26.404,0.805,-17.508,0.155,0.000,0.061,4,11.295,0.035,1.000,""
0.240,595.036,970.066,163.976,131.558,31.684,26.355,0.800,-17.580,0.157,0.000,0.062,4,9.576,0.046,1.000,""
0.260,594.402,970.593,163.991,131.204,31.682,26.302,0.758,-17.658,0.158,0.000,0.062,4,7.723,0.145,1.000,""
0.280,593.776,971.119,164.005,130.849,31.679,26.247,0.682,-17.741,0.159,0.000,0.063,4,6.042,0.165,1.000,""
0.300,593.142,971.643,164.016,130.492,31.678,26.188,0.573,-17.830,0.160,0.000,0.063,4,4.410,0.271,1.000,""
0.320,592.508,972.167,164.025,130.133,31.676,26.126,0.437,-17.923,0.161,0.000,0.063,4,3.042,0.290,1.000,""
0.340,591.887,972.689,164.031,129.772,31.676,26.061,0.278,-18.019,0.162,0.000,0.063,4,1.832,0.373,1.000,""
0.360,591.252,973.210,164.033,129.408,31.676,25.993,0.098,-18.120,0.162,0.000,0.063,4,0.851,0.348,1.000,""
0.380,590.618,973.729,164.031,129.043,31.678,25.923,-0.094,-18.222,0.162,0.000,0.063,2,0.222,0.480,1.000,""
0.400,589.984,974.247,164.025,128.676,31.680,25.850,-0.290,-18.328,0.161,0.000,0.063,2,0.000,0.449,1.000,""
0.420,589.358,974.764,164.015,128.307,31.683,25.774,-0.486,-18.435,0.160,0.000,0.062,2,0.000,0.450,1.000,""
0.440,588.723,975.278,164.002,127.935,31.686,25.697,-0.683,-18.544,0.159,0.000,0.062,2,0.000,0.371,1.000,""
0.460,588.089,975.793,163.984,127.564,31.673,25.686,-0.878,-18.537,0.157,0.000,0.062,1,0.000,0.141,1.000,""
0.480,587.465,976.307,163.963,127.193,31.661,25.676,-1.074,-18.529,0.163,0.000,0.062,0,0.000,0.145,1.000,""
0.500,586.830,976.821,163.937,126.822,31.649,25.666,-1.270,-18.522,0.170,0.000,0.061,0,0.000,0.149,1.000,""
0.520,586.196,977.335,163.908,126.451,31.637,25.656,-1.466,-18.514,0.176,0.000,0.061,0,0.000,0.152,1.000,""
0.540,585.572,977.849,163.875,126.080,31.625,25.645,-1.661,-18.507,0.182,0.000,0.061,0,0.000,0.155,1.000,""
0.560,584.939,978.362,163.837,125.710,31.613,25.635,-1.857,-18.500,0.188,0.000,0.062,0,0.000,0.158,0.999,""
0.580,584.305,978.876,163.796,125.340,31.601,25.625,-2.052,-18.492,0.193,0.000,0.062,0,0.000,0.161,0.999,""
0.600,583.672,979.388,163.751,124.969,31.590,25.615,-2.247,-18.485,0.199,0.000,0.062,0,0.000,0.164,0.999,""
0.620,583.048,979.901,163.702,124.599,31.578,25.604,-2.442,-18.477,0.205,0.000,0.062,0,0.000,0.166,0.999,""
0.640,582.415,980.410,163.651,124.223,31.592,25.388,-2.550,-18.759,0.211,0.000,0.063,2,4.383,0.284,0.999,""
0.660,581.781,980.916,163.598,123.842,31.609,25.193,-2.666,-19.011,0.204,0.000,0.063,2,4.031,0.746,0.999,""
0.680,581.156,981.417,163.543,123.455,31.626,25.017,-2.731,-19.241,0.195,0.000,0.062,3,6.560,1.135,0.998,""
0.700,580.521,981.916,163.488,123.065,31.641,24.859,-2.736,-19.453,0.187,0.000,0.062,4,9.575,1.158,0.998,""
0.720,579.886,982.410,163.434,122.671,31.655,24.714,-2.740,-19.650,0.179,0.000,0.061,4,9.626,0.821,0.998,""
0.740,579.261,982.902,163.379,122.274,31.668,24.578,-2.736,-19.833,0.173,0.000,0.060,4,10.014,0.575,0.998,""
0.760,578.627,983.391,163.324,121.873,31.681,24.451,-2.721,-20.005,0.166,0.000,0.059,4,10.557,0.384,0.998,""
0.780,577.993,983.878,163.270,121.470,31.693,24.332,-2.695,-20.169,0.160,0.000,0.058,4,11.158,0.256,0.998,""
0.800,577.358,984.362,163.217,121.063,31.704,24.218,-2.656,-20.324,0.154,0.000,0.056,4,11.733,0.159,0.998,""
0.820,576.732,984.845,163.165,120.654,31.716,24.110,-2.608,-20.473,0.148,0.000,0.055,4,12.246,0.097,0.998,""
0.840,576.097,985.325,163.114,120.241,31.726,24.005,-2.551,-20.615,0.142,0.000,0.053,4,12.667,0.058,0.998,""
0.860,575.462,985.802,163.064,119.826,31.737,23.905,-2.488,-20.753,0.137,0.000,0.052,4,12.982,0.040,0.998,""
0.880,574.835,986.278,163.016,119.409,31.747,23.807,-2.420,-20.885,0.132,0.000,0.050,4,13.207,0.031,0.998,""
0.900,574.200,986.753,162.969,118.989,31.756,23.713,-2.350,-21.013,0.127,0.000,0.049,4,13.339,0.037,0.998,""
0.920,573.565,987.225,162.923,118.566,31.765,23.620,-2.278,-21.136,0.122,0.000,0.047,4,13.400,0.032,0.998,""
0.940,572.929,987.695,162.879,118.141,31.774,23.530,-2.207,-21.255,0.117,0.000,0.046,4,13.383,0.044,0.998,""
0.960,572.300,988.164,162.837,117.714,31.782,23.442,-2.137,-21.371,0.113,0.000,0.045,4,13.306,0.033,0.998,""
0.980,571.664,988.631,162.795,117.284,31.790,23.356,-2.069,-21.482,0.109,0.000,0.043,4,13.230,0.048,0.998,""
1.000,571.029,989.096,162.755,116.852,31.798,23.272,-2.002,-21.590,0.105,0.000,0.042,4,13.139,0.036,0.998,""
1.020,570.398,989.560,162.716,116.419,31.805,23.189,-1.938,-21.695,0.101,0.000,0.041,4,13.047,0.057,0.998,""
1.040,569.762,990.022,162.679,115.983,31.812,23.108,-1.876,-21.796,0.097,0.000,0.039,4,12.907,0.065,0.998,""
1.060,569.126,990.482,162.643,115.545,31.819,23.029,-1.816,-21.894,0.094,0.000,0.038,4,12.819,0.075,0.998,""
1.080,568.490,990.941,162.608,115.106,31.825,22.952,-1.758,-21.988,0.091,0.000,0.036,4,12.720,0.081,0.998,""
1.100,567.856,991.398,162.574,114.664,31.831,22.876,-1.701,-22.080,0.087,0.000,0.035,4,12.672,0.090,0.998,""
1.120,567.220,991.854,162.541,114.221,31.837,22.801,-1.645,-22.168,0.084,0.000,0.033,4,12.576,0.112,0.998,""
1.140,566.584,992.308,162.509,113.776,31.842,22.729,-1.592,-22.253,0.082,0.000,0.031,4,12.471,0.111,0.998,""
1.160,565.948,992.761,162.478,113.330,31.847,22.658,-1.541,-22.335,0.079,0.000,0.029,4,12.357,0.129,0.998,""
1.180,565.311,993.213,162.448,112.882,31.851,22.589,-1.493,-22.414,0.077,0.000,0.028,4,12.216,0.144,0.999,""
1.200,564.677,993.663,162.419,112.432,31.856,22.522,-1.449,-22.490,0.074,0.000,0.026,4,12.001,0.147,0.999,""
1.220,564.041,994.112,162.391,111.981,31.860,22.457,-1.410,-22.563,0.072,0.000,0.024,4,11.741,0.132,0.999,""
1.240,563.404,994.559,162.363,111.529,31.863,22.394,-1.379,-22.632,0.070,0.000,0.022,4,11.380,0.147,0.999,""
1.260,562.773,995.006,162.336,111.075,31.866,22.333,-1.356,-22.698,0.068,0.000,0.021,4,10.948,0.111,0.999,""
1.280,562.135,995.451,162.310,110.619,31.870,22.274,-1.341,-22.761,0.067,0.000,0.019,4,10.570,0.056,0.999,""
1.300,561.498,995.896,162.283,110.163,31.873,22.217,-1.333,-22.821,0.065,0.000,0.018,4,10.196,0.030,0.999,""
