t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,276.802,940.631,119.256,-61.606,12.636,-11.376,5.846,-7.139,0.000,0.000,0.001,1,11.250,0.000,0.982,"Ground_Mountain_0_1:(-0.074, 0.997, -0.005);Ground_Mountain_0_1:(-0.074, 0.997, -0.005);Ground_Mountain_0_1:(-0.074, 0.997, -0.005);Ground_Mountain_0_1:(-0.074, 0.997, -0.005);Ground_Mountain_0_1:(-0.073, 0.997, -0.005);Ground_Mountain_0_1:(-0.073, 0.997, -0.005);Ground_Mountain_0_1:(-0.073, 0.997, -0.005);Ground_Mountain_0_1:(-0.073, 0.997, -0.005);Ground_Mountain_0_1:(-0.072, 0.997, -0.004);Ground_Mountain_0_1:(-0.072, 0.997, -0.004);Ground_Mountain_0_1:(-0.072, 0.997, -0.004);Ground_Mountain_0_1:(-0.072, 0.997, -0.004);Mountain trunk:(0.085, 0.000, -0.996);Mountain trunk:(0.085, 0.000, -0.996);Mountain trunk:(0.085, 0.000, -0.996);Mountain trunk:(0.085, 0.000, -0.996);Ground_Mountain_1_2:(-0.197, 0.682, 0.704);Ground_Mountain_1_2:(-0.197, 0.682, 0.704);Ground_Mountain_1_2:(-0.197, 0.682, 0.704);Ground_Mountain_1_2:(-0.197, 0.682, 0.704);Ground_Mountain_1_2:(-0.197, 0.682, 0.704);Ground_Mountain_1_2:(-0.197, 0.682, 0.704);"
0.040,276.639,940.404,119.454,-61.679,13.313,-11.011,6.941,-8.637,1.000,0.000,0.058,1,0.000,3.091,0.944,"Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Ground_Mountain_1_2:(-0.200, 0.684, 0.702);Ground_Mountain_1_2:(-0.200, 0.684, 0.702);Ground_Mountain_1_2:(-0.200, 0.684, 0.702);Ground_Mountain_1_2:(-0.200, 0.684, 0.702);Ground_Mountain_1_2:(-0.200, 0.684, 0.702);Ground_Mountain_1_2:(-0.200, 0.684, 0.702);"
0.060,276.458,940.165,119.593,-61.809,13.991,-11.306,6.471,-8.357,1.000,0.000,0.156,2,3.833,10.367,0.925,"Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Ground_Mountain_1_2:(-0.196, 0.684, 0.703);Ground_Mountain_1_2:(-0.196, 0.684, 0.703);Ground_Mountain_1_2:(-0.196, 0.684, 0.703);Ground_Mountain_1_2:(-0.196, 0.684, 0.703);Ground_Mountain_1_2:(-0.196, 0.684, 0.703);Ground_Mountain_1_2:(-0.196, 0.684, 0.703);"
0.080,276.248,939.930,119.709,-61.965,14.477,-11.627,5.941,-8.121,1.000,0.000,0.265,2,0.009,8.737,0.918,"Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Ground_Mountain_1_2:(-0.197, 0.685, 0.701);Ground_Mountain_1_2:(-0.197, 0.685, 0.701);Ground_Mountain_1_2:(-0.197, 0.685, 0.701);Ground_Mountain_1_2:(-0.197, 0.685, 0.701);Ground_Mountain_1_2:(-0.197, 0.685, 0.701);"
0.100,276.034,939.688,119.815,-62.118,14.777,-11.924,5.416,-7.885,0.761,0.000,0.350,2,0.000,7.607,0.911,"Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);"
0.120,275.811,939.440,119.910,-62.265,14.953,-12.212,4.895,-7.649,0.612,0.000,0.419,2,0.000,6.649,0.903,"Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);"
0.140,275.580,939.185,119.995,-62.409,15.054,-12.476,4.425,-7.444,0.524,0.000,0.475,2,0.440,5.852,0.895,"Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);"
0.160,275.297,938.925,120.074,-62.550,15.115,-12.670,4.083,-7.324,0.473,0.000,0.517,2,0.933,4.347,0.885,"Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);"
0.180,275.053,938.663,120.147,-62.690,15.156,-12.809,3.816,-7.270,0.443,0.000,0.553,2,0.845,3.827,0.876,"Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);"
0.200,274.806,938.407,120.220,-62.853,15.195,-12.907,3.599,-7.261,0.422,0.000,0.581,2,0.626,3.346,0.870,"Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);"
0.220,274.562,938.147,120.287,-63.008,15.230,-12.989,3.401,-7.266,0.403,0.000,0.594,2,0.692,2.988,0.863,"Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);"
0.240,274.314,937.883,120.349,-63.157,15.263,-13.060,3.212,-7.279,0.385,0.000,0.604,2,0.611,2.704,0.854,"Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);"
