t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.102,1041.058,153.407,39.383,15.854,-5.548,-0.005,14.852,0.000,0.000,-0.074,2,10.834,2.201,1.000,""
0.040,472.414,1040.948,153.407,39.676,15.858,-5.553,0.023,14.857,0.073,0.000,-0.077,2,11.074,0.568,1.000,""
0.060,472.864,1040.838,153.410,39.968,15.858,-5.558,0.161,14.856,0.071,0.000,-0.080,4,16.593,0.744,0.999,""
0.080,473.173,1040.731,153.420,40.258,15.806,-5.518,0.521,14.807,0.071,0.000,-0.082,4,20.625,1.486,0.999,"Ground_Mountain_2_3:(0.057, 0.987, -0.152);Ground_Mountain_2_3:(0.057, 0.987, -0.152);Ground_Mountain_2_3:(0.057, 0.987, -0.152);Ground_Mountain_2_3:(0.057, 0.987, -0.152);Ground_Mountain_2_3:(0.057, 0.987, -0.152);Ground_Mountain_2_3:(0.057, 0.987, -0.152);"
0.100,473.480,1040.623,153.436,40.548,15.802,-5.527,0.796,14.787,0.097,0.000,-0.084,4,23.013,2.738,0.997,"Ground_Mountain_2_3:(0.056, 0.987, -0.152);Ground_Mountain_2_3:(0.056, 0.987, -0.152);Ground_Mountain_2_3:(0.056, 0.987, -0.152);Ground_Mountain_2_3:(0.056, 0.987, -0.152);Ground_Mountain_2_3:(0.056, 0.987, -0.152);"
0.120,473.787,1040.514,153.458,40.837,15.797,-5.537,1.112,14.757,0.099,0.000,-0.085,4,25.546,2.675,0.996,"Ground_Mountain_2_3:(0.051, 0.987, -0.149);Ground_Mountain_2_3:(0.051, 0.987, -0.149);Ground_Mountain_2_3:(0.051, 0.987, -0.149);Ground_Mountain_2_3:(0.051, 0.987, -0.149);Ground_Mountain_2_3:(0.051, 0.987, -0.149);"
0.140,474.097,1040.405,153.486,41.127,15.792,-5.546,1.456,14.716,0.101,0.000,-0.087,4,27.013,2.432,0.995,"Ground_Mountain_2_3:(0.055, 0.986, -0.154);Ground_Mountain_2_3:(0.055, 0.986, -0.154);Ground_Mountain_2_3:(0.055, 0.986, -0.154);Ground_Mountain_2_3:(0.055, 0.986, -0.154);"
0.160,474.407,1040.296,153.522,41.417,15.786,-5.556,1.810,14.666,0.104,0.000,-0.088,4,27.519,2.085,0.993,"Ground_Mountain_2_3:(0.055, 0.986, -0.154);Ground_Mountain_2_3:(0.055, 0.986, -0.154);Ground_Mountain_2_3:(0.055, 0.986, -0.154);Ground_Mountain_2_3:(0.055, 0.986, -0.154);"
0.180,474.851,1040.186,153.565,41.705,15.780,-5.568,2.157,14.610,0.107,0.000,-0.088,4,27.241,1.904,0.992,"Ground_Mountain_2_3:(0.060, 0.987, -0.148);Ground_Mountain_2_3:(0.060, 0.987, -0.148);Ground_Mountain_2_3:(0.060, 0.987, -0.148);"
0.200,475.163,1040.075,153.614,41.994,15.774,-5.583,2.485,14.549,0.110,0.000,-0.089,4,26.324,1.552,0.991,""
0.220,475.475,1039.964,153.669,42.281,15.767,-5.603,2.783,14.486,0.113,0.000,-0.089,4,24.842,1.297,0.990,""
0.240,475.788,1039.852,153.730,42.568,15.759,-5.627,3.044,14.425,0.117,0.000,-0.089,4,23.008,1.079,0.989,""
0.260,476.101,1039.739,153.795,42.854,15.751,-5.655,3.265,14.366,0.120,0.000,-0.089,4,20.939,0.920,0.989,""
0.280,476.540,1039.626,153.864,43.139,15.742,-5.689,3.441,14.311,0.124,0.000,-0.089,4,18.712,0.778,0.988,""
