t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,278.116,941.792,124.794,-76.510,15.856,-15.799,0.032,-1.350,0.000,0.000,0.001,2,9.867,4.127,1.000,"Ground_Mountain_1_1:(-0.216, 0.976, -0.018);Ground_Mountain_1_1:(-0.216, 0.976, -0.018);Ground_Mountain_1_1:(-0.216, 0.976, -0.018);Ground_Mountain_1_1:(-0.216, 0.976, -0.018);Ground_Mountain_1_1:(-0.216, 0.976, -0.018);Ground_Mountain_1_1:(-0.216, 0.976, -0.018);"
0.040,277.806,941.473,124.793,-76.537,15.869,-15.812,-0.045,-1.351,0.072,0.000,0.001,2,6.184,2.570,1.000,"Ground_Mountain_1_1:(-0.216, 0.976, -0.018);Ground_Mountain_1_1:(-0.216, 0.976, -0.018);Ground_Mountain_1_1:(-0.216, 0.976, -0.018);Ground_Mountain_1_1:(-0.216, 0.976, -0.018);Ground_Mountain_1_1:(-0.216, 0.976, -0.018);Ground_Mountain_1_1:(-0.216, 0.976, -0.018);"
0.060,277.501,941.154,124.789,-76.565,15.881,-15.824,-0.185,-1.352,0.066,0.000,0.000,2,3.021,1.513,1.000,"Ground_Mountain_1_1:(-0.216, 0.976, -0.018);Ground_Mountain_1_1:(-0.216, 0.976, -0.018);Ground_Mountain_1_1:(-0.216, 0.976, -0.018);Ground_Mountain_1_1:(-0.216, 0.976, -0.018);Ground_Mountain_1_1:(-0.216, 0.976, -0.018);Ground_Mountain_1_1:(-0.216, 0.976, -0.018);"
0.080,277.189,940.835,124.782,-76.592,15.894,-15.833,-0.378,-1.353,0.059,0.000,0.000,2,0.306,0.967,0.999,"Ground_Mountain_1_1:(-0.216, 0.976, -0.018);Ground_Mountain_1_1:(-0.216, 0.976, -0.018);Ground_Mountain_1_1:(-0.216, 0.976, -0.018);Ground_Mountain_1_1:(-0.216, 0.976, -0.018);Ground_Mountain_1_1:(-0.216, 0.976, -0.018);Ground_Mountain_1_1:(-0.216, 0.976, -0.018);"
0.100,276.875,940.515,124.770,-76.619,15.908,-15.840,-0.577,-1.353,0.053,0.000,0.000,2,0.000,0.748,0.999,"Ground_Mountain_1_1:(-0.221, 0.975, -0.018);Ground_Mountain_1_1:(-0.221, 0.975, -0.018);Ground_Mountain_1_1:(-0.221, 0.975, -0.018);Ground_Mountain_1_1:(-0.221, 0.975, -0.018);Ground_Mountain_1_1:(-0.221, 0.975, -0.018);"
0.120,276.560,940.195,124.754,-76.646,15.910,-15.834,-0.773,-1.353,0.046,0.000,0.000,0,0.000,0.386,0.999,"Ground_Mountain_1_1:(-0.227, 0.974, -0.018);Ground_Mountain_1_1:(-0.227, 0.974, -0.018);"
0.140,276.244,939.876,124.735,-76.674,15.915,-15.828,-0.969,-1.352,0.045,0.000,0.000,0,0.000,0.400,0.998,""
0.160,275.928,939.557,124.711,-76.701,15.921,-15.821,-1.165,-1.352,0.043,0.000,0.000,0,0.000,0.412,0.997,""
0.180,275.611,939.238,124.684,-76.728,15.931,-15.815,-1.360,-1.351,0.039,0.000,0.000,0,0.000,0.424,0.997,""
0.200,275.304,938.920,124.653,-76.755,15.942,-15.809,-1.556,-1.351,0.035,0.000,0.000,0,0.000,0.436,0.996,""
0.220,274.986,938.601,124.617,-76.783,15.955,-15.802,-1.751,-1.350,0.029,0.000,0.000,0,0.000,0.447,0.995,""
0.240,274.667,938.283,124.578,-76.810,15.971,-15.796,-1.947,-1.350,0.022,0.000,0.000,0,0.000,0.457,0.994,""
0.260,274.348,937.965,124.535,-76.837,15.989,-15.790,-2.142,-1.349,0.015,0.000,0.000,0,0.000,0.467,0.993,""
0.280,274.027,937.647,124.488,-76.864,16.009,-15.783,-2.337,-1.349,0.006,0.000,0.000,0,0.000,0.477,0.992,""
0.300,273.706,937.329,124.437,-76.891,16.030,-15.777,-2.533,-1.348,0.000,0.000,0.000,0,0.000,0.486,0.991,""
0.320,273.384,937.011,124.382,-76.919,16.054,-15.771,-2.728,-1.347,0.000,0.000,0.000,0,0.000,0.494,0.990,""
