t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,278.149,941.614,124.956,-74.518,15.849,-15.799,0.129,-1.350,0.000,0.000,0.001,2,14.742,4.756,1.000,"Ground_Mountain_0_1:(-0.075, 0.997, -0.005);Ground_Mountain_0_1:(-0.076, 0.997, -0.005);Ground_Mountain_0_1:(-0.076, 0.997, -0.005);Ground_Mountain_0_1:(-0.076, 0.997, -0.005);Ground_Mountain_0_1:(-0.076, 0.997, -0.005);Ground_Mountain_0_1:(-0.075, 0.997, -0.004);Ground_Mountain_0_1:(-0.075, 0.997, -0.004);Ground_Mountain_0_1:(-0.075, 0.997, -0.004);Ground_Mountain_0_1:(-0.075, 0.997, -0.004);Ground_Mountain_0_1:(-0.075, 0.997, -0.004);Ground_Mountain_0_1:(-0.075, 0.997, -0.004);Ground_Mountain_0_1:(-0.074, 0.997, -0.003);Ground_Mountain_0_1:(-0.074, 0.997, -0.003);Ground_Mountain_0_1:(-0.074, 0.997, -0.003);Ground_Mountain_0_1:(-0.074, 0.997, -0.003);Ground_Mountain_0_1:(-0.074, 0.997, -0.004);Ground_Mountain_0_1:(-0.074, 0.997, -0.004);Ground_Mountain_0_1:(-0.074, 0.997, -0.004);Ground_Mountain_0_1:(-0.074, 0.997, -0.004);Ground_Mountain_1_1:(-0.209, 0.978, -0.018);Ground_Mountain_1_1:(-0.209, 0.978, -0.018);Ground_Mountain_1_1:(-0.209, 0.978, -0.018);Ground_Mountain_1_1:(-0.209, 0.978, -0.018);Ground_Mountain_1_1:(-0.209, 0.978, -0.018);Ground_Mountain_1_1:(-0.209, 0.978, -0.018);"
0.040,277.834,941.293,124.957,-74.545,15.854,-15.809,0.044,-1.351,0.075,0.000,0.001,2,5.701,1.591,0.999,"Ground_Mountain_1_1:(-0.215, 0.976, -0.017);Ground_Mountain_1_1:(-0.215, 0.976, -0.017);Ground_Mountain_1_1:(-0.215, 0.976, -0.017);Ground_Mountain_1_1:(-0.215, 0.976, -0.017);"
0.060,277.528,940.971,124.954,-74.573,15.859,-15.817,-0.137,-1.352,0.073,0.000,0.001,2,0.904,0.274,0.999,""
0.080,277.213,940.650,124.947,-74.600,15.867,-15.824,-0.336,-1.352,0.070,0.000,0.001,2,0.000,0.206,0.998,""
0.100,276.897,940.328,124.935,-74.628,15.877,-15.829,-0.535,-1.352,0.066,0.000,0.001,2,0.000,0.499,0.997,""
0.120,276.580,940.006,124.920,-74.655,15.876,-15.823,-0.731,-1.352,0.062,0.000,0.001,0,0.000,1.000,0.995,""
0.140,276.263,939.685,124.901,-74.683,15.879,-15.817,-0.927,-1.351,0.062,0.000,0.001,0,0.000,1.036,0.994,""
0.160,275.945,939.364,124.878,-74.710,15.884,-15.810,-1.123,-1.351,0.061,0.000,0.001,0,0.000,1.070,0.992,""
0.180,275.626,939.044,124.851,-74.737,15.892,-15.804,-1.318,-1.350,0.058,0.000,0.001,0,0.000,1.101,0.990,""
0.200,275.319,938.723,124.820,-74.765,15.903,-15.798,-1.514,-1.350,0.054,0.000,0.000,0,0.000,1.130,0.989,""
0.220,274.999,938.404,124.786,-74.792,15.917,-15.792,-1.709,-1.349,0.049,0.000,0.000,0,0.000,1.156,0.987,""
0.240,274.679,938.084,124.747,-74.819,15.933,-15.785,-1.905,-1.349,0.042,0.000,0.000,0,0.000,1.180,0.985,""
0.260,274.358,937.765,124.704,-74.847,15.952,-15.779,-2.100,-1.348,0.033,0.000,0.000,0,0.000,1.201,0.983,""
0.280,274.037,937.446,124.658,-74.874,15.974,-15.773,-2.295,-1.347,0.024,0.000,0.000,0,0.000,1.220,0.981,""
0.300,273.715,937.127,124.607,-74.901,15.999,-15.766,-2.491,-1.347,0.013,0.000,0.000,0,0.000,1.237,0.979,""
