time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ,vx,vy,vz,yaw,angularSpeed
0.020,17.831,0.357,-629.721,8.959,14.614,4,7.800,0.050,"",0.000,0.000,0.000,17.831,0.000,1.000,124.643,0.294,-0.040,-17.828,0.000,0.010
0.040,17.839,0.714,-629.715,8.958,14.257,4,8.041,0.007,"",0.085,0.000,0.000,17.840,0.000,1.000,124.286,0.294,-0.075,-17.837,0.000,0.016
0.060,17.847,1.071,-629.709,8.956,13.900,4,8.278,0.021,"",0.080,0.000,0.001,17.847,0.000,1.000,123.929,0.294,-0.106,-17.845,0.028,0.019
0.080,17.854,1.428,-629.703,8.953,13.543,4,8.508,0.038,"",0.076,0.000,-0.002,17.855,0.000,1.000,123.572,0.295,-0.132,-17.852,-0.048,0.021
0.100,17.861,1.785,-629.697,8.950,13.185,4,8.732,0.048,"",0.073,0.000,-0.003,17.861,0.000,1.000,123.215,0.295,-0.153,-17.858,-0.077,0.020
0.120,17.867,2.143,-629.691,8.947,12.828,4,8.948,0.051,"",0.070,0.000,0.004,17.868,0.000,1.000,122.857,0.295,-0.170,-17.864,0.099,0.019
0.140,17.873,2.500,-629.685,8.943,12.470,4,9.156,0.051,"",0.066,0.000,0.005,17.873,0.000,1.000,122.500,0.295,-0.183,-17.870,0.119,0.018
0.160,17.878,2.858,-629.679,8.939,12.113,4,9.352,0.049,"",0.064,0.000,-0.006,17.878,0.000,1.000,122.142,0.295,-0.193,-17.875,-0.140,0.015
0.180,17.882,3.216,-629.673,8.935,11.755,4,9.534,0.045,"",0.061,0.000,-0.007,17.883,0.000,1.000,121.784,0.295,-0.198,-17.879,-0.158,0.014
0.200,17.887,3.573,-629.667,8.931,11.397,4,9.700,0.040,"",0.059,0.000,0.008,17.887,0.000,1.000,121.427,0.295,-0.200,-17.884,0.172,0.011
0.220,17.891,3.931,-629.662,8.927,11.039,4,9.847,0.035,"",0.057,0.000,0.008,17.891,0.000,1.000,121.069,0.296,-0.199,-17.888,0.187,0.011
0.240,17.894,4.289,-629.656,8.923,10.682,4,9.975,0.030,"",0.055,0.000,-0.009,17.895,0.000,1.000,120.711,0.295,-0.196,-17.891,-0.198,0.008
0.260,17.898,4.647,-629.650,8.919,10.324,4,10.083,0.025,"",0.053,0.000,-0.009,17.898,0.000,1.000,120.353,0.295,-0.191,-17.895,-0.206,0.009
0.280,17.901,5.005,-629.644,8.916,9.966,4,10.171,0.021,"",0.051,0.000,0.010,17.901,0.000,1.000,119.995,0.296,-0.183,-17.898,0.215,0.005
0.300,17.742,5.360,-629.638,8.912,9.611,4,10.239,0.017,"",0.050,0.000,0.010,17.743,0.000,1.000,119.640,0.293,-0.174,-17.739,0.219,0.007
0.320,17.760,5.715,-629.632,8.909,9.256,4,10.288,0.014,"",0.129,0.000,-0.010,17.760,0.000,1.000,119.285,0.293,-0.165,-17.757,-0.225,0.003
0.340,17.776,6.071,-629.626,8.906,8.900,4,10.319,0.011,"",0.120,0.000,-0.010,17.776,0.000,1.000,118.929,0.293,-0.154,-17.773,-0.229,0.006
0.360,17.790,6.427,-629.620,8.903,8.544,4,10.335,0.009,"",0.112,0.000,0.010,17.790,0.000,1.000,118.573,0.294,-0.144,-17.787,0.232,0.002
0.380,17.803,6.783,-629.614,8.900,8.188,4,10.336,0.007,"",0.105,0.000,0.011,17.803,0.000,1.000,118.217,0.294,-0.133,-17.800,0.233,0.006
0.400,17.815,7.139,-629.609,8.898,7.832,4,10.324,0.005,"",0.098,0.000,-0.011,17.815,0.000,1.000,117.861,0.294,-0.123,-17.812,-0.237,0.001
0.420,17.826,7.496,-629.603,8.896,7.476,4,10.302,0.004,"",0.093,0.000,-0.011,17.826,0.000,1.000,117.504,0.294,-0.113,-17.823,-0.237,0.006
0.440,17.836,7.852,-629.597,8.893,7.119,4,10.272,0.003,"",0.087,0.000,0.011,17.836,0.000,1.000,117.148,0.295,-0.104,-17.833,0.238,0.001
0.460,17.844,8.209,-629.591,8.892,6.762,4,10.235,0.002,"",0.082,0.000,0.011,17.844,0.000,1.000,116.791,0.295,-0.096,-17.842,0.238,0.006
0.480,17.852,8.566,-629.585,8.890,6.405,4,10.194,0.001,"",0.078,0.000,-0.011,17.852,0.000,1.000,116.434,0.295,-0.088,-17.850,-0.238,0.001
0.500,17.860,8.923,-629.579,8.888,6.048,4,10.150,0.001,"",0.074,0.000,-0.011,17.860,0.000,1.000,116.077,0.295,-0.081,-17.857,-0.239,0.006
0.520,17.866,9.281,-629.573,8.887,5.691,4,10.104,0.001,"",0.070,0.000,0.011,17.866,0.000,1.000,115.719,0.295,-0.075,-17.864,0.239,0.001
0.540,17.872,9.638,-629.567,8.885,5.333,4,10.059,0.000,"",0.067,0.000,0.011,17.872,0.000,1.000,115.362,0.295,-0.070,-17.870,0.238,0.006
