time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.412,7.250,594.245,80.871,-106.787,4,,76.002,55.319,0.000,0.042
0.816,13.418,597.273,80.572,-109.714,4,,80.220,52.133,0.000,0.066
1.216,18.836,601.622,80.079,-114.561,4,,86.741,47.194,0.000,0.107
1.634,23.188,606.455,79.274,-122.105,4,,95.702,40.073,0.000,0.154
2.036,19.844,608.992,78.383,-130.081,4,,103.993,32.763,0.372,0.138
2.437,14.440,609.235,77.676,-136.502,4,,110.293,26.688,0.000,0.105
2.837,14.498,608.249,77.018,-142.491,4,,116.275,20.728,0.304,0.069
3.351,16.081,606.054,75.444,-149.898,0,,123.834,13.054,0.000,0.028
3.809,17.061,603.945,71.920,-156.586,0,,131.508,6.165,0.000,-0.053
4.267,20.474,601.510,66.565,-163.287,2,,140.319,1.303,0.000,-0.049
5.092,23.932,593.771,57.324,-177.707,4,,159.068,1.519,0.000,0.059
5.567,23.866,587.623,52.389,-186.040,4,,170.459,0.127,0.000,0.055
6.185,23.907,577.843,46.214,-195.283,4,,184.993,0.536,0.000,0.063
6.608,23.579,570.137,42.864,-200.506,4,,194.487,0.335,0.000,0.078
7.194,23.699,557.919,42.166,-206.788,2,,207.357,0.743,0.000,0.101
8.060,21.350,538.724,42.550,-213.197,3,,227.661,4.407,0.000,0.081
8.534,21.770,529.294,46.175,-213.561,0,,236.336,5.169,0.000,0.116
8.964,19.203,520.573,49.067,-212.305,0,,244.721,4.767,0.000,0.032
9.372,17.139,512.706,50.027,-211.184,0,,255.002,4.652,0.000,-0.061
9.805,15.450,504.133,49.264,-209.974,0,,265.864,4.670,0.000,-0.175
10.229,13.879,496.035,46.777,-208.840,0,,275.317,4.726,0.000,-0.276
10.673,9.692,488.069,43.486,-207.639,4,,282.178,4.648,0.000,-0.362
11.100,15.613,483.722,43.731,-203.981,4,,285.117,1.579,0.000,-0.278
11.718,22.268,473.351,43.579,-198.499,4,,293.218,2.765,0.000,-0.122
12.120,26.299,463.645,43.357,-197.561,4,,303.325,2.946,0.000,-0.029
12.520,30.049,452.332,43.005,-197.873,4,,315.636,1.741,0.000,0.016
12.921,33.519,438.944,42.592,-198.184,4,,332.353,0.360,0.000,0.022
13.322,36.069,425.037,43.231,-197.967,4,,354.179,0.490,0.000,0.010
13.765,37.767,408.804,45.036,-197.030,0,,436.923,0.665,0.000,0.026
14.170,37.223,393.848,45.769,-196.023,0,,459.591,0.467,0.000,0.000
18.056,43.562,246.608,47.270,-192.795,2,,589.128,0.754,0.000,0.010
18.456,43.091,229.922,46.335,-188.080,4,,605.501,0.369,0.000,0.035
18.873,42.055,213.179,45.470,-182.042,4,,622.970,0.006,0.000,0.037
19.290,36.379,197.773,44.375,-174.693,4,,640.129,3.189,1.000,-0.038
19.819,31.855,182.140,42.992,-167.872,2,,657.204,20.196,0.000,-0.031
20.262,31.957,168.314,41.019,-163.424,4,,671.847,34.700,0.000,-0.021
20.759,31.822,153.540,39.809,-159.814,4,,687.107,49.841,0.000,-0.011
21.159,31.917,141.075,39.437,-157.262,4,,699.845,62.497,0.000,-0.005
