time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.358,5.669,271.968,35.760,-370.305,4,,1516.127,63.227,0.000,0.018
0.758,11.095,269.110,36.039,-368.433,4,,1519.564,59.815,0.000,0.018
1.159,15.783,264.636,36.618,-365.396,4,,1525.014,54.411,0.000,0.014
1.559,19.807,258.840,37.574,-361.281,4,,1532.193,47.304,0.000,0.009
1.959,23.262,251.955,38.897,-356.196,4,,1540.860,38.745,0.000,0.004
2.359,26.243,244.128,40.522,-350.285,4,,1550.805,28.937,0.000,-0.002
2.883,29.561,232.645,42.895,-341.641,4,,1565.368,14.566,0.000,-0.010
3.422,28.422,219.348,45.238,-332.109,4,Fox Gully,1581.876,0.251,1.000,0.032
3.871,23.911,209.912,46.320,-325.365,4,Fox Gully,1593.464,2.462,0.329,-0.062
4.272,27.142,201.181,46.621,-319.972,3,Fox Gully,1603.640,1.028,0.000,-0.082
4.690,29.692,190.026,45.941,-315.411,4,Fox Gully,1615.604,0.915,0.000,-0.054
5.091,29.695,178.518,44.455,-312.566,4,Fox Gully,1627.372,1.143,0.000,-0.034
5.491,29.918,166.864,42.467,-310.852,4,Fox Gully,1639.109,0.749,0.000,-0.035
5.891,29.797,155.152,40.317,-310.094,4,Fox Gully,1650.804,0.313,0.000,-0.061
6.292,24.509,144.080,38.666,-310.645,4,Fox Gully,1661.534,0.026,1.000,-0.099
6.692,22.526,135.585,38.581,-312.581,4,Fox Gully,1669.317,0.111,0.000,-0.128
7.093,16.263,128.427,39.173,-315.905,4,Fox Gully,1675.581,0.111,0.000,-0.127
7.493,20.159,122.767,40.088,-320.479,4,Fox Gully,1679.993,0.531,0.000,-0.115
7.943,22.285,116.603,40.264,-327.884,0,Fox Gully,1684.233,1.263,0.000,-0.079
8.373,24.258,111.132,38.759,-336.249,4,Fox Gully,1687.392,2.291,0.000,-0.041
8.782,28.372,107.652,36.726,-346.035,4,Fox Gully,1688.260,1.589,0.000,0.006
9.185,29.862,103.987,34.844,-357.104,4,Fox Gully,1688.807,0.721,0.000,0.032
9.586,29.798,99.694,32.997,-368.083,4,Fox Gully,1690.236,0.117,0.000,0.045
10.029,29.745,93.508,31.145,-380.186,4,Fox Gully,1847.842,0.265,0.000,0.040
10.429,29.822,87.044,29.818,-390.124,4,Fox Gully,1861.990,0.599,0.000,0.024
10.871,29.917,79.176,28.505,-400.550,4,Fox Gully,1880.221,0.564,0.000,0.010
11.272,29.916,71.690,27.362,-409.776,4,Fox Gully,1893.535,0.347,0.000,0.003
11.695,29.924,63.704,26.255,-419.371,4,Fox Gully,1905.249,0.143,0.000,0.001
12.128,29.916,55.672,25.245,-428.934,4,Fox Gully,1916.231,0.034,0.000,0.002
12.891,26.316,42.595,25.963,-444.340,4,Fox Gully,1932.304,0.017,0.000,0.003
13.973,25.941,26.002,30.734,-463.318,4,Fox Gully,1953.582,0.018,0.000,0.005
14.868,25.181,11.058,33.339,-480.016,0,Fox Gully,1971.307,0.291,0.000,0.022
15.705,25.917,-2.814,34.173,-494.423,4,Fox Gully,1985.552,0.648,0.000,0.013
16.270,29.559,-14.832,35.160,-505.381,2,Fox Gully,1996.937,0.228,0.000,-0.002
16.672,29.391,-23.606,34.882,-513.276,0,Fox Gully,2006.256,0.107,0.000,-0.017
17.077,29.413,-32.303,33.043,-521.101,0,Fox Gully,2018.889,0.530,0.000,-0.043
17.477,29.449,-40.929,29.664,-528.857,2,Fox Gully,2031.496,1.201,0.000,-0.085
17.877,23.253,-48.249,28.601,-536.006,4,Fox Gully,2051.361,1.786,0.000,-0.079
18.277,19.406,-53.872,28.558,-543.273,4,Fox Gully,2084.586,1.689,1.000,-0.056
18.677,21.100,-57.987,29.364,-549.781,4,Fox Gully,2093.143,1.335,0.000,-0.018
19.081,24.672,-62.476,29.925,-557.801,4,Fox Gully,2100.104,0.799,0.000,0.019
19.483,25.987,-67.677,30.228,-566.763,4,Fox Gully,2106.650,0.425,0.000,0.074
19.907,22.249,-73.615,30.207,-574.700,4,Fox Gully,2113.303,0.420,0.000,0.135
20.308,21.545,-80.218,30.343,-580.202,4,Fox Gully,2120.194,0.345,0.333,0.172
20.755,24.392,-89.961,30.439,-583.883,4,Fox Gully,2130.032,0.908,0.000,0.143
21.156,27.453,-100.344,30.519,-584.230,4,Fox Gully,2140.431,2.028,0.000,0.102
21.607,30.594,-112.880,30.517,-581.665,4,,2152.889,3.007,0.000,-0.103
22.063,33.391,-127.500,30.546,-579.818,4,,2167.425,17.492,0.000,-0.048
22.468,35.614,-141.311,30.851,-580.347,4,,2181.268,31.283,0.000,-0.004
22.888,37.687,-156.677,31.194,-581.638,4,,2196.680,46.656,0.000,0.017
23.335,39.664,-174.470,31.429,-582.625,4,,2214.483,64.468,0.000,0.019
