time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.358,5.697,541.162,50.982,-194.652,4,,835.916,59.997,0.000,0.003
0.787,12.532,542.458,49.103,-198.066,4,,840.030,56.355,0.000,0.010
1.198,18.019,544.386,46.302,-203.229,4,,846.220,50.860,0.000,0.017
1.602,22.856,546.895,42.756,-210.224,4,,854.477,43.447,0.000,0.023
2.017,27.240,549.972,38.716,-219.488,4,,865.090,33.703,0.000,0.023
2.417,30.724,553.161,35.241,-230.113,4,,876.746,22.624,0.000,0.028
2.821,31.970,556.311,32.277,-241.977,4,,889.409,10.358,0.000,0.043
3.224,28.244,558.912,30.330,-253.931,4,Creek Leap,901.825,0.082,1.000,-0.030
3.633,27.602,560.954,29.283,-264.863,4,Creek Leap,912.979,0.976,0.000,0.039
4.045,29.926,562.934,28.397,-276.743,4,Creek Leap,924.891,0.326,0.000,0.048
4.446,28.751,564.274,27.464,-288.639,4,Creek Leap,936.574,0.310,0.426,0.101
4.850,24.648,564.486,26.607,-299.286,4,Creek Leap,946.846,0.086,0.414,0.168
5.250,22.834,563.144,26.067,-308.657,4,Creek Leap,956.044,0.172,0.000,0.225
5.652,22.831,559.940,25.680,-316.974,4,Creek Leap,964.725,0.681,0.000,0.209
6.055,25.328,554.400,25.397,-324.882,4,Creek Leap,973.730,1.539,0.000,0.146
6.455,27.644,546.692,25.242,-332.183,4,Creek Leap,982.721,1.750,0.000,0.079
6.920,30.089,535.847,25.236,-339.885,4,Creek Leap,992.563,1.190,0.000,0.036
7.329,31.968,524.671,25.850,-346.608,4,Creek Leap,1000.913,0.573,0.000,0.033
7.755,33.366,512.544,26.182,-353.149,4,Creek Leap,1008.626,0.250,0.000,0.053
8.156,33.709,500.367,26.010,-358.840,4,Creek Leap,1014.580,0.251,0.000,0.085
8.556,29.101,488.189,26.273,-363.325,4,Creek Leap,1019.080,0.426,1.000,0.122
8.984,27.893,477.204,28.241,-365.919,4,Creek Leap,1022.391,0.678,0.000,0.124
9.495,28.265,462.758,31.679,-366.897,0,Creek Leap,1024.352,0.996,0.000,0.059
9.895,26.960,451.521,32.878,-367.217,0,Creek Leap,1378.205,1.909,0.000,0.020
10.433,26.301,436.564,32.002,-367.641,0,Creek Leap,1385.041,3.843,0.000,-0.012
10.841,25.562,425.630,29.529,-367.956,0,Creek Leap,1389.318,5.406,0.000,-0.037
11.293,23.459,413.174,24.777,-368.321,0,Creek Leap,1394.918,6.969,0.000,-0.087
11.725,23.212,403.622,24.821,-366.719,4,Creek Leap,1400.154,5.839,0.000,-0.154
12.125,25.541,394.459,25.240,-363.278,4,Creek Leap,1404.526,2.174,0.000,-0.257
12.537,27.040,383.602,26.717,-361.796,4,Creek Leap,1409.089,0.885,0.000,-0.234
13.333,29.388,362.495,30.976,-367.976,4,Creek Leap,1419.082,2.162,0.000,-0.058
13.734,30.579,352.399,33.611,-373.898,4,Creek Leap,1426.714,1.392,0.000,0.000
14.137,31.137,342.458,37.231,-380.293,4,Creek Leap,1437.180,0.596,0.000,0.036
14.537,28.441,332.645,41.030,-386.330,3,Creek Leap,1448.939,0.105,0.270,0.077
14.937,26.745,323.329,43.347,-391.674,0,Creek Leap,1459.078,0.497,1.000,0.231
15.337,25.883,314.068,44.079,-396.966,0,Creek Leap,1466.420,2.634,1.000,0.543
15.739,25.424,304.895,43.236,-402.197,0,Creek Leap,1472.744,7.875,1.000,0.759
16.144,25.105,295.823,40.837,-407.374,0,Creek Leap,1478.803,15.443,1.000,0.837
16.580,17.264,286.540,38.361,-411.875,4,Creek Leap,1484.646,23.717,1.000,0.893
16.980,0.085,283.018,37.852,-412.511,4,Creek Leap,1486.946,26.211,0.000,1.000
17.383,0.239,283.026,37.956,-412.289,4,Creek Leap,1487.014,26.023,0.000,1.000
17.797,0.269,283.004,37.918,-412.024,4,Creek Leap,1487.158,25.817,0.000,1.000
18.197,0.269,282.954,37.886,-411.769,4,Creek Leap,1487.320,25.635,0.000,1.000
18.640,0.280,282.867,37.845,-411.493,4,Creek Leap,1487.525,25.457,0.000,1.000
19.081,0.028,282.774,37.839,-411.311,4,Creek Leap,1487.687,25.360,0.000,1.000
19.481,0.027,282.757,37.856,-411.279,4,Creek Leap,1487.712,25.344,0.000,1.000
19.908,0.029,282.742,37.854,-411.245,4,Creek Leap,1487.741,25.325,0.000,1.000
20.325,0.030,282.727,37.849,-411.214,4,Creek Leap,1487.769,25.308,0.000,1.000
20.725,0.031,282.711,37.843,-411.184,4,Creek Leap,1487.797,25.293,0.000,1.000
21.153,0.031,282.694,37.837,-411.153,4,Creek Leap,1487.827,25.277,0.000,1.000
21.565,0.034,282.677,37.832,-411.123,4,Creek Leap,1487.856,25.263,0.000,1.000
21.994,0.300,298.983,39.678,-391.676,0,Creek Leap,1481.936,0.001,0.000,0.127
22.508,6.927,297.631,38.983,-390.742,4,Creek Leap,1483.603,0.007,0.000,0.166
22.966,12.843,294.063,37.984,-387.956,4,Creek Leap,1488.033,0.207,0.000,0.111
23.375,17.297,289.703,36.832,-383.875,4,Creek Leap,1493.826,0.771,0.000,0.097
23.775,21.063,284.430,35.831,-378.328,4,,1501.209,1.330,0.000,-0.285
24.241,24.341,275.982,35.491,-372.199,4,,1511.685,11.655,0.000,-0.054
24.666,25.424,266.096,36.400,-367.380,4,,1522.667,22.608,0.000,0.064
25.196,25.361,254.460,38.228,-361.439,4,,1535.682,35.665,0.000,0.074
25.777,26.719,242.262,40.632,-353.182,4,,1550.574,50.349,0.000,0.087
