time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.391,5.115,-116.244,30.647,-577.774,4,,2156.076,63.925,0.000,-0.564
0.797,9.631,-119.254,30.655,-577.666,4,,2159.085,60.932,0.000,-0.276
1.197,13.650,-123.924,30.696,-578.258,4,,2163.784,56.230,0.000,-0.055
1.598,17.270,-130.005,30.786,-579.619,4,,2169.928,50.071,0.000,0.060
1.998,20.476,-137.425,30.932,-581.222,4,,2177.413,42.585,0.000,0.087
2.404,23.305,-146.131,31.121,-582.460,4,,2186.157,33.859,0.000,0.066
2.806,25.967,-156.495,31.334,-583.067,4,,2196.527,23.500,0.000,0.031
3.216,28.263,-167.372,31.499,-583.088,4,,2207.393,12.629,0.000,0.009
3.617,29.762,-179.111,31.562,-582.825,4,,2219.118,0.919,1.000,-0.074
7.174,0.850,-187.836,31.465,-585.699,4,Pine Ridge,2227.785,0.553,0.000,-0.032
7.604,6.173,-189.382,31.442,-585.589,4,Pine Ridge,2229.322,0.184,0.000,0.031
8.014,10.914,-193.026,31.376,-585.294,4,Pine Ridge,2232.961,0.263,0.000,0.107
8.421,14.943,-198.213,31.246,-584.647,4,Pine Ridge,2238.134,0.169,0.000,0.116
8.870,19.078,-205.918,30.964,-582.981,4,Pine Ridge,2245.875,0.518,0.000,0.047
9.306,22.647,-214.759,30.489,-580.360,4,Pine Ridge,2254.833,0.763,0.000,0.006
9.707,25.608,-223.955,29.802,-577.364,4,Pine Ridge,2264.255,0.310,0.000,0.014
10.111,28.344,-234.161,28.745,-573.885,4,Pine Ridge,2274.881,0.010,0.000,0.044
10.514,30.898,-245.160,27.126,-569.662,4,Pine Ridge,2286.537,0.088,0.000,0.068
10.952,33.065,-257.743,25.108,-563.711,4,Pine Ridge,2300.133,0.461,0.000,0.074
11.365,35.109,-269.969,23.671,-556.367,4,Pine Ridge,2313.504,0.726,0.000,0.062
11.767,36.614,-281.549,23.398,-547.918,4,Pine Ridge,2326.235,0.767,0.000,0.050
12.200,37.755,-293.467,24.589,-537.892,4,Pine Ridge,2339.225,0.685,0.000,0.033
12.698,38.391,-307.287,26.369,-524.801,0,Pine Ridge,2354.395,0.501,0.000,0.014
13.126,37.991,-319.322,26.137,-513.047,0,Pine Ridge,2367.838,0.609,0.000,0.005
13.530,33.697,-329.291,26.541,-502.707,4,Pine Ridge,2378.827,0.501,0.491,0.003
14.020,31.610,-339.574,28.921,-491.509,4,Pine Ridge,2389.731,0.173,0.000,-0.004
14.527,30.711,-350.447,31.410,-479.611,0,Pine Ridge,2401.164,0.095,0.000,0.013
14.976,30.427,-359.560,31.484,-469.645,0,Pine Ridge,2411.466,0.253,0.000,0.018
15.376,30.707,-367.754,29.913,-460.693,0,Pine Ridge,2420.793,0.355,0.000,0.019
16.000,30.119,-380.299,24.422,-446.988,0,Pine Ridge,2434.837,0.483,0.000,0.021
17.402,33.048,-409.516,20.225,-416.690,4,Pine Ridge,2466.041,0.251,0.000,0.000
17.807,34.889,-419.227,19.676,-406.217,4,Pine Ridge,2476.156,0.128,0.000,-0.009
18.313,36.815,-431.518,18.985,-393.145,4,Pine Ridge,2488.747,0.037,0.000,-0.013
18.715,38.171,-441.971,18.408,-382.380,4,Pine Ridge,2499.242,0.106,0.000,-0.017
19.115,39.240,-452.986,17.811,-371.470,4,Pine Ridge,2829.845,0.130,0.000,-0.021
19.515,39.629,-464.468,17.204,-360.644,4,Pine Ridge,2840.792,0.184,0.000,-0.022
19.915,39.758,-476.317,16.594,-350.084,4,Pine Ridge,2851.470,0.222,0.000,-0.021
20.316,39.802,-488.483,15.982,-339.844,4,Pine Ridge,2861.819,0.224,0.000,-0.020
20.724,39.818,-500.928,15.370,-329.927,4,Pine Ridge,2871.843,0.214,0.000,-0.018
21.124,39.825,-513.618,14.758,-320.319,4,Pine Ridge,2881.798,0.201,0.000,-0.014
21.524,39.829,-526.511,14.145,-310.981,4,Pine Ridge,2891.533,0.184,0.000,-0.008
21.925,39.832,-540.194,13.502,-301.378,4,Pine Ridge,2901.523,0.149,0.000,0.003
22.328,39.832,-553.255,12.889,-292.274,4,Pine Ridge,2910.947,0.085,0.000,0.019
22.743,39.830,-566.192,12.277,-282.994,4,Pine Ridge,2920.516,0.052,0.000,0.011
23.147,39.832,-579.589,11.633,-272.996,4,Pine Ridge,2930.788,0.252,0.000,-0.007
23.547,39.864,-592.308,10.438,-263.441,0,Pine Ridge,2940.581,0.034,0.000,-0.001
23.979,35.299,-605.151,8.282,-253.866,4,Pine Ridge,2950.376,0.217,0.479,0.057
24.410,25.607,-615.540,7.790,-245.640,4,Pine Ridge,2958.774,0.210,1.000,0.124
24.819,20.437,-621.918,8.019,-239.277,4,Pine Ridge,2965.240,0.218,0.000,0.205
25.219,19.765,-626.417,8.023,-232.705,4,Pine Ridge,2971.880,0.138,0.000,0.288
25.620,20.689,-629.101,8.050,-225.130,4,Pine Ridge,2979.495,0.641,0.000,0.284
26.023,23.155,-629.476,8.081,-216.341,4,Pine Ridge,2988.288,1.754,0.000,0.190
26.432,25.613,-627.275,8.119,-206.310,4,,2998.284,2.196,0.000,-0.218
26.901,28.252,-623.307,8.158,-194.517,4,,3010.018,10.153,0.000,-0.141
27.314,30.254,-621.097,8.200,-182.405,4,,3022.098,22.463,0.000,-0.096
27.804,32.399,-620.780,8.252,-167.350,4,,3037.148,37.426,0.000,-0.020
28.256,34.299,-621.674,8.305,-152.008,4,,3052.501,52.643,0.000,0.018
