time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.378,5.126,135.921,37.750,-295.605,4,,3000.177,63.236,0.000,0.008
0.787,9.807,138.846,37.902,-296.452,4,,3003.247,60.201,0.000,0.011
1.189,13.834,143.411,38.301,-297.802,4,,3008.042,55.455,0.000,0.013
1.593,17.252,149.349,39.061,-299.625,4,,3014.321,49.262,0.000,0.016
1.993,20.139,156.411,40.220,-301.913,4,,3021.851,41.859,0.000,0.019
2.472,23.037,166.080,42.047,-305.299,4,,3032.263,31.635,0.000,0.022
2.969,25.591,177.280,44.165,-309.650,4,,3044.445,19.635,0.000,0.026
3.455,18.498,186.740,45.632,-314.007,4,,3054.932,9.219,0.000,0.063
3.859,18.479,193.062,46.338,-317.790,4,,3062.285,2.034,0.000,0.034
4.259,17.339,199.126,46.694,-321.885,4,,3069.554,0.290,0.469,-0.051
4.676,13.586,204.417,46.641,-325.394,4,,3075.913,0.684,0.000,-0.192
5.076,14.098,209.402,46.347,-327.821,4,,3081.490,1.123,0.000,-0.383
5.476,14.745,214.896,45.911,-328.743,4,,3086.646,0.459,0.000,-0.433
5.936,18.331,222.224,45.394,-326.633,4,,3091.533,1.953,0.000,-0.320
6.420,19.673,229.037,45.986,-320.459,4,Laurel Switchbacks,3093.520,3.380,0.000,-0.131
6.825,19.791,233.174,46.709,-313.779,4,Laurel Switchbacks,3093.098,2.932,0.000,0.003
7.234,19.789,236.990,47.633,-306.453,4,Laurel Switchbacks,3092.176,1.708,0.000,0.092
7.634,19.778,241.072,48.400,-299.712,4,Laurel Switchbacks,3091.688,0.559,0.000,0.134
8.074,19.781,246.626,48.990,-293.039,4,Laurel Switchbacks,3092.470,0.301,0.000,0.145
8.474,21.467,252.842,49.962,-287.888,4,Laurel Switchbacks,3094.206,0.751,0.000,0.121
8.905,23.829,260.999,51.516,-283.203,4,Laurel Switchbacks,3097.262,1.110,0.000,0.073
9.322,25.848,270.496,53.476,-279.299,4,Laurel Switchbacks,3101.663,1.091,0.000,0.023
9.727,27.251,280.409,55.607,-275.965,4,Laurel Switchbacks,3106.677,0.764,0.000,-0.017
10.190,27.473,292.102,58.196,-272.023,4,Laurel Switchbacks,3112.425,0.300,0.000,-0.053
10.590,27.470,302.080,60.439,-267.996,4,Laurel Switchbacks,3117.175,0.012,0.000,-0.086
11.003,26.622,312.004,62.677,-262.685,4,Laurel Switchbacks,3121.241,0.227,0.160,-0.134
11.414,25.104,320.399,64.538,-256.119,4,Laurel Switchbacks,3123.604,0.352,0.000,-0.157
11.824,26.228,326.826,65.874,-248.319,4,Laurel Switchbacks,3123.822,0.825,0.000,-0.138
12.241,27.446,332.011,66.921,-238.276,4,Laurel Switchbacks,3121.844,1.393,0.000,-0.088
12.960,27.737,337.450,68.311,-219.190,4,Laurel Switchbacks,3115.265,1.092,0.000,0.005
15.280,14.934,356.027,72.134,-181.184,4,Laurel Switchbacks,3942.236,0.022,0.000,0.410
15.681,17.436,362.445,73.071,-180.702,4,Laurel Switchbacks,3938.850,1.568,0.000,0.326
16.084,19.817,369.489,73.935,-183.034,4,Laurel Switchbacks,3931.008,2.747,0.000,0.194
16.485,22.275,376.326,74.838,-187.903,4,Laurel Switchbacks,3917.811,2.797,0.000,0.065
16.886,24.674,383.029,75.798,-194.453,4,Laurel Switchbacks,3906.356,1.951,0.000,-0.035
17.287,25.016,390.198,76.809,-201.635,4,Laurel Switchbacks,3897.785,0.855,0.386,-0.115
17.687,20.643,397.209,77.722,-207.328,4,Laurel Switchbacks,3890.717,0.186,0.507,-0.178
18.087,18.496,403.816,78.512,-210.836,4,Laurel Switchbacks,3885.692,0.003,0.000,-0.245
18.542,18.536,411.923,79.426,-212.523,4,Laurel Switchbacks,3881.744,0.267,0.000,-0.264
18.992,21.192,420.563,80.293,-211.287,4,Laurel Switchbacks,3880.056,1.402,0.000,-0.210
19.394,23.612,429.026,80.992,-207.178,4,Laurel Switchbacks,3880.769,2.039,0.000,-0.130
19.997,26.928,440.512,81.912,-197.278,4,Laurel Switchbacks,3885.229,1.615,0.000,-0.039
