time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ,vx,vy,vz,yaw,angularSpeed
0.015,11.887,0.238,-625.508,8.342,-149.745,4,7.800,0.042,"",0.000,0.000,0.000,11.887,0.000,1.000,-39.762,-0.196,-0.041,11.886,0.000,0.008
0.035,11.895,0.475,-625.512,8.341,-149.507,4,8.247,0.006,"",0.056,0.000,0.000,11.895,0.000,1.000,-39.525,-0.196,-0.072,11.893,0.000,0.013
0.055,11.901,0.713,-625.516,8.339,-149.269,4,8.669,0.017,"",0.053,0.000,0.001,11.902,0.000,1.000,-39.287,-0.196,-0.095,11.900,0.020,0.016
0.075,11.800,0.949,-625.520,8.337,-149.033,4,9.058,0.032,"",0.049,0.000,-0.002,11.801,0.000,1.000,-39.051,-0.195,-0.110,11.799,-0.040,0.017
0.095,11.817,1.186,-625.524,8.334,-148.797,4,9.408,0.039,"",0.100,0.000,0.003,11.818,0.000,1.000,-38.814,-0.195,-0.118,11.816,0.063,0.017
0.115,11.832,1.422,-625.528,8.332,-148.561,4,9.709,0.042,"",0.091,0.000,-0.004,11.833,0.000,1.000,-38.578,-0.195,-0.120,11.831,-0.079,0.016
0.135,11.846,1.659,-625.532,8.330,-148.324,4,9.963,0.042,"",0.084,0.000,0.004,11.846,0.000,1.000,-38.341,-0.195,-0.117,11.844,0.099,0.014
0.155,11.857,1.896,-625.536,8.327,-148.087,4,10.170,0.040,"",0.077,0.000,-0.005,11.858,0.000,1.000,-38.104,-0.196,-0.109,11.856,-0.115,0.013
0.175,11.868,2.133,-625.540,8.326,-147.850,4,10.331,0.037,"",0.071,0.000,0.006,11.869,0.000,1.000,-37.867,-0.196,-0.099,11.867,0.131,0.011
0.195,11.877,2.371,-625.544,8.324,-147.612,4,10.450,0.033,"",0.066,0.000,-0.006,11.878,0.000,1.000,-37.629,-0.196,-0.086,11.876,-0.143,0.010
0.215,11.885,2.608,-625.548,8.322,-147.375,4,10.530,0.029,"",0.061,0.000,0.007,11.886,0.000,1.000,-37.392,-0.196,-0.071,11.884,0.155,0.008
0.235,11.893,2.846,-625.551,8.321,-147.137,4,10.576,0.025,"",0.057,0.000,-0.007,11.893,0.000,1.000,-37.154,-0.196,-0.056,11.891,-0.163,0.007
0.255,11.899,3.084,-625.555,8.320,-146.899,4,10.592,0.021,"",0.054,0.000,0.008,11.899,0.000,1.000,-36.916,-0.196,-0.040,11.898,0.171,0.006
0.275,11.905,3.322,-625.559,8.320,-146.661,4,10.583,0.017,"",0.050,0.000,-0.008,11.905,0.000,1.000,-36.678,-0.196,-0.025,11.903,-0.177,0.005
0.295,11.803,3.558,-625.563,8.320,-146.425,4,10.553,0.014,"",0.048,0.000,0.008,11.803,0.000,1.000,-36.442,-0.195,-0.010,11.801,0.182,0.004
0.315,11.819,3.795,-625.567,8.320,-146.189,4,10.507,0.012,"",0.099,0.000,-0.008,11.819,0.000,1.000,-36.205,-0.195,0.004,11.817,-0.186,0.003
0.335,11.834,4.031,-625.571,8.320,-145.952,4,10.449,0.009,"",0.090,0.000,0.008,11.834,0.000,1.000,-35.969,-0.195,0.017,11.832,0.189,0.003
0.355,11.846,4.268,-625.575,8.321,-145.715,4,10.382,0.007,"",0.083,0.000,-0.009,11.846,0.000,1.000,-35.732,-0.195,0.028,11.845,-0.192,0.002
0.375,11.858,4.505,-625.579,8.321,-145.478,4,10.311,0.006,"",0.077,0.000,0.009,11.858,0.000,1.000,-35.495,-0.195,0.038,11.856,0.194,0.002
0.395,11.868,4.743,-625.583,8.322,-145.241,4,10.237,0.004,"",0.071,0.000,-0.009,11.868,0.000,1.000,-35.257,-0.196,0.047,11.866,-0.196,0.002
0.415,11.877,4.980,-625.587,8.323,-145.003,4,10.163,0.003,"",0.066,0.000,0.009,11.877,0.000,1.000,-35.020,-0.196,0.054,11.875,0.196,0.002
0.435,11.885,5.218,-625.591,8.325,-144.765,4,10.091,0.002,"",0.061,0.000,-0.009,11.885,0.000,1.000,-34.782,-0.196,0.059,11.884,-0.197,0.002
0.455,11.892,5.456,-625.594,8.326,-144.528,4,10.023,0.002,"",0.057,0.000,0.009,11.892,0.000,1.000,-34.544,-0.196,0.064,11.891,0.198,0.002
0.475,11.899,5.694,-625.598,8.327,-144.290,4,9.961,0.001,"",0.054,0.000,-0.009,11.899,0.000,1.000,-34.306,-0.196,0.067,11.897,-0.198,0.002
0.495,11.904,5.932,-625.602,8.329,-144.052,4,9.904,0.001,"",0.051,0.000,0.009,11.905,0.000,1.000,-34.068,-0.196,0.069,11.903,0.199,0.002
0.515,11.802,6.168,-625.606,8.330,-143.816,4,9.853,0.001,"",0.048,0.000,-0.009,11.802,0.000,1.000,-33.832,-0.195,0.069,11.801,-0.198,0.002
0.535,11.819,6.404,-625.610,8.331,-143.579,4,9.810,0.000,"",0.099,0.000,0.009,11.819,0.000,1.000,-33.596,-0.195,0.069,11.817,0.199,0.002
0.555,11.833,6.641,-625.614,8.333,-143.343,4,9.773,0.000,"",0.091,0.000,-0.009,11.833,0.000,1.000,-33.359,-0.195,0.069,11.832,-0.198,0.002
0.575,11.846,6.878,-625.618,8.334,-143.106,4,9.743,0.000,"",0.083,0.000,0.009,11.846,0.000,1.000,-33.122,-0.195,0.067,11.844,0.198,0.002
0.595,11.858,7.115,-625.622,8.335,-142.869,4,9.720,0.000,"",0.077,0.000,-0.009,11.858,0.000,1.000,-32.885,-0.195,0.065,11.856,-0.199,0.002
0.615,11.868,7.352,-625.626,8.337,-142.631,4,9.703,0.000,"",0.071,0.000,0.009,11.868,0.000,1.000,-32.648,-0.196,0.063,11.866,0.198,0.002
0.635,11.877,7.590,-625.630,8.338,-142.394,4,9.691,0.000,"",0.066,0.000,-0.009,11.877,0.000,1.000,-32.410,-0.196,0.061,11.875,-0.198,0.002
0.655,11.885,7.828,-625.633,8.339,-142.156,4,9.684,0.000,"",0.062,0.000,0.009,11.885,0.000,1.000,-32.172,-0.196,0.058,11.883,0.198,0.002
0.675,11.892,8.065,-625.637,8.340,-141.918,4,9.682,0.000,"",0.057,0.000,-0.009,11.892,0.000,1.000,-31.935,-0.196,0.056,11.891,-0.198,0.002
0.695,11.899,8.303,-625.641,8.341,-141.680,4,9.683,0.000,"",0.054,0.000,0.009,11.899,0.000,1.000,-31.697,-0.196,0.053,11.897,0.198,0.002
0.715,11.904,8.541,-625.645,8.342,-141.442,4,9.688,0.000,"",0.051,0.000,-0.009,11.904,0.000,1.000,-31.459,-0.196,0.051,11.903,-0.198,0.002
0.735,11.802,8.777,-625.649,8.343,-141.206,4,9.694,0.000,"",0.048,0.000,0.009,11.802,0.000,1.000,-31.223,-0.195,0.048,11.801,0.198,0.002
0.755,11.819,9.014,-625.653,8.344,-140.970,4,9.703,0.000,"",0.099,0.000,-0.009,11.819,0.000,1.000,-30.986,-0.195,0.046,11.817,-0.198,0.002
0.775,11.833,9.251,-625.657,8.345,-140.733,4,9.713,0.000,"",0.091,0.000,0.009,11.833,0.000,1.000,-30.749,-0.195,0.044,11.831,0.198,0.002
0.795,11.846,9.487,-625.661,8.346,-140.496,4,9.725,0.000,"",0.083,0.000,-0.009,11.846,0.000,1.000,-30.513,-0.195,0.043,11.844,-0.198,0.002
0.815,11.858,9.725,-625.665,8.347,-140.259,4,9.736,0.000,"",0.077,0.000,0.009,11.858,0.000,1.000,-30.275,-0.196,0.041,11.856,0.199,0.002
0.835,11.868,9.962,-625.669,8.348,-140.022,4,9.748,0.000,"",0.071,0.000,-0.009,11.868,0.000,1.000,-30.038,-0.196,0.040,11.866,-0.198,0.002
0.855,11.877,10.199,-625.673,8.348,-139.785,4,9.759,0.000,"",0.066,0.000,0.009,11.877,0.000,1.000,-29.801,-0.196,0.039,11.875,0.198,0.002
0.875,11.885,10.437,-625.676,8.349,-139.547,4,9.770,0.000,"",0.062,0.000,-0.009,11.885,0.000,1.000,-29.563,-0.196,0.038,11.883,-0.199,0.002
0.895,11.892,10.675,-625.680,8.350,-139.309,4,9.780,0.000,"",0.058,0.000,0.009,11.892,0.000,1.000,-29.325,-0.196,0.038,11.891,0.199,0.002
0.915,11.899,10.913,-625.684,8.351,-139.071,4,9.789,0.000,"",0.054,0.000,-0.009,11.899,0.000,1.000,-29.087,-0.196,0.037,11.897,-0.198,0.002
0.935,11.904,11.151,-625.688,8.351,-138.833,4,9.798,0.000,"",0.051,0.000,0.009,11.904,0.000,1.000,-28.849,-0.196,0.037,11.903,0.198,0.002
0.955,11.802,11.387,-625.692,8.352,-138.597,4,9.805,0.000,"",0.048,0.000,-0.009,11.802,0.000,1.000,-28.613,-0.195,0.037,11.801,-0.198,0.002
0.975,11.819,11.623,-625.696,8.353,-138.361,4,9.811,0.000,"",0.099,0.000,0.009,11.819,0.000,1.000,-28.377,-0.195,0.037,11.817,0.198,0.002
0.995,11.833,11.860,-625.700,8.354,-138.124,4,9.817,0.000,"",0.091,0.000,-0.009,11.833,0.000,1.000,-28.140,-0.195,0.037,11.831,-0.199,0.002
1.015,11.846,12.097,-625.704,8.354,-137.887,4,9.821,0.000,"",0.083,0.000,0.009,11.846,0.000,1.000,-27.903,-0.195,0.037,11.844,0.198,0.002
1.035,11.858,12.334,-625.708,8.355,-137.650,4,9.824,0.000,"",0.077,0.000,-0.009,11.858,0.000,1.000,-27.666,-0.196,0.038,11.856,-0.199,0.002
1.055,11.868,12.572,-625.712,8.356,-137.413,4,9.827,0.000,"",0.071,0.000,0.009,11.868,0.000,1.000,-27.428,-0.196,0.038,11.866,0.198,0.002
1.075,11.877,12.809,-625.716,8.357,-137.175,4,9.828,0.000,"",0.066,0.000,-0.009,11.877,0.000,1.000,-27.191,-0.196,0.038,11.875,-0.198,0.002
1.095,11.885,13.047,-625.719,8.357,-136.938,4,9.829,0.000,"",0.062,0.000,0.009,11.885,0.000,1.000,-26.953,-0.196,0.039,11.883,0.198,0.002
1.115,11.892,13.285,-625.723,8.358,-136.700,4,9.829,0.000,"",0.058,0.000,-0.009,11.892,0.000,1.000,-26.715,-0.196,0.039,11.890,-0.198,0.002
1.135,11.899,13.523,-625.727,8.359,-136.462,4,9.829,0.000,"",0.054,0.000,0.009,11.899,0.000,1.000,-26.477,-0.196,0.040,11.897,0.198,0.002
1.155,11.904,13.761,-625.731,8.360,-136.224,4,9.828,0.000,"",0.051,0.000,-0.009,11.904,0.000,1.000,-26.239,-0.197,0.040,11.903,-0.198,0.002
1.175,11.802,13.997,-625.735,8.361,-135.988,4,9.827,0.000,"",0.048,0.000,0.009,11.802,0.000,1.000,-26.003,-0.195,0.040,11.801,0.198,0.002
1.195,11.819,14.233,-625.739,8.361,-135.751,4,9.826,0.000,"",0.099,0.000,0.009,11.819,0.000,1.000,-25.767,-0.195,0.040,11.817,0.198,0.005
1.215,11.833,14.470,-625.743,8.362,-135.515,4,9.824,0.000,"",0.091,0.000,-0.009,11.833,0.000,1.000,-25.530,-0.195,0.041,11.831,-0.199,0.001
1.235,11.846,14.707,-625.747,8.363,-135.278,4,9.822,0.000,"",0.083,0.000,-0.009,11.846,0.000,1.000,-25.293,-0.195,0.041,11.844,-0.199,0.003
1.255,11.858,14.944,-625.751,8.364,-135.041,4,9.821,0.000,"",0.077,0.000,-0.009,11.858,0.000,1.000,-25.056,-0.195,0.041,11.856,-0.199,0.006
1.275,11.868,15.181,-625.755,8.365,-134.803,4,9.819,0.000,"",0.071,0.000,0.009,11.868,0.000,1.000,-24.819,-0.196,0.041,11.866,0.198,0.001
1.295,11.877,15.419,-625.758,8.365,-134.566,4,9.817,0.000,"",0.066,0.000,0.009,11.877,0.000,1.000,-24.581,-0.196,0.042,11.875,0.198,0.002
1.315,11.885,15.656,-625.762,8.366,-134.328,4,9.816,0.000,"",0.062,0.000,0.009,11.885,0.000,1.000,-24.344,-0.196,0.042,11.883,0.199,0.005
1.335,11.892,15.894,-625.766,8.367,-134.090,4,9.814,0.000,"",0.058,0.000,-0.009,11.892,0.000,1.000,-24.106,-0.196,0.042,11.890,-0.198,0.001
1.355,11.899,16.132,-625.770,8.368,-133.853,4,9.813,0.000,"",0.054,0.000,-0.009,11.899,0.000,1.000,-23.868,-0.196,0.042,11.897,-0.198,0.003
1.375,11.904,16.370,-625.774,8.369,-133.614,4,9.812,0.000,"",0.051,0.000,-0.009,11.904,0.000,1.000,-23.630,-0.196,0.042,11.903,-0.199,0.006
1.395,11.802,16.606,-625.778,8.370,-133.378,4,9.811,0.000,"",0.048,0.000,0.009,11.802,0.000,1.000,-23.394,-0.195,0.042,11.801,0.198,0.001
1.415,11.819,16.843,-625.782,8.370,-133.142,4,9.810,0.000,"",0.099,0.000,0.009,11.819,0.000,1.000,-23.157,-0.195,0.042,11.817,0.198,0.002
1.435,11.833,17.079,-625.786,8.371,-132.906,4,9.809,0.000,"",0.091,0.000,0.009,11.833,0.000,1.000,-22.921,-0.196,0.042,11.831,0.199,0.005
1.455,11.846,17.316,-625.790,8.372,-132.669,4,9.808,0.000,"",0.083,0.000,-0.009,11.846,0.000,1.000,-22.684,-0.196,0.042,11.844,-0.199,0.001
