course,vehicle,speed,line,seconds,travel,air,minUp,recovered,outcome,scoredDistance,scoredAirtime,awards,contactCorrections
Street Loop Reverse,original,12,-1.5,13.340,150.178,0.000,0.980,True,completed,0.000,0.000,0,0
Street Loop Reverse,original,12,-3,13.340,150.178,0.000,0.980,True,completed,0.000,0.000,0,0
Street Loop Reverse,original,12,0,13.340,150.179,0.000,0.980,True,completed,0.000,0.000,0,0
Street Loop Reverse,original,12,-4.7,13.320,150.051,0.000,0.948,True,completed,0.000,0.000,0,0
Street Loop Reverse,original,12,1.7,13.320,150.060,0.000,0.944,True,completed,0.000,0.000,0,0
Street Loop Reverse,original,24,-1.5,7.000,150.036,1.140,0.981,True,completed,26.583,1.140,0,0
Street Loop Reverse,original,24,-3,7.000,150.039,1.140,0.981,True,completed,26.583,1.140,0,0
Street Loop Reverse,original,24,0,7.000,150.022,1.140,0.981,True,completed,26.583,1.140,0,0
Street Loop Reverse,original,24,-4.7,7.140,150.047,1.040,0.966,True,completed,24.447,1.040,0,1
Street Loop Reverse,original,24,1.7,6.980,150.251,0.940,0.960,True,completed,22.202,0.940,0,3
Street Loop Reverse,original,36,-1.5,5.000,150.076,1.740,0.982,True,completed,59.047,1.740,0,0
Street Loop Reverse,original,36,-3,5.000,150.046,1.740,0.982,True,completed,59.029,1.740,0,0
Street Loop Reverse,original,36,0,5.000,150.077,1.740,0.982,True,completed,59.032,1.740,0,0
Street Loop Reverse,original,36,-4.7,5.040,150.072,1.580,0.964,True,completed,53.952,1.580,0,1
Street Loop Reverse,original,36,1.7,5.040,150.234,1.620,0.963,True,completed,55.254,1.620,0,3
Street Loop Reverse,tourer,12,-1.5,13.340,150.162,0.000,0.980,True,completed,0.000,0.000,0,0
Street Loop Reverse,tourer,12,-3,13.340,150.162,0.000,0.980,True,completed,0.000,0.000,0,0
Street Loop Reverse,tourer,12,0,13.340,150.156,0.000,0.980,True,completed,0.000,0.000,0,0
Street Loop Reverse,tourer,12,-4.7,13.320,150.041,0.000,0.950,True,completed,0.000,0.000,0,0
Street Loop Reverse,tourer,12,1.7,13.320,150.039,0.000,0.951,True,completed,0.000,0.000,0,0
Street Loop Reverse,tourer,24,-1.5,7.000,150.239,1.080,0.981,True,completed,25.263,1.080,0,0
Street Loop Reverse,tourer,24,-3,7.000,150.239,1.080,0.981,True,completed,25.263,1.080,0,0
Street Loop Reverse,tourer,24,0,7.000,150.175,1.080,0.981,True,completed,25.263,1.080,0,0
Street Loop Reverse,tourer,24,-4.7,6.980,150.062,0.980,0.968,True,completed,23.076,0.980,0,0
Street Loop Reverse,tourer,24,1.7,7.020,150.446,1.000,0.968,True,completed,23.522,1.000,0,3
Street Loop Reverse,tourer,36,-1.5,5.000,150.077,1.680,0.982,True,completed,57.309,1.680,0,0
Street Loop Reverse,tourer,36,-3,4.980,150.052,1.680,0.982,True,completed,57.227,1.680,0,0
Street Loop Reverse,tourer,36,0,5.000,150.066,1.680,0.981,True,completed,57.280,1.680,0,0
Street Loop Reverse,tourer,36,-4.7,4.980,150.514,1.580,0.972,True,completed,53.966,1.580,0,1
Street Loop Reverse,tourer,36,1.7,5.040,150.167,1.580,0.970,True,completed,54.013,1.580,0,2
Street Loop Reverse,moto,12,-1.5,13.320,150.069,0.220,0.980,True,completed,0.000,0.000,0,2
Street Loop Reverse,moto,12,-3,13.320,150.070,0.220,0.980,True,completed,0.000,0.000,0,10
Street Loop Reverse,moto,12,0,13.320,150.068,0.220,0.980,True,completed,0.000,0.000,0,8
Street Loop Reverse,moto,12,-4.7,13.320,150.012,0.240,0.843,True,completed,0.000,0.000,0,240
Street Loop Reverse,moto,12,1.7,13.320,150.031,0.220,0.822,True,completed,0.000,0.000,0,142
Street Loop Reverse,moto,24,-1.5,7.000,150.397,1.160,0.981,True,completed,27.199,1.160,0,46
Street Loop Reverse,moto,24,-3,7.000,150.397,1.160,0.981,True,completed,27.198,1.160,0,45
Street Loop Reverse,moto,24,0,7.000,150.395,1.160,0.981,True,completed,27.198,1.160,0,42
Street Loop Reverse,moto,24,-4.7,7.160,150.217,1.280,0.904,True,completed,25.497,1.080,0,100
Street Loop Reverse,moto,24,1.7,7.000,150.370,1.140,0.964,True,completed,26.668,1.140,0,141
Street Loop Reverse,moto,36,-1.5,4.980,150.199,1.700,0.980,True,completed,58.464,1.700,0,67
Street Loop Reverse,moto,36,-3,4.980,150.288,1.720,0.980,True,completed,59.130,1.720,0,61
Street Loop Reverse,moto,36,0,4.980,150.119,1.720,0.980,True,completed,59.162,1.720,0,62
Street Loop Reverse,moto,36,-4.7,5.000,150.025,1.640,0.916,True,completed,56.594,1.640,0,104
Street Loop Reverse,moto,36,1.7,4.960,150.215,1.780,0.903,True,completed,60.755,1.780,0,102
Street Loop Reverse,atv,12,-1.5,13.320,150.037,0.220,0.980,True,completed,0.000,0.000,0,0
Street Loop Reverse,atv,12,-3,13.320,150.037,0.220,0.980,True,completed,0.000,0.000,0,0
Street Loop Reverse,atv,12,0,13.320,150.039,0.220,0.980,True,completed,0.000,0.000,0,0
Street Loop Reverse,atv,12,-4.7,13.320,150.003,0.220,0.884,True,completed,0.000,0.000,0,96
Street Loop Reverse,atv,12,1.7,13.320,150.032,0.320,0.870,True,completed,0.000,0.000,0,64
Street Loop Reverse,atv,24,-1.5,7.140,150.447,1.160,0.981,True,completed,27.158,1.160,0,30
Street Loop Reverse,atv,24,-3,7.120,150.029,1.160,0.981,True,completed,27.158,1.160,0,31
Street Loop Reverse,atv,24,0,7.120,150.014,1.160,0.981,True,completed,27.157,1.160,0,31
Street Loop Reverse,atv,24,-4.7,6.980,150.176,1.040,0.973,True,completed,24.492,1.040,0,66
Street Loop Reverse,atv,24,1.7,7.200,150.341,1.060,0.968,True,completed,24.928,1.060,0,94
Street Loop Reverse,atv,36,-1.5,4.960,150.161,1.740,0.981,True,completed,59.491,1.740,0,54
Street Loop Reverse,atv,36,-3,4.980,150.209,1.740,0.981,True,completed,59.496,1.740,0,47
Street Loop Reverse,atv,36,0,4.960,150.158,1.740,0.981,True,completed,59.492,1.740,0,45
Street Loop Reverse,atv,36,-4.7,5.140,150.192,1.620,0.970,True,completed,55.566,1.620,0,77
Street Loop Reverse,atv,36,1.7,5.020,150.298,1.680,0.972,True,completed,57.439,1.680,0,84
