time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ
0.020,35.662,0.713,-628.516,8.342,-149.319,4,7.800,0.042,"Ground_80_320:(0.00, 1.00, 0.00)",0.000,0.000,0.000,35.662,0.000,1.000,-39.287
0.040,35.661,1.426,-628.528,8.341,-148.606,4,8.393,0.006,"",0.169,0.000,0.000,35.661,0.000,1.000,-38.574
0.060,35.660,2.139,-628.539,8.339,-147.893,4,8.946,0.017,"",0.170,0.000,-0.001,35.660,0.000,1.000,-37.861
0.080,35.659,2.852,-628.551,8.337,-147.180,4,9.449,0.032,"",0.170,0.000,0.002,35.659,0.000,1.000,-37.148
0.100,35.658,3.565,-628.563,8.335,-146.467,4,9.885,0.039,"",0.171,0.000,-0.003,35.658,0.000,1.000,-36.435
0.120,35.657,4.279,-628.575,8.334,-145.754,4,10.248,0.042,"",0.171,0.000,0.004,35.657,0.000,1.000,-35.722
0.140,35.656,4.992,-628.587,8.332,-145.041,4,10.536,0.042,"",0.172,0.000,-0.004,35.656,0.000,1.000,-35.008
0.160,35.654,5.705,-628.598,8.331,-144.328,4,10.751,0.040,"",0.172,0.000,0.005,35.655,0.000,1.000,-34.295
0.180,35.653,6.418,-628.610,8.331,-143.615,4,10.898,0.037,"",0.173,0.000,-0.006,35.654,0.000,1.000,-33.583
0.200,35.652,7.130,-628.622,8.331,-142.903,4,10.984,0.033,"",0.173,0.000,0.006,35.652,0.000,1.000,-32.870
0.220,35.651,7.843,-628.634,8.331,-142.190,4,11.017,0.029,"",0.174,0.000,-0.007,35.651,0.000,1.000,-32.157
0.240,35.650,8.556,-628.645,8.332,-141.477,4,11.004,0.025,"",0.174,0.000,0.007,35.650,0.000,1.000,-31.444
0.260,35.649,9.269,-628.657,8.333,-140.764,4,10.955,0.021,"",0.175,0.000,-0.008,35.649,0.000,1.000,-30.731
0.280,35.648,9.982,-628.669,8.335,-140.051,4,10.877,0.017,"",0.175,0.000,0.008,35.648,0.000,1.000,-30.018
0.300,35.647,10.695,-628.681,8.337,-139.338,4,10.778,0.014,"",0.176,0.000,-0.008,35.647,0.000,1.000,-29.305
0.320,35.646,11.408,-628.693,8.340,-138.626,4,10.665,0.012,"",0.176,0.000,0.008,35.646,0.000,1.000,-28.592
0.340,35.645,12.121,-628.704,8.342,-137.913,4,10.543,0.009,"",0.177,0.000,-0.008,35.645,0.000,1.000,-27.879
0.360,35.644,12.834,-628.716,8.345,-137.200,4,10.418,0.007,"",0.177,0.000,0.009,35.644,0.000,1.000,-27.166
0.380,35.643,13.547,-628.728,8.349,-136.487,4,10.295,0.006,"",0.178,0.000,-0.009,35.643,0.000,1.000,-26.453
0.400,35.643,14.260,-628.740,8.352,-135.775,4,10.177,0.004,"",0.178,0.000,0.009,35.643,0.000,1.000,-25.740
0.420,35.642,14.972,-628.752,8.355,-135.062,4,10.066,0.003,"",0.179,0.000,-0.009,35.642,0.000,1.000,-25.028
0.440,35.641,15.685,-628.763,8.359,-134.349,4,9.965,0.003,"",0.179,0.000,0.009,35.641,0.000,1.000,-24.315
0.460,35.640,16.398,-628.775,8.363,-133.636,4,9.875,0.002,"",0.180,0.000,-0.009,35.640,0.000,1.000,-23.602
0.480,35.640,17.111,-628.787,8.366,-132.924,4,9.797,0.001,"",0.180,0.000,0.009,35.640,0.000,1.000,-22.889
0.500,35.639,17.824,-628.799,8.370,-132.211,4,9.731,0.001,"",0.180,0.000,-0.009,35.639,0.000,1.000,-22.176
0.520,35.638,18.536,-628.810,8.373,-131.498,4,9.678,0.001,"",0.181,0.000,0.009,35.638,0.000,1.000,-21.464
0.540,35.638,19.249,-628.822,8.376,-130.786,4,9.636,0.000,"",0.181,0.000,-0.009,35.638,0.000,1.000,-20.751
0.560,35.637,19.962,-628.834,8.380,-130.073,4,9.605,0.000,"",0.181,0.000,0.009,35.637,0.000,1.000,-20.038
0.580,35.636,20.674,-628.846,8.383,-129.360,4,9.584,0.000,"",0.182,0.000,-0.009,35.636,0.000,1.000,-19.326
0.600,35.636,21.387,-628.858,8.386,-128.648,4,9.573,0.000,"",0.182,0.000,0.009,35.636,0.000,1.000,-18.613
0.620,35.635,22.100,-628.869,8.389,-127.935,4,9.569,0.000,"",0.182,0.000,-0.009,35.635,0.000,1.000,-17.900
0.640,35.635,22.813,-628.881,8.392,-127.223,4,9.572,0.000,"",0.182,0.000,0.009,35.635,0.000,1.000,-17.187
0.660,35.634,23.525,-628.893,8.395,-126.510,4,9.581,0.000,"",0.183,0.000,-0.009,35.634,0.000,1.000,-16.475
0.680,35.634,24.238,-628.904,8.398,-125.798,4,9.595,0.000,"",0.183,0.000,0.009,35.634,0.000,1.000,-15.762
0.700,35.633,24.951,-628.916,8.400,-125.085,4,9.612,0.000,"",0.183,0.000,-0.009,35.633,0.000,1.000,-15.049
0.720,35.633,25.663,-628.928,8.403,-124.372,4,9.631,0.000,"",0.183,0.000,-0.009,35.633,0.000,1.000,-14.337
0.740,35.632,26.376,-628.940,8.405,-123.660,4,9.652,0.000,"",0.184,0.000,0.009,35.632,0.000,1.000,-13.624
0.760,35.632,27.089,-628.951,8.408,-122.947,4,9.675,0.000,"",0.184,0.000,0.009,35.632,0.000,1.000,-12.912
0.780,35.632,27.801,-628.963,8.410,-122.235,4,9.697,0.000,"",0.184,0.000,0.009,35.632,0.000,1.000,-12.199
0.800,35.631,28.514,-628.975,8.413,-121.522,4,9.718,0.000,"",0.184,0.000,-0.009,35.631,0.000,1.000,-11.486
0.820,35.631,29.226,-628.987,8.415,-120.810,4,9.739,0.000,"",0.184,0.000,-0.009,35.631,0.000,1.000,-10.774
0.840,35.631,29.939,-628.998,8.418,-120.097,4,10.343,0.000,"",0.185,0.000,-0.009,35.631,0.000,1.000,-10.061
0.860,35.630,30.651,-629.010,8.420,-119.385,4,10.338,0.064,"",0.185,0.000,0.010,35.630,0.000,1.000,-9.349
0.880,35.630,31.364,-629.022,8.424,-118.673,4,10.372,0.106,"",0.185,0.000,0.011,35.630,0.000,1.000,-8.636
0.900,35.629,32.076,-629.034,8.427,-117.960,4,10.998,0.132,"",0.185,0.000,-0.012,35.629,0.000,1.000,-7.924
0.920,35.629,32.789,-629.046,8.431,-117.248,4,10.831,0.082,"",0.185,0.000,0.013,35.629,0.000,1.000,-7.211
0.940,35.628,33.501,-629.057,8.435,-116.535,4,10.610,0.045,"",0.186,0.000,-0.014,35.628,0.000,1.000,-6.499
0.960,35.627,34.214,-629.069,8.440,-115.823,4,10.367,0.019,"",0.186,0.000,-0.014,35.627,0.000,1.000,-5.786
0.980,35.627,34.926,-629.081,8.444,-115.111,4,10.125,0.002,"",0.186,0.000,0.013,35.627,0.000,1.000,-5.074
1.000,35.626,35.639,-629.093,8.449,-114.398,4,9.900,0.010,"",0.187,0.000,0.013,35.626,0.000,1.000,-4.361
1.020,35.626,36.352,-629.104,8.453,-113.686,4,9.701,0.017,"",0.187,0.000,0.013,35.626,0.000,1.000,-3.649
1.040,35.626,37.064,-629.116,8.458,-112.973,4,9.535,0.020,"",0.187,0.000,-0.012,35.626,0.000,1.000,-2.936
1.060,35.625,37.777,-629.128,8.462,-112.261,4,9.404,0.022,"",0.187,0.000,-0.012,35.625,0.000,1.000,-2.223
1.080,35.625,38.489,-629.140,8.466,-111.548,4,9.308,0.022,"",0.187,0.000,-0.011,35.625,0.000,1.000,-1.511
1.100,35.625,39.202,-629.151,8.470,-110.836,4,9.244,0.020,"",0.188,0.000,0.011,35.625,0.000,1.000,-0.798
1.120,35.624,39.914,-629.163,8.474,-110.123,4,9.242,0.054,"",0.188,0.000,0.011,35.625,0.000,1.000,-0.086
1.140,35.624,40.627,-629.175,8.477,-109.411,4,9.398,0.068,"",0.188,0.000,-0.010,35.624,0.000,1.000,0.627
1.160,35.624,41.339,-629.187,8.480,-108.699,4,9.693,0.065,"",0.188,0.000,-0.010,35.624,0.000,1.000,1.339
1.180,35.624,42.051,-629.198,8.484,-107.987,4,10.147,0.073,"",0.188,0.000,0.011,35.624,0.000,1.000,2.051
1.200,35.624,42.763,-629.210,8.488,-107.275,4,10.825,0.037,"",0.188,0.000,0.013,35.624,0.000,1.000,2.763
1.220,35.623,43.475,-629.222,8.493,-106.563,4,11.742,0.000,"",0.188,0.000,-0.016,35.623,0.000,1.000,3.475
1.240,35.622,44.187,-629.234,8.499,-105.851,4,12.883,0.054,"",0.188,0.000,0.020,35.622,0.000,1.000,4.187
1.260,35.621,44.898,-629.245,8.506,-105.140,4,14.148,0.138,"",0.189,0.000,-0.026,35.621,0.000,1.000,4.898
1.280,35.619,45.610,-629.257,8.516,-104.429,4,15.509,0.176,"",0.190,0.000,-0.032,35.619,0.000,1.000,5.610
1.300,35.617,46.321,-629.269,8.529,-103.718,4,16.885,0.261,"",0.190,0.000,0.041,35.617,0.000,1.000,6.321
1.320,35.614,47.031,-629.281,8.545,-103.007,4,18.226,0.293,"",0.192,0.000,0.050,35.614,0.000,1.000,7.031
1.340,35.611,47.742,-629.292,8.566,-102.297,4,19.505,0.369,"",0.193,0.000,-0.060,35.611,0.000,1.000,7.742
1.360,35.608,48.452,-629.304,8.590,-101.587,4,20.653,0.412,"",0.194,0.000,-0.071,35.608,0.000,0.999,8.452
1.380,35.604,49.162,-629.316,8.619,-100.877,4,21.682,0.449,"",0.196,0.000,0.082,35.604,0.000,0.999,9.162
1.400,35.600,49.871,-629.328,8.653,-100.168,4,22.537,0.504,"",0.198,0.000,0.094,35.601,0.000,0.999,9.871
1.420,35.595,50.580,-629.340,8.693,-99.459,4,23.238,0.504,"",0.200,0.000,-0.107,35.597,0.000,0.999,10.580
1.440,35.591,51.289,-629.351,8.738,-98.750,4,23.768,0.549,"",0.202,0.000,-0.120,35.593,0.000,0.999,11.289
1.460,35.586,51.997,-629.363,8.789,-98.042,4,24.126,0.540,"",0.205,0.000,0.133,35.590,0.000,0.998,11.997
1.480,35.560,52.703,-629.375,8.847,-97.336,4,24.350,0.577,"",0.207,0.000,0.147,35.565,0.000,0.998,12.703
1.500,35.542,53.408,-629.388,8.913,-96.632,4,24.283,1.131,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 0.99, -0.11)",0.220,0.000,0.167,35.549,0.000,0.997,13.408
1.520,35.538,54.112,-629.400,8.985,-95.927,4,24.596,1.304,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 0.99, -0.12)",0.229,0.000,-0.190,35.545,0.000,0.997,14.112
1.540,35.532,54.816,-629.411,9.063,-95.223,4,24.867,1.075,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 0.99, -0.12)",0.231,0.000,-0.211,35.540,0.000,0.996,14.816
1.560,35.525,55.519,-629.421,9.147,-94.520,4,24.698,0.861,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 0.99, -0.13)",0.234,0.000,-0.229,35.534,0.000,0.995,15.519
1.580,35.516,56.222,-629.432,9.236,-93.817,4,24.264,0.747,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 0.99, -0.13)",0.237,0.000,-0.246,35.528,0.000,0.995,16.222
1.600,35.505,56.925,-629.443,9.330,-93.115,4,23.432,0.633,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 0.99, -0.14)",0.242,0.000,0.260,35.521,0.000,0.994,16.925
1.620,35.493,57.626,-629.456,9.430,-92.414,4,22.522,0.554,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 0.99, -0.15)",0.248,0.000,0.273,35.513,0.000,0.994,17.626
1.640,35.483,58.327,-629.470,9.534,-91.713,4,21.522,0.521,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 0.99, -0.15)",0.253,0.000,0.285,35.505,0.000,0.994,18.327
1.660,35.474,59.027,-629.485,9.642,-91.013,4,20.606,0.464,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 0.99, -0.16)",0.258,0.000,0.296,35.496,0.000,0.993,19.027
