course,vehicle,speed,line,seconds,travel,air,minUp,recovered,outcome,scoredDistance,scoredAirtime,awards
Street Loop,original,12,-1.5,13.420,150.029,0.560,0.935,True,completed,6.932,0.560,0
Street Loop,original,12,-3,13.440,150.231,0.520,0.935,True,completed,6.463,0.520,0
Street Loop,original,12,0,13.420,150.025,0.540,0.935,True,completed,6.698,0.540,0
Street Loop,original,12,-4.7,13.500,150.166,1.320,0.491,True,completed,0.000,0.000,0
Street Loop,original,12,1.7,13.520,150.061,1.400,0.348,True,completed,0.000,0.000,0
Street Loop,original,24,-1.5,7.280,150.417,2.060,0.937,True,completed,44.470,2.060,0
Street Loop,original,24,-3,7.280,150.439,2.060,0.937,True,completed,44.469,2.060,0
Street Loop,original,24,0,7.280,150.434,2.060,0.937,True,completed,44.470,2.060,0
Street Loop,original,24,-4.7,7.840,150.342,1.780,0.686,True,completed,0.000,0.000,0
Street Loop,original,24,1.7,7.540,150.014,1.780,0.596,True,completed,0.000,0.000,0
Street Loop,original,36,-1.5,5.860,169.762,2.900,0.938,True,completed,89.457,2.900,0
Street Loop,original,36,-3,5.860,170.050,2.900,0.937,True,completed,89.564,2.900,0
Street Loop,original,36,0,5.860,169.794,2.900,0.938,True,completed,89.458,2.900,0
Street Loop,original,36,-4.7,5.500,158.385,2.600,0.329,True,completed,0.000,0.000,0
Street Loop,original,36,1.7,5.440,157.820,2.500,0.359,True,completed,0.000,0.000,0
Street Loop,tourer,12,-1.5,13.440,150.105,0.540,0.935,True,completed,6.681,0.540,0
Street Loop,tourer,12,-3,13.440,150.099,0.540,0.935,True,completed,6.687,0.540,0
Street Loop,tourer,12,0,13.440,150.095,0.540,0.935,True,completed,6.687,0.540,0
Street Loop,tourer,12,-4.7,13.580,150.122,1.440,0.428,True,completed,0.000,0.000,0
Street Loop,tourer,12,1.7,13.520,150.182,1.140,0.361,True,completed,0.000,0.000,0
Street Loop,tourer,24,-1.5,8.640,150.143,2.040,0.937,True,completed,44.181,2.040,0
Street Loop,tourer,24,-3,8.640,150.000,2.040,0.937,True,completed,44.179,2.040,0
Street Loop,tourer,24,0,8.640,150.101,2.040,0.937,True,completed,44.182,2.040,0
Street Loop,tourer,24,-4.7,7.340,150.037,1.980,0.667,True,completed,40.610,1.980,0
Street Loop,tourer,24,1.7,7.260,150.252,1.920,0.416,True,completed,0.000,0.000,0
Street Loop,tourer,36,-1.5,5.820,169.247,2.860,0.937,True,completed,88.718,2.860,0
Street Loop,tourer,36,-3,5.820,168.882,2.860,0.937,True,completed,88.704,2.860,0
Street Loop,tourer,36,0,5.800,168.593,2.840,0.938,True,completed,88.150,2.840,0
Street Loop,tourer,36,-4.7,5.320,153.533,2.500,0.823,True,completed,77.433,2.500,0
Street Loop,tourer,36,1.7,5.480,158.685,2.620,0.464,True,completed,0.000,0.000,0
Street Loop,moto,12,-1.5,13.420,150.092,0.680,0.935,True,completed,8.350,0.680,0
Street Loop,moto,12,-3,13.420,150.101,0.680,0.935,True,completed,8.349,0.680,0
Street Loop,moto,12,0,13.420,150.056,0.680,0.935,True,completed,8.350,0.680,0
Street Loop,moto,12,-4.7,22.620,102.237,16.020,-0.678,True,stalled/crashed,0.000,0.000,0
Street Loop,moto,12,1.7,13.620,150.194,1.460,0.084,True,completed,0.000,0.000,0
Street Loop,moto,24,-1.5,9.080,150.237,2.100,0.936,True,completed,45.768,2.100,0
Street Loop,moto,24,-3,7.860,150.047,2.100,0.936,True,completed,45.755,2.100,0
Street Loop,moto,24,0,7.220,150.322,2.100,0.936,True,completed,45.735,2.100,0
Street Loop,moto,24,-4.7,7.020,150.006,1.340,0.228,True,completed,0.000,0.000,0
Street Loop,moto,24,1.7,10.200,150.286,2.120,-0.115,True,completed,0.000,0.000,0
Street Loop,moto,36,-1.5,5.840,172.259,2.920,0.933,True,completed,92.515,2.920,0
Street Loop,moto,36,-3,5.840,172.258,2.920,0.934,True,completed,92.571,2.920,0
Street Loop,moto,36,0,5.840,172.564,2.900,0.934,True,completed,92.191,2.900,0
Street Loop,moto,36,-4.7,5.260,155.010,2.520,0.198,True,completed,0.000,0.000,0
Street Loop,moto,36,1.7,5.200,153.599,2.460,0.160,True,completed,0.000,0.000,0
Street Loop,atv,12,-1.5,13.440,150.197,0.680,0.934,True,completed,8.308,0.680,0
Street Loop,atv,12,-3,13.440,150.197,0.680,0.934,True,completed,8.308,0.680,0
Street Loop,atv,12,0,13.440,150.214,0.680,0.934,True,completed,8.306,0.680,0
Street Loop,atv,12,-4.7,13.720,150.222,1.620,0.446,True,completed,0.000,0.000,0
Street Loop,atv,12,1.7,13.480,150.027,1.240,0.417,True,completed,0.000,0.000,0
Street Loop,atv,24,-1.5,7.480,150.416,2.100,0.937,True,completed,45.535,2.100,0
Street Loop,atv,24,-3,9.080,150.238,2.120,0.937,True,completed,45.957,2.120,0
Street Loop,atv,24,0,8.920,150.067,2.120,0.937,True,completed,45.953,2.120,0
Street Loop,atv,24,-4.7,7.200,150.423,1.920,0.913,True,completed,42.459,1.920,0
Street Loop,atv,24,1.7,7.220,150.022,1.960,0.333,True,completed,0.000,0.000,0
Street Loop,atv,36,-1.5,5.860,172.156,2.920,0.935,True,completed,91.869,2.920,0
Street Loop,atv,36,-3,5.860,172.215,2.920,0.935,True,completed,91.925,2.920,0
Street Loop,atv,36,0,5.860,172.219,2.920,0.935,True,completed,91.987,2.920,0
Street Loop,atv,36,-4.7,5.200,152.271,2.500,0.738,True,completed,79.720,2.500,0
Street Loop,atv,36,1.7,5.180,152.112,2.460,0.732,True,completed,0.000,0.000,0
