time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ
0.020,11.887,0.238,-626.523,8.959,14.785,4,7.800,0.092,"",0.000,0.000,0.000,11.887,0.000,1.000,124.762
0.040,11.894,0.476,-626.519,8.958,14.547,4,8.078,0.016,"",0.056,0.000,0.000,11.895,0.000,1.000,124.524
0.060,11.901,0.714,-626.515,8.956,14.309,4,8.348,0.026,"",0.053,0.000,0.001,11.901,0.000,1.000,124.286
0.080,11.800,0.950,-626.511,8.953,14.073,4,8.608,0.047,"",0.050,0.000,-0.003,11.800,0.000,1.000,124.050
0.100,11.816,1.187,-626.507,8.950,13.837,4,8.857,0.055,"",0.100,0.000,0.004,11.817,0.000,1.000,123.813
0.120,11.831,1.423,-626.503,8.947,13.600,4,9.096,0.056,"",0.092,0.000,-0.005,11.832,0.000,1.000,123.577
0.140,11.844,1.660,-626.500,8.944,13.363,4,9.319,0.053,"",0.085,0.000,0.006,11.845,0.000,1.000,123.340
0.160,11.856,1.898,-626.496,8.940,13.126,4,9.525,0.047,"",0.078,0.000,-0.007,11.857,0.000,1.000,123.102
0.180,11.867,2.135,-626.492,8.936,12.888,4,9.709,0.041,"",0.072,0.000,0.008,11.868,0.000,1.000,122.865
0.200,11.877,2.373,-626.488,8.933,12.651,4,9.870,0.035,"",0.066,0.000,-0.008,11.878,0.000,1.000,122.627
0.220,11.886,2.610,-626.484,8.929,12.413,4,10.008,0.030,"",0.062,0.000,0.009,11.886,0.000,1.000,122.390
0.240,11.894,2.848,-626.480,8.926,12.175,4,10.121,0.025,"",0.057,0.000,-0.009,11.894,0.000,1.000,122.152
0.260,11.901,3.086,-626.476,8.923,11.937,4,10.211,0.020,"",0.053,0.000,0.009,11.901,0.000,1.000,121.914
0.280,11.800,3.322,-626.472,8.920,11.701,4,10.278,0.016,"",0.050,0.000,-0.010,11.800,0.000,1.000,121.678
0.300,11.817,3.559,-626.468,8.917,11.465,4,10.324,0.013,"",0.100,0.000,0.010,11.817,0.000,1.000,121.441
0.320,11.832,3.795,-626.464,8.915,11.228,4,10.352,0.011,"",0.092,0.000,-0.010,11.832,0.000,1.000,121.205
0.340,11.846,4.032,-626.460,8.912,10.991,4,10.361,0.009,"",0.084,0.000,0.010,11.846,0.000,1.000,120.968
0.360,11.858,4.269,-626.457,8.910,10.754,4,10.356,0.007,"",0.077,0.000,-0.010,11.858,0.000,1.000,120.731
0.380,11.869,4.507,-626.453,8.908,10.517,4,10.339,0.006,"",0.071,0.000,0.010,11.869,0.000,1.000,120.493
