time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ
0.020,35.662,0.713,-631.215,8.959,14.232,4,7.800,0.092,"",0.000,0.000,0.000,35.662,0.000,1.000,124.287
0.040,35.662,1.427,-631.203,8.958,13.519,4,7.887,0.016,"",0.169,0.000,0.000,35.662,0.000,1.000,123.573
0.060,35.662,2.140,-631.191,8.955,12.806,4,7.983,0.026,"",0.169,0.000,-0.001,35.662,0.000,1.000,122.860
0.080,35.662,2.854,-631.179,8.952,12.092,4,8.099,0.047,"",0.169,0.000,0.003,35.663,0.000,1.000,122.147
0.100,35.663,3.567,-631.167,8.949,11.379,4,8.243,0.055,"",0.169,0.000,-0.004,35.663,0.000,1.000,121.433
0.120,35.663,4.280,-631.156,8.945,10.666,4,8.415,0.056,"",0.169,0.000,0.005,35.664,0.000,1.000,120.720
0.140,35.664,4.994,-631.144,8.940,9.952,4,8.608,0.053,"",0.168,0.000,-0.006,35.664,0.000,1.000,120.006
0.160,35.664,5.707,-631.132,8.935,9.239,4,8.817,0.047,"",0.168,0.000,0.007,35.665,0.000,1.000,119.293
0.180,35.665,6.420,-631.120,8.930,8.526,4,9.031,0.041,"",0.168,0.000,-0.008,35.665,0.000,1.000,118.580
0.200,35.666,7.134,-631.109,8.924,7.813,4,9.244,0.035,"",0.167,0.000,0.008,35.666,0.000,1.000,117.866
0.220,35.666,7.847,-631.097,8.919,7.099,4,9.449,0.029,"",0.167,0.000,-0.009,35.667,0.000,1.000,117.153
0.240,35.667,8.561,-631.085,8.913,6.386,4,9.640,0.024,"",0.167,0.000,0.009,35.667,0.000,1.000,116.440
0.260,35.667,9.274,-631.073,8.907,5.673,4,9.813,0.020,"",0.167,0.000,-0.009,35.668,0.000,1.000,115.726
0.280,35.668,9.987,-631.061,8.901,4.960,4,9.965,0.016,"",0.166,0.000,0.010,35.668,0.000,1.000,115.013
0.300,35.669,10.701,-631.050,8.896,4.246,4,10.095,0.013,"",0.166,0.000,-0.010,35.669,0.000,1.000,114.299
0.320,35.669,11.414,-631.038,8.890,3.533,4,10.201,0.011,"",0.166,0.000,0.010,35.669,0.000,1.000,113.586
