time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ,vx,vy,vz,yaw,angularSpeed
0.020,42.596,0.852,-632.912,8.809,14.066,4,7.800,0.092,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.0149 impulse=663.929;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0184 impulse=663.929;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0160 impulse=663.929;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0173 impulse=663.929;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0151 impulse=663.929;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0152 impulse=663.929;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0030 impulse=46.840;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0037 impulse=46.840;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0032 impulse=46.840;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0035 impulse=46.840;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0030 impulse=46.840;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0031 impulse=46.840;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0006 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0007 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0006 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0007 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0006 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0006 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0044 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0041 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0043 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0042 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0041 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0041 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0133 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0126 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0131 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0128 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0126 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0127 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0262 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0253 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0260 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0255 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0253 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0254 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0422 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0411 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0419 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0414 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0412 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0413 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0603 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0591 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0600 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0594 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0591 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0592 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0798 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0784 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0795 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0788 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0785 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0786 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0999 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0985 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0995 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0988 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0986 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0988 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1199 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1185 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1196 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1189 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1186 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1187 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1395 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1381 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1392 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1384 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1382 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1383 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1581 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1568 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1578 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1570 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1568 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1569 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1754 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1741 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1751 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1744 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1742 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1743 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1912 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1900 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1910 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1903 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1901 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1902 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2053 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2042 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2051 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2044 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2043 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2043 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2177 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2166 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2175 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2168 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2167 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2167 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2282 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2273 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2280 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2274 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2273 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2273 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2369 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2361 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2368 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2362 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2361 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2361 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2439 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2431 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2438 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2433 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2432 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2432 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2493 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2486 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2491 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2487 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2486 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2486 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2531 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2525 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2530 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2526 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2525 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2525 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2556 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2551 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2555 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2551 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2551 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2551 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2568 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2564 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2568 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2565 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2564 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2564 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2570 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2567 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2570 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2567 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2567 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2567 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2564 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2560 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2563 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2561 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2561 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2561 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2549 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2547 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2549 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2547 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2547 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2547 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2530 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2528 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2529 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2528 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2528 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2528 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2505 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2504 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2505 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2504 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2504 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2504 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2478 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2477 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2478 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2477 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2477 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2477 impulse=0.000;Ground_80_240:(-0.001, 1.000, -0.003) separation=0.2462 impulse=0.000;Ground_80_240:(-0.001, 1.000, -0.003) separation=0.2449 impulse=0.000;Ground_80_240:(-0.001, 1.000, -0.003) separation=0.2449 impulse=0.000;Ground_80_240:(-0.001, 1.000, -0.003) separation=0.2449 impulse=0.000;Ground_80_240:(-0.001, 1.000, -0.003) separation=0.2449 impulse=0.000;Ground_80_240:(-0.001, 1.000, -0.003) separation=0.2449 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2501 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2599 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2501 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2599 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2504 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2505 impulse=0.000;",0.000,0.000,0.000,42.596,0.000,1.000,124.148,0.703,-0.039,-42.590,0.000,0.006
0.040,42.595,1.704,-632.898,8.808,13.214,4,7.889,0.057,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2530 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2626 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2530 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2626 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2530 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2574 impulse=0.000;",0.202,0.000,0.000,42.595,0.000,1.000,123.296,0.703,-0.077,-42.590,0.000,0.010
0.060,42.595,2.556,-632.884,8.805,12.362,4,7.999,0.028,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2553 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2644 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2553 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2644 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2553 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2561 impulse=0.000;",0.202,0.000,0.000,42.595,0.000,1.000,122.444,0.703,-0.113,-42.589,0.000,0.013
0.080,42.594,3.408,-632.870,8.803,11.510,4,8.119,0.005,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2569 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2654 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2569 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2654 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2569 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2619 impulse=0.000;",0.203,0.000,0.001,42.595,0.000,1.000,121.592,0.703,-0.147,-42.589,0.028,0.015
0.100,42.594,4.260,-632.856,8.799,10.658,4,8.251,0.013,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2578 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2657 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2578 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2657 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2578 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2596 impulse=0.000;",0.203,0.000,-0.002,42.594,0.000,1.000,120.740,0.702,-0.178,-42.588,-0.048,0.016
0.120,42.594,5.112,-632.842,8.795,9.806,4,8.395,0.026,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2582 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2653 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2582 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2653 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2589 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2634 impulse=0.000;",0.203,0.000,-0.003,42.594,0.000,1.000,119.888,0.702,-0.207,-42.588,-0.066,0.017
0.140,42.594,5.964,-632.828,8.790,8.955,4,8.551,0.036,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2580 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2644 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2580 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2644 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2580 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2604 impulse=0.000;",0.203,0.000,0.004,42.594,0.000,1.000,119.036,0.703,-0.232,-42.588,0.084,0.016
0.160,42.594,6.816,-632.814,8.785,8.103,4,8.714,0.042,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2573 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2629 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2573 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2629 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2573 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2573 impulse=0.000;",0.203,0.000,0.005,42.594,0.000,1.000,118.184,0.704,-0.254,-42.587,0.103,0.017
0.180,42.594,7.668,-632.800,8.780,7.251,4,8.884,0.046,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2561 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2610 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2561 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2610 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2561 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2586 impulse=0.000;",0.203,0.000,-0.005,42.594,0.000,1.000,117.332,0.703,-0.272,-42.587,-0.119,0.015
0.200,42.594,8.520,-632.786,8.774,6.399,4,9.056,0.047,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.2546 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2588 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2546 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2588 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2546 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2552 impulse=0.000;",0.203,0.000,-0.006,42.594,0.000,1.000,116.480,0.703,-0.287,-42.587,-0.134,0.017
