time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ,vx,vy,vz,yaw,angularSpeed
0.003,42.596,0.852,-628.518,8.192,-149.180,4,7.800,0.066,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.0508 impulse=1914.455;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0668 impulse=1914.455;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0639 impulse=1914.455;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0537 impulse=1914.455;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0523 impulse=1914.455;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0558 impulse=1914.455;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0102 impulse=292.010;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0133 impulse=292.010;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0128 impulse=292.010;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0107 impulse=292.010;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0109 impulse=292.010;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0115 impulse=292.010;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0019 impulse=23.760;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0029 impulse=23.760;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0027 impulse=23.760;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0021 impulse=23.760;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0020 impulse=23.760;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0021 impulse=23.760;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0004 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0006 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0006 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0004 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0004 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0004 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0029 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0025 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0026 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0028 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0027 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0027 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0089 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0080 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0082 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0087 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0081 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0083 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0175 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0163 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0166 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0172 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0163 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0165 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0282 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0267 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0271 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0278 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0271 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0272 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0403 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0386 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0391 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0398 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0387 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0393 impulse=0.000;Ground_80_400:(0.001, 1.000, -0.005) separation=0.0521 impulse=0.000;Ground_80_400:(0.001, 1.000, -0.005) separation=0.0518 impulse=0.000;Ground_80_400:(0.001, 1.000, -0.005) separation=0.0523 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0533 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0515 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0523 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0528 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0518 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0519 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0668 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0652 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0663 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0662 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0656 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0659 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.0663 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.0649 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.0655 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.0652 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.0661 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.0662 impulse=0.000;Ground_80_320:(0.001, 1.000, -0.005) separation=0.0794 impulse=0.000;Ground_80_320:(0.001, 1.000, -0.005) separation=0.0796 impulse=0.000;Ground_80_320:(0.001, 1.000, -0.005) separation=0.0793 impulse=0.000;Ground_80_320:(0.001, 1.000, -0.005) separation=0.0802 impulse=0.000;Ground_80_320:(0.001, 1.000, -0.005) separation=0.0793 impulse=0.000;Ground_80_320:(0.001, 1.000, -0.005) separation=0.0792 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.0802 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.0784 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.0790 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.0792 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.0785 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.0792 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.0934 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.0915 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.0922 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.0927 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.0919 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.0922 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1059 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1041 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1048 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1052 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1042 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1047 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1176 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1158 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1165 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1169 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1159 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1163 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1282 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1266 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1273 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1275 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1269 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1274 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1378 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1362 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1369 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1371 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1366 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1366 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1461 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1447 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1454 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1454 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1447 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1448 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1533 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1519 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1526 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1526 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1521 impulse=0.000;Ground_80_400:(0.000, 1.000, -0.004) separation=0.1523 impulse=0.000;Ground_80_400:(0.001, 1.000, -0.004) separation=0.1592 impulse=0.000;Ground_80_400:(0.001, 1.000, -0.004) separation=0.1584 impulse=0.000;Ground_80_400:(0.001, 1.000, -0.004) separation=0.1586 impulse=0.000;Ground_80_400:(0.001, 1.000, -0.004) separation=0.1585 impulse=0.000;Ground_80_400:(0.001, 1.000, -0.004) separation=0.1580 impulse=0.000;Ground_80_400:(0.001, 1.000, -0.004) separation=0.1581 impulse=0.000;Ground_80_400:(0.001, 1.000, -0.004) separation=0.1640 impulse=0.000;Ground_80_400:(0.001, 1.000, -0.004) separation=0.1639 impulse=0.000;Ground_80_400:(0.001, 1.000, -0.004) separation=0.1635 impulse=0.000;Ground_80_400:(0.001, 1.000, -0.004) separation=0.1633 impulse=0.000;Ground_80_400:(0.001, 1.000, -0.004) separation=0.1629 impulse=0.000;Ground_80_400:(0.001, 1.000, -0.004) separation=0.1631 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1676 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1685 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1672 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1670 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1667 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1667 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1703 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1720 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1700 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1697 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1694 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1694 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1720 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1745 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1726 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1714 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1712 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1712 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1728 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1763 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1744 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1723 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1721 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1722 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1730 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1775 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1753 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1724 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1722 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1724 impulse=0.000;Ground_80_400:(0.003, 1.000, -0.004) separation=0.1725 impulse=0.000;Ground_80_400:(0.003, 1.000, -0.004) separation=0.1778 impulse=0.000;Ground_80_400:(0.003, 1.000, -0.004) separation=0.1757 impulse=0.000;Ground_80_400:(0.003, 1.000, -0.004) separation=0.1720 impulse=0.000;Ground_80_400:(0.003, 1.000, -0.004) separation=0.1717 impulse=0.000;Ground_80_400:(0.003, 1.000, -0.004) separation=0.1719 impulse=0.000;Ground_80_400:(0.003, 1.000, -0.004) separation=0.1716 impulse=0.000;Ground_80_400:(0.003, 1.000, -0.004) separation=0.1776 impulse=0.000;Ground_80_400:(0.003, 1.000, -0.004) separation=0.1755 impulse=0.000;Ground_80_400:(0.003, 1.000, -0.004) separation=0.1710 impulse=0.000;Ground_80_400:(0.003, 1.000, -0.004) separation=0.1707 impulse=0.000;Ground_80_400:(0.003, 1.000, -0.004) separation=0.1708 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1702 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1771 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1750 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1696 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1693 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1693 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1685 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1763 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1742 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1678 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1676 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1677 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1665 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1752 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1730 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1659 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1657 impulse=0.000;Ground_80_400:(0.002, 1.000, -0.004) separation=0.1658 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1839 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1761 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1761 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1839 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1770 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1793 impulse=0.000;",0.000,0.000,0.000,42.596,0.000,1.000,-39.148,-0.703,-0.042,42.590,0.000,0.004
0.023,42.601,1.704,-628.532,8.191,-148.328,4,8.408,0.038,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1800 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1724 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1724 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1800 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1761 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1784 impulse=0.000;",0.202,0.000,0.000,42.601,0.000,1.000,-38.296,-0.703,-0.069,42.595,0.000,0.008
0.043,42.605,2.556,-628.546,8.189,-147.477,4,8.965,0.016,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1755 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1683 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1683 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1755 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1683 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1701 impulse=0.000;",0.200,0.000,0.000,42.606,0.000,1.000,-37.444,-0.703,-0.086,42.600,0.000,0.010
0.063,42.610,3.408,-628.560,8.187,-146.625,4,9.471,0.002,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1706 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1638 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1638 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1706 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1661 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1682 impulse=0.000;",0.197,0.000,0.001,42.610,0.000,1.000,-36.592,-0.703,-0.093,42.604,0.020,0.011
0.083,42.614,4.260,-628.574,8.185,-145.772,4,9.914,0.015,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1655 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1592 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1593 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1655 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1593 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1600 impulse=0.000;",0.195,0.000,-0.002,42.614,0.000,1.000,-35.740,-0.703,-0.091,42.608,-0.040,0.012
0.103,42.617,5.113,-628.588,8.184,-144.920,4,10.290,0.025,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1605 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1548 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1548 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1605 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1559 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1576 impulse=0.000;",0.193,0.000,0.002,42.618,0.000,1.000,-34.887,-0.703,-0.081,42.612,0.048,0.013
0.123,42.621,5.965,-628.602,8.183,-144.068,4,10.596,0.032,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1557 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1505 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1505 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1556 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1509 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1510 impulse=0.000;",0.191,0.000,-0.003,42.621,0.000,1.000,-34.035,-0.703,-0.065,42.615,-0.066,0.013
0.143,42.624,6.817,-628.616,8.182,-143.216,4,10.832,0.037,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1511 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1465 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1465 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1511 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1467 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1481 impulse=0.000;",0.190,0.000,0.004,42.624,0.000,1.000,-33.183,-0.703,-0.045,42.618,0.079,0.013
0.163,42.627,7.670,-628.630,8.181,-142.363,4,11.002,0.039,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1470 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1429 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1429 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1470 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1447 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1459 impulse=0.000;",0.188,0.000,-0.004,42.627,0.000,1.000,-32.330,-0.703,-0.021,42.621,-0.095,0.012
0.183,42.630,8.522,-628.645,8.181,-141.511,4,11.109,0.040,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1434 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1398 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1398 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1434 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1398 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1405 impulse=0.000;",0.187,0.000,0.005,42.630,0.000,1.000,-31.478,-0.703,0.005,42.624,0.108,0.012
