time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ,vx,vy,vz,yaw,angularSpeed
0.020,35.662,0.713,-630.216,8.192,-149.347,4,7.801,0.068,"Ground_80_320:(0.000, 1.000, -0.004) separation=0.1060 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1162 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1133 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1089 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1070 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1079 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1210 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1310 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1284 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1237 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1223 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1226 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1351 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1449 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1425 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1375 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1357 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1365 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1480 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1575 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1554 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1501 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1492 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1501 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1596 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1688 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1669 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1615 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1606 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1610 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1698 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1786 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1770 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1714 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1704 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1706 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1785 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1869 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1855 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1799 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1789 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1791 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1856 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1936 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1924 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1868 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1857 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1861 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1912 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1988 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1978 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1922 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1916 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1921 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1954 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2025 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2017 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1962 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1957 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1959 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1982 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2048 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2042 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1988 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1984 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1985 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1997 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2060 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2054 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2002 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1999 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1999 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2001 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2059 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2055 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2005 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2001 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2002 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1995 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2049 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2046 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1998 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1996 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1998 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1980 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2030 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2028 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1982 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1981 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1982 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1958 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2004 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.2003 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1960 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1958 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1959 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1930 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1973 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1972 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1931 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1930 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1931 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1898 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1937 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1936 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1898 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1898 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1898 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1862 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1898 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1898 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1862 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1862 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1862 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1824 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1857 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1857 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1824 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1824 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1824 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1786 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1815 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1816 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1785 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1785 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1785 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1747 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1773 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1774 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1746 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1746 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1747 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1709 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1733 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1733 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1708 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1708 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1709 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1672 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1694 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1694 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1671 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1671 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1672 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1637 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1657 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1657 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1637 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1637 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1637 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1605 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1622 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1623 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1604 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1604 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1605 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1576 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1591 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1591 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1575 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1575 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1576 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1842 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1759 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1764 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1837 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1759 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1782 impulse=0.000;",0.000,0.000,0.000,35.662,0.000,1.000,-39.287,-0.588,-0.041,35.657,0.000,0.004
0.040,35.673,1.427,-630.227,8.191,-148.634,4,8.369,0.041,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1808 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1727 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1732 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1803 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1727 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1773 impulse=0.000;",0.169,0.000,0.000,35.673,0.000,1.000,-38.573,-0.589,-0.070,35.668,0.000,0.008
0.060,35.683,2.140,-630.239,8.189,-147.920,4,8.895,0.020,"Ground_80_240:(0.000, 1.000, -0.004) separation=0.1768 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.004) separation=0.1690 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.004) separation=0.1694 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.004) separation=0.1763 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.004) separation=0.1690 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.004) separation=0.1694 impulse=0.000;",0.164,0.000,0.000,35.683,0.000,1.000,-37.860,-0.589,-0.088,35.678,0.000,0.010
0.080,35.692,2.854,-630.251,8.187,-147.207,4,9.372,0.009,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1723 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1650 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1654 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1718 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1650 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1673 impulse=0.000;",0.159,0.000,-0.001,35.692,0.000,1.000,-37.146,-0.589,-0.097,35.687,-0.020,0.012
0.100,35.701,3.568,-630.263,8.185,-146.493,4,9.792,0.017,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1676 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1609 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1613 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1671 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1608 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1650 impulse=0.000;",0.154,0.000,0.002,35.701,0.000,1.000,-36.432,-0.589,-0.097,35.696,0.034,0.012
0.120,35.709,4.282,-630.275,8.183,-145.779,4,10.152,0.025,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1629 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1567 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1571 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1625 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1567 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1571 impulse=0.000;",0.150,0.000,0.002,35.709,0.000,1.000,-35.718,-0.589,-0.090,35.704,0.048,0.013
0.140,35.716,4.996,-630.286,8.182,-145.065,4,10.446,0.033,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1583 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1527 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1531 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1579 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1527 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1548 impulse=0.000;",0.146,0.000,-0.003,35.716,0.000,1.000,-35.004,-0.589,-0.077,35.711,-0.066,0.013
0.160,35.722,5.711,-630.298,8.180,-144.350,4,10.677,0.036,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1540 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1490 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1493 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1536 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1490 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1490 impulse=0.000;",0.142,0.000,-0.004,35.723,0.000,1.000,-34.289,-0.588,-0.060,35.718,-0.079,0.014
0.180,35.728,6.425,-630.310,8.180,-143.636,4,10.848,0.040,"Ground_80_240:(0.000, 1.000, -0.004) separation=0.1500 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.004) separation=0.1456 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.004) separation=0.1459 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.004) separation=0.1497 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.004) separation=0.1456 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.004) separation=0.1461 impulse=0.000;",0.139,0.000,0.004,35.729,0.000,1.000,-33.575,-0.589,-0.039,35.724,0.093,0.012
0.200,35.734,7.140,-630.322,8.179,-142.921,4,10.959,0.041,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1464 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1427 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1429 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1462 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1430 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1430 impulse=0.000;",0.136,0.000,0.005,35.734,0.000,1.000,-32.860,-0.590,-0.016,35.729,0.108,0.014
