time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ,vx,vy,vz,yaw,angularSpeed
0.020,35.662,0.713,-623.817,8.342,-149.242,4,7.800,0.076,"",0.000,0.000,0.000,35.662,0.000,1.000,-39.287,-0.588,-0.041,35.657,0.000,0.012
0.040,35.662,1.426,-623.828,8.341,-148.529,4,8.411,0.013,"",0.169,0.000,0.000,35.662,0.000,1.000,-38.574,-0.588,-0.069,35.657,0.000,0.017
0.060,35.662,2.139,-623.840,8.339,-147.816,4,8.982,0.022,"",0.169,0.000,-0.001,35.662,0.000,1.000,-37.861,-0.588,-0.086,35.657,-0.028,0.019
0.080,35.662,2.852,-623.852,8.337,-147.102,4,9.493,0.039,"",0.169,0.000,0.002,35.662,0.000,1.000,-37.148,-0.588,-0.092,35.657,0.052,0.019
0.100,35.661,3.566,-623.864,8.336,-146.389,4,9.929,0.046,"",0.169,0.000,-0.003,35.662,0.000,1.000,-36.434,-0.588,-0.089,35.657,-0.077,0.017
0.120,35.661,4.279,-623.875,8.334,-145.676,4,10.284,0.046,"",0.169,0.000,0.004,35.661,0.000,1.000,-35.721,-0.589,-0.080,35.656,0.095,0.015
0.140,35.661,4.992,-623.887,8.333,-144.963,4,10.559,0.043,"",0.169,0.000,-0.005,35.661,0.000,1.000,-35.008,-0.588,-0.065,35.656,-0.112,0.013
0.160,35.660,5.705,-623.899,8.332,-144.250,4,10.759,0.039,"",0.170,0.000,0.006,35.661,0.000,1.000,-34.295,-0.589,-0.046,35.656,0.127,0.011
0.180,35.660,6.418,-623.911,8.331,-143.537,4,10.891,0.034,"",0.170,0.000,-0.006,35.660,0.000,1.000,-33.582,-0.589,-0.024,35.655,-0.141,0.010
0.200,35.660,7.131,-623.923,8.331,-142.824,4,10.963,0.029,"",0.170,0.000,0.007,35.660,0.000,1.000,-32.869,-0.589,-0.001,35.655,0.151,0.008
0.220,35.659,7.844,-623.934,8.332,-142.111,4,10.984,0.024,"",0.170,0.000,0.007,35.659,0.000,1.000,-32.156,-0.589,0.022,35.654,0.159,0.008
0.240,35.659,8.558,-623.946,8.333,-141.398,4,10.964,0.020,"",0.170,0.000,-0.008,35.659,0.000,1.000,-31.442,-0.588,0.046,35.654,-0.168,0.005
0.260,35.658,9.271,-623.958,8.334,-140.685,4,10.911,0.017,"",0.171,0.000,-0.008,35.658,0.000,1.000,-30.729,-0.587,0.068,35.654,-0.174,0.006
0.280,35.658,9.984,-623.970,8.336,-139.972,4,10.831,0.014,"",0.171,0.000,-0.008,35.658,0.000,1.000,-30.016,-0.587,0.088,35.653,-0.178,0.008
0.300,35.658,10.697,-623.981,8.338,-139.259,4,10.734,0.011,"",0.171,0.000,0.008,35.658,0.000,1.000,-29.303,-0.588,0.107,35.653,0.181,0.003
0.320,35.657,11.410,-623.993,8.340,-138.546,4,10.624,0.009,"",0.171,0.000,0.008,35.657,0.000,1.000,-28.590,-0.589,0.123,35.652,0.186,0.004
0.340,35.657,12.123,-624.005,8.343,-137.833,4,10.507,0.007,"",0.171,0.000,0.008,35.657,0.000,1.000,-27.877,-0.589,0.137,35.652,0.188,0.007
0.360,35.657,12.836,-624.017,8.346,-137.120,4,10.389,0.006,"",0.172,0.000,-0.009,35.657,0.000,1.000,-27.164,-0.589,0.148,35.651,-0.190,0.002
