time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ,vx,vy,vz,yaw,angularSpeed
0.006,23.774,0.475,-623.813,8.192,-149.479,4,7.800,0.066,"Ground_80_320:(-0.016, 1.000, -0.004) separation=0.1494 impulse=0.000;Ground_80_320:(-0.016, 1.000, -0.004) separation=0.1579 impulse=0.000;Ground_80_320:(-0.016, 1.000, -0.004) separation=0.1493 impulse=0.000;Ground_80_320:(-0.016, 1.000, -0.004) separation=0.1555 impulse=0.000;Ground_80_320:(-0.016, 1.000, -0.004) separation=0.1492 impulse=0.000;Ground_80_320:(-0.016, 1.000, -0.004) separation=0.1495 impulse=0.000;Ground_80_320:(-0.012, 1.000, -0.004) separation=0.1496 impulse=0.000;Ground_80_320:(-0.012, 1.000, -0.004) separation=0.1581 impulse=0.000;Ground_80_320:(-0.012, 1.000, -0.004) separation=0.1494 impulse=0.000;Ground_80_320:(-0.012, 1.000, -0.004) separation=0.1559 impulse=0.000;Ground_80_320:(-0.012, 1.000, -0.004) separation=0.1494 impulse=0.000;Ground_80_320:(-0.012, 1.000, -0.004) separation=0.1496 impulse=0.000;Ground_80_320:(-0.016, 1.000, -0.004) separation=0.1498 impulse=0.000;Ground_80_320:(-0.016, 1.000, -0.004) separation=0.1583 impulse=0.000;Ground_80_320:(-0.016, 1.000, -0.004) separation=0.1495 impulse=0.000;Ground_80_320:(-0.016, 1.000, -0.004) separation=0.1562 impulse=0.000;Ground_80_320:(-0.016, 1.000, -0.004) separation=0.1495 impulse=0.000;Ground_80_320:(-0.016, 1.000, -0.004) separation=0.1495 impulse=0.000;Ground_80_320:(-0.012, 1.000, -0.004) separation=0.1498 impulse=0.000;Ground_80_320:(-0.012, 1.000, -0.004) separation=0.1584 impulse=0.000;Ground_80_320:(-0.012, 1.000, -0.004) separation=0.1494 impulse=0.000;Ground_80_320:(-0.012, 1.000, -0.004) separation=0.1565 impulse=0.000;Ground_80_320:(-0.012, 1.000, -0.004) separation=0.1494 impulse=0.000;Ground_80_320:(-0.012, 1.000, -0.004) separation=0.1495 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1499 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1584 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1494 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1567 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1494 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1494 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1499 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1584 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1494 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1567 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1492 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1493 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1500 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1583 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1494 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1568 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1491 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1492 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1499 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1582 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1492 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1568 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1489 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1489 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1497 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1580 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1490 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1567 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1487 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1488 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1496 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1578 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1489 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1566 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1485 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1486 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1495 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1576 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1487 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1564 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1483 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1485 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1494 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1574 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1485 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1562 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1481 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1481 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1491 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1571 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1483 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1560 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1479 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1479 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1490 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1568 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1481 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1558 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1477 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1478 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1489 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1564 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1479 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1555 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1475 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1477 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1488 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1561 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1477 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1553 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1473 impulse=0.000;Ground_80_320:(-0.011, 1.000, -0.004) separation=0.1477 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1487 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1557 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1475 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1550 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1472 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1472 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1485 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1553 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1473 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1547 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1471 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1472 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1484 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1549 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1472 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1544 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1470 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1472 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1482 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1545 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1470 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1540 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1469 impulse=0.000;Ground_80_320:(-0.010, 1.000, -0.004) separation=0.1472 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1481 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1541 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1469 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1537 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1469 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1469 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1480 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1537 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1470 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1534 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1469 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1470 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1478 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1533 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1471 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1530 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1470 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1470 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1477 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1529 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1472 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1527 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1471 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.1471 impulse=0.000;Ground_80_320:(-0.003, 1.000, -0.004) separation=0.1476 impulse=0.000;Ground_80_320:(-0.003, 1.000, -0.004) separation=0.1525 impulse=0.000;Ground_80_320:(-0.003, 1.000, -0.004) separation=0.1473 impulse=0.000;Ground_80_320:(-0.003, 1.000, -0.004) separation=0.1524 impulse=0.000;Ground_80_320:(-0.003, 1.000, -0.004) separation=0.1472 impulse=0.000;Ground_80_320:(-0.003, 1.000, -0.004) separation=0.1472 impulse=0.000;Ground_80_320:(-0.003, 1.000, -0.004) separation=0.1474 impulse=0.000;Ground_80_320:(-0.003, 1.000, -0.004) separation=0.1522 impulse=0.000;Ground_80_320:(-0.003, 1.000, -0.004) separation=0.1474 impulse=0.000;Ground_80_320:(-0.003, 1.000, -0.004) separation=0.1520 impulse=0.000;Ground_80_320:(-0.003, 1.000, -0.004) separation=0.1473 impulse=0.000;Ground_80_320:(-0.003, 1.000, -0.004) separation=0.1473 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1474 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1518 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1475 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1517 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1474 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1474 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1475 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1515 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1476 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1514 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1476 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1476 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1476 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1512 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1477 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1511 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1477 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1477 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1477 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1509 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1478 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1509 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1478 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1478 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1478 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1506 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1478 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1506 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1478 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1478 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1839 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1761 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1761 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1839 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1761 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1797 impulse=0.000;",0.000,0.000,0.000,23.775,0.000,1.000,-39.525,-0.392,-0.041,23.771,0.000,0.004
0.026,23.790,0.951,-623.821,8.191,-149.003,4,8.304,0.038,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1813 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1737 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1737 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1813 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1737 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1737 impulse=0.000;",0.113,0.000,0.000,23.790,0.000,1.000,-39.049,-0.392,-0.071,23.786,0.000,0.008
0.046,23.803,1.427,-623.828,8.189,-148.528,4,8.772,0.016,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1781 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1708 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1708 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1781 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1708 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1708 impulse=0.000;",0.105,0.000,0.000,23.803,0.000,1.000,-38.573,-0.393,-0.092,23.800,0.000,0.010
0.066,23.815,1.903,-623.836,8.187,-148.051,4,9.201,0.002,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1744 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1676 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1676 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1744 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1676 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1689 impulse=0.000;",0.098,0.000,-0.001,23.815,0.000,1.000,-38.097,-0.393,-0.104,23.812,-0.020,0.011
0.086,23.826,2.380,-623.844,8.185,-147.575,4,9.583,0.015,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1704 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1641 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1641 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1704 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1641 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1667 impulse=0.000;",0.092,0.000,0.002,23.826,0.000,1.000,-37.620,-0.393,-0.108,23.823,0.034,0.012
0.106,23.835,2.857,-623.852,8.183,-147.098,4,9.913,0.025,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1663 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1606 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1606 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1663 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1606 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1606 impulse=0.000;",0.087,0.000,-0.002,23.835,0.000,1.000,-37.143,-0.393,-0.106,23.832,-0.048,0.013
0.126,23.843,3.333,-623.860,8.181,-146.622,4,10.189,0.032,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1623 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1571 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1571 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1623 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1571 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1571 impulse=0.000;",0.082,0.000,0.003,23.844,0.000,1.000,-36.667,-0.394,-0.098,23.840,0.066,0.013
0.146,23.851,3.810,-623.868,8.179,-146.145,4,10.411,0.037,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1584 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1538 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1538 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1584 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1538 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1544 impulse=0.000;",0.078,0.000,-0.004,23.851,0.000,1.000,-36.190,-0.394,-0.086,23.848,-0.079,0.013
0.166,23.857,4.287,-623.876,8.178,-145.668,4,10.580,0.039,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1547 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1507 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1507 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1547 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1507 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1521 impulse=0.000;",0.075,0.000,0.004,23.857,0.000,1.000,-35.713,-0.394,-0.071,23.854,0.093,0.012
0.186,23.863,4.765,-623.884,8.177,-145.191,4,10.700,0.040,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.1514 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1479 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1479 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1514 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1479 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.1498 impulse=0.000;",0.071,0.000,-0.005,23.863,0.000,1.000,-35.235,-0.394,-0.053,23.860,-0.108,0.011
