time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ,vx,vy,vz,yaw,angularSpeed
0.012,35.662,0.713,-632.914,8.959,14.204,4,7.800,0.092,"",0.000,0.000,0.000,35.662,0.000,1.000,124.287,0.588,-0.039,-35.657,0.000,0.014
0.031,35.662,1.427,-632.903,8.958,13.491,4,7.887,0.016,"",0.169,0.000,0.000,35.662,0.000,1.000,123.573,0.588,-0.077,-35.657,0.000,0.021
0.051,35.662,2.140,-632.891,8.955,12.778,4,7.983,0.026,"",0.169,0.000,-0.001,35.662,0.000,1.000,122.860,0.588,-0.114,-35.657,-0.028,0.023
0.072,35.662,2.854,-632.879,8.953,12.064,4,8.099,0.047,"",0.169,0.000,0.003,35.663,0.000,1.000,122.147,0.588,-0.148,-35.657,0.066,0.022
0.091,35.663,3.567,-632.867,8.949,11.351,4,8.243,0.055,"",0.169,0.000,-0.004,35.663,0.000,1.000,121.433,0.588,-0.179,-35.658,-0.091,0.021
0.111,35.663,4.280,-632.855,8.945,10.638,4,8.415,0.056,"",0.169,0.000,0.005,35.664,0.000,1.000,120.720,0.588,-0.207,-35.658,0.114,0.018
0.132,35.664,4.994,-632.844,8.940,9.924,4,8.608,0.053,"",0.168,0.000,-0.006,35.664,0.000,1.000,120.006,0.588,-0.231,-35.659,-0.136,0.016
0.151,35.664,5.707,-632.832,8.935,9.211,4,8.817,0.047,"",0.168,0.000,0.007,35.665,0.000,1.000,119.293,0.589,-0.251,-35.659,0.155,0.014
0.171,35.665,6.420,-632.820,8.930,8.498,4,9.031,0.041,"",0.168,0.000,-0.008,35.665,0.000,1.000,118.580,0.588,-0.267,-35.659,-0.169,0.012
0.191,35.666,7.134,-632.808,8.924,7.785,4,9.244,0.035,"",0.167,0.000,0.008,35.666,0.000,1.000,117.866,0.589,-0.278,-35.660,0.182,0.010
0.211,35.666,7.847,-632.796,8.919,7.071,4,9.449,0.029,"",0.167,0.000,-0.009,35.667,0.000,1.000,117.153,0.588,-0.285,-35.661,-0.192,0.008
0.232,35.667,8.561,-632.785,8.913,6.358,4,9.640,0.024,"",0.167,0.000,0.009,35.667,0.000,1.000,116.440,0.589,-0.288,-35.661,0.202,0.007
0.251,35.667,9.274,-632.773,8.907,5.645,4,9.813,0.020,"",0.167,0.000,-0.009,35.668,0.000,1.000,115.726,0.588,-0.288,-35.662,-0.209,0.006
0.271,35.668,9.987,-632.761,8.901,4.932,4,9.965,0.016,"",0.166,0.000,0.010,35.668,0.000,1.000,115.013,0.589,-0.285,-35.662,0.215,0.005
0.292,35.669,10.701,-632.749,8.896,4.218,4,10.095,0.013,"",0.166,0.000,-0.010,35.669,0.000,1.000,114.299,0.588,-0.279,-35.663,-0.219,0.004
0.311,35.669,11.414,-632.738,8.890,3.505,4,10.201,0.011,"",0.166,0.000,0.010,35.669,0.000,1.000,113.586,0.589,-0.272,-35.663,0.223,0.004
0.331,35.670,12.127,-632.726,8.885,2.792,4,10.283,0.009,"",0.165,0.000,-0.010,35.670,0.000,1.000,112.873,0.588,-0.262,-35.664,-0.226,0.004
0.352,35.670,12.841,-632.714,8.880,2.078,4,10.344,0.007,"",0.165,0.000,0.010,35.670,0.000,1.000,112.159,0.589,-0.251,-35.665,0.228,0.003
0.371,35.671,13.554,-632.702,8.875,1.365,4,10.383,0.005,"",0.165,0.000,-0.010,35.671,0.000,1.000,111.446,0.588,-0.240,-35.665,-0.231,0.003
0.391,35.671,14.268,-632.690,8.871,0.652,4,10.404,0.004,"",0.165,0.000,0.010,35.671,0.000,1.000,110.732,0.589,-0.228,-35.666,0.232,0.003
