time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.358,5.807,-496.253,7.492,-549.942,4,,2539.996,63.847,0.000,-0.011
0.790,12.059,-500.275,7.453,-549.777,4,,2544.021,59.830,0.000,-0.013
1.190,17.018,-506.159,7.402,-549.612,4,,2549.907,53.953,0.000,-0.013
1.590,21.373,-513.899,7.330,-549.542,4,,2557.646,46.221,0.000,-0.012
1.992,25.200,-523.267,7.240,-549.661,4,,2567.013,36.856,0.000,-0.009
2.392,28.562,-534.061,7.133,-550.013,4,,2577.812,26.058,0.000,-0.005
2.802,31.518,-546.106,7.008,-550.571,4,,2589.869,14.000,0.000,0.001
3.205,33.440,-559.240,6.870,-551.211,4,,2603.020,0.856,1.000,0.180
3.606,24.622,-570.401,6.752,-550.548,4,Existing Southwest Cut,2614.172,0.875,0.191,0.163
4.006,23.814,-579.153,6.661,-546.798,4,Existing Southwest Cut,2623.047,1.641,0.000,0.123
4.406,23.878,-586.530,6.583,-540.765,4,Existing Southwest Cut,2631.235,1.776,0.000,0.082
4.806,23.903,-592.607,6.699,-533.397,4,Existing Southwest Cut,2640.114,1.472,0.000,0.051
5.207,23.930,-597.952,6.649,-524.892,4,Existing Southwest Cut,2677.434,0.988,0.000,0.032
5.609,23.934,-602.374,6.660,-516.403,4,Existing Southwest Cut,2686.476,0.592,0.000,0.025
6.011,23.936,-606.322,6.658,-507.681,4,Existing Southwest Cut,2695.885,0.341,0.000,0.023
6.411,23.917,-609.846,6.584,-498.804,4,Existing Southwest Cut,2705.136,0.228,0.000,0.024
6.811,23.929,-612.935,6.651,-489.748,4,Existing Southwest Cut,2714.437,0.187,0.000,0.026
7.211,23.927,-615.561,6.717,-480.545,4,Existing Southwest Cut,2723.792,0.184,0.000,0.028
7.611,23.927,-617.676,6.766,-471.212,4,Existing Southwest Cut,2733.221,0.190,0.000,0.031
8.011,23.926,-619.226,6.820,-461.769,4,Existing Southwest Cut,2742.719,0.198,0.000,0.027
8.411,24.652,-620.210,6.874,-452.213,4,,2752.302,0.289,0.000,0.025
8.811,28.016,-620.708,6.934,-441.644,4,,2762.880,7.763,0.000,0.010
9.211,30.979,-620.888,7.000,-429.804,4,,2774.719,19.592,0.000,0.001
9.623,33.582,-620.974,7.071,-416.855,4,,2787.667,32.536,0.000,-0.003
10.023,35.870,-621.117,7.146,-402.933,4,,2801.589,46.457,0.000,-0.002
10.427,37.879,-621.355,7.223,-388.157,4,,2816.367,61.235,0.000,-0.001
