time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.359,4.651,-496.028,7.643,-549.953,4,,2539.769,64.072,0.000,-0.018
0.762,9.309,-498.881,7.615,-549.829,4,,2542.625,61.222,0.000,-0.022
1.289,14.635,-505.190,7.560,-549.625,4,,2548.937,54.921,0.000,-0.023
1.812,19.240,-514.072,7.479,-549.527,4,,2557.817,46.049,0.000,-0.021
2.212,22.353,-522.432,7.398,-549.626,4,,2566.177,37.692,0.000,-0.016
2.612,25.137,-531.963,7.304,-549.920,4,,2575.711,28.157,0.000,-0.010
3.012,27.629,-542.540,7.195,-550.398,4,,2586.297,17.571,0.000,-0.001
3.412,29.857,-554.052,7.075,-550.989,4,,2597.825,6.044,0.000,0.011
3.866,32.126,-568.328,6.924,-551.605,4,Existing Southwest Cut,2612.116,1.248,0.000,0.041
4.338,28.221,-583.405,6.767,-551.622,4,Existing Southwest Cut,2627.196,8.033,0.964,0.063
4.738,20.153,-593.144,6.794,-550.878,4,Existing Southwest Cut,2636.946,13.650,1.000,0.015
5.294,11.373,-601.403,6.731,-549.816,4,Existing Southwest Cut,2645.290,18.785,0.310,0.121
5.694,11.938,-605.891,6.741,-548.930,4,Existing Southwest Cut,2649.892,21.576,0.218,0.424
6.094,10.317,-609.931,6.740,-547.343,4,Existing Southwest Cut,2654.095,23.708,0.000,0.523
6.495,13.586,-613.553,6.699,-544.254,4,,2660.010,24.752,0.000,0.478
6.900,17.049,-616.645,6.524,-538.574,4,,2665.965,24.106,0.000,0.282
7.301,20.090,-617.994,6.601,-531.245,4,,2673.399,21.438,0.000,0.095
7.701,23.013,-618.051,6.646,-522.590,4,,2682.027,17.357,0.000,-0.012
8.101,25.673,-617.694,6.690,-512.822,4,,2691.670,12.822,0.000,-0.043
8.636,28.696,-617.696,6.764,-498.638,4,,2705.807,7.537,0.000,-0.023
9.036,30.748,-618.229,6.830,-486.733,4,,2717.728,4.382,0.000,-0.001
9.436,32.587,-618.985,6.901,-474.064,4,,2730.422,2.043,0.000,0.011
9.836,34.306,-619.733,6.980,-460.012,4,,2744.493,0.485,0.000,0.012
10.237,35.765,-620.265,7.059,-445.988,4,,2758.526,3.397,0.000,0.007
10.637,37.071,-620.633,7.141,-431.408,4,,2773.111,17.979,0.000,0.003
11.038,38.239,-620.914,7.224,-416.333,4,,2788.188,33.056,0.000,0.000
11.438,39.283,-621.177,7.307,-400.817,4,,2803.707,48.574,0.000,-0.001
11.838,40.218,-621.458,7.390,-384.906,4,,2819.620,64.487,0.000,-0.001
