time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.358,4.633,-115.918,30.649,-580.971,4,,2155.896,64.091,0.000,0.002
0.956,11.165,-120.611,30.665,-581.182,4,,2160.596,59.394,0.000,0.003
1.423,15.794,-127.145,30.741,-581.465,4,,2167.142,52.856,0.000,0.004
1.949,20.121,-136.543,30.914,-581.835,4,,2176.552,43.452,0.000,0.006
2.349,23.031,-145.206,31.101,-582.128,4,,2185.223,34.786,0.000,0.007
2.749,25.631,-154.969,31.305,-582.388,4,,2194.990,25.021,0.000,0.009
3.156,27.967,-165.719,31.480,-582.573,4,,2205.737,14.271,0.000,0.011
3.617,30.485,-179.788,31.561,-582.630,4,,2219.796,0.215,0.000,0.013
4.018,32.392,-192.391,31.429,-582.476,4,Pine Ridge,2232.387,3.093,0.000,0.015
4.418,34.168,-205.720,31.016,-582.074,4,Pine Ridge,2245.711,0.404,0.000,0.018
4.818,35.849,-219.710,30.206,-581.352,4,Pine Ridge,2259.719,3.035,0.000,0.022
5.223,35.156,-234.014,28.887,-580.242,4,Pine Ridge,2274.093,5.970,0.174,0.022
5.644,31.681,-247.726,26.979,-578.769,4,Pine Ridge,2287.986,9.456,0.000,0.016
6.071,31.810,-260.800,24.795,-577.012,4,Pine Ridge,2301.338,13.587,0.000,0.010
6.494,31.953,-273.817,22.404,-575.026,4,Pine Ridge,2314.710,18.435,0.000,0.004
6.897,31.874,-286.782,19.911,-572.918,4,Pine Ridge,2328.076,23.919,0.000,0.000
7.531,31.893,-305.913,16.245,-569.745,4,Pine Ridge,2347.815,33.029,0.000,-0.004
7.941,31.783,-318.902,13.901,-567.635,4,Pine Ridge,2361.190,39.817,0.000,-0.007
8.341,31.881,-331.319,11.872,-565.707,4,,2373.930,46.721,0.000,-0.010
8.741,33.395,-344.020,10.097,-563.875,4,,2386.901,54.125,0.000,-0.012
9.149,35.414,-357.611,8.635,-562.114,4,,2400.703,62.375,0.000,-0.010
9.561,37.165,-372.737,7.630,-560.378,4,,2415.981,71.873,0.000,-0.005
10.132,39.011,-393.971,6.917,-558.182,4,,2437.358,85.566,0.000,-0.002
10.578,40.204,-412.118,6.761,-556.414,4,,2455.603,97.470,0.000,-0.003
10.980,41.060,-428.309,6.861,-554.902,4,,2471.872,108.205,0.000,-0.005
11.433,41.852,-446.488,7.132,-553.308,4,,2490.126,120.382,0.000,-0.007
11.835,42.472,-463.305,7.433,-551.965,4,,2506.998,131.771,0.000,-0.008
12.235,43.032,-480.371,7.671,-550.771,4,,2524.102,143.463,0.000,-0.015
12.639,43.593,-498.547,7.679,-549.788,4,,2542.292,156.120,0.000,-0.033
13.040,44.100,-516.088,7.457,-549.405,4,,2559.832,168.716,0.000,-0.034
13.820,44.090,-550.789,7.110,-550.620,4,,2594.548,194.916,0.000,0.013
14.220,39.223,-567.735,6.930,-551.511,4,Existing Southwest Cut,2611.521,207.862,0.932,0.054
14.623,31.251,-581.814,6.783,-551.671,4,Existing Southwest Cut,2625.605,218.178,1.000,0.066
15.024,22.279,-592.417,6.793,-550.964,4,Existing Southwest Cut,2636.220,225.336,1.000,0.018
15.424,13.774,-599.530,6.732,-550.111,4,Existing Southwest Cut,2643.395,229.847,0.934,0.077
15.824,11.823,-604.158,6.739,-549.337,4,Existing Southwest Cut,2648.119,232.611,0.000,0.307
16.225,10.632,-608.588,6.740,-547.992,4,Existing Southwest Cut,2652.623,234.817,0.000,0.496
16.625,12.277,-612.228,6.727,-545.594,4,,2658.299,235.695,0.000,0.522
17.025,15.709,-615.579,6.584,-541.054,4,,2663.410,234.804,0.000,0.364
17.425,18.827,-617.608,6.554,-534.428,4,,2670.181,231.399,0.000,0.165
17.826,21.816,-618.116,6.634,-526.283,4,,2678.365,225.730,0.000,0.022
18.226,24.600,-617.835,6.669,-516.967,4,,2687.573,218.573,0.000,-0.037
18.626,27.083,-617.598,6.721,-506.599,4,,2697.858,210.551,0.000,-0.038
19.026,29.299,-617.815,6.782,-495.295,4,,2709.152,201.984,0.000,-0.016
19.426,31.289,-618.440,6.850,-483.166,4,,2721.302,192.889,0.000,0.004
19.826,33.070,-619.205,6.922,-470.293,4,,2734.199,183.141,0.000,0.012
20.231,34.660,-619.876,6.999,-456.742,4,,2747.766,172.655,0.000,0.011
20.631,36.082,-620.364,7.078,-442.583,4,,2761.933,161.456,0.000,0.006
21.031,37.354,-620.704,7.160,-427.882,4,,2776.637,149.652,0.000,0.002
21.479,38.652,-621.015,7.256,-410.384,4,,2794.138,135.500,0.000,-0.001
21.879,39.653,-621.282,7.339,-394.712,4,,2809.813,122.828,0.000,-0.001
22.281,40.549,-621.575,7.421,-378.662,4,,2825.865,109.926,0.000,-0.001
22.681,41.350,-621.894,7.502,-362.274,4,,2842.256,96.895,0.000,-0.001
23.081,42.067,-622.242,7.581,-345.585,4,,2858.949,83.842,0.000,-0.001
23.481,42.709,-622.618,7.656,-328.625,4,,2875.913,70.569,0.000,0.000
23.882,43.284,-623.005,7.727,-311.423,4,,2893.119,56.911,0.000,0.002
24.282,43.799,-623.374,7.796,-294.003,4,,2910.543,42.971,0.000,0.002
24.682,44.260,-623.708,7.864,-276.388,4,,2928.160,28.928,0.000,0.001
25.082,44.672,-624.011,7.930,-258.599,4,,2945.953,15.137,0.000,0.001
25.483,45.041,-624.294,7.995,-240.654,4,,2963.900,2.484,0.000,0.000
26.230,45.624,-624.795,8.114,-207.098,4,,2997.459,0.393,0.000,0.000
26.630,45.817,-624.753,8.178,-188.800,4,,3015.755,15.755,0.000,0.043
27.031,46.040,-623.384,8.241,-170.480,4,,3034.054,34.106,0.000,-0.052
27.470,46.239,-622.079,8.311,-150.216,4,,3054.298,54.409,0.000,-0.047
