time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.362,4.949,-12.364,8.531,528.851,4,,340.078,64.042,0.000,0.004
0.829,10.505,-16.004,8.525,528.830,4,,343.719,60.402,0.000,0.004
1.265,15.111,-21.709,8.524,528.813,4,,349.424,54.697,0.000,0.003
1.713,19.116,-29.300,8.525,528.816,4,,357.015,47.106,0.000,0.002
2.114,22.302,-37.628,8.532,528.848,4,,365.344,38.778,0.000,0.001
2.550,25.367,-48.161,8.546,528.913,4,,375.877,28.244,0.000,0.000
2.953,25.373,-58.708,8.567,528.984,4,,386.425,17.697,1.000,-0.231
4.336,17.325,-82.365,8.631,524.058,4,,410.073,3.114,0.000,-0.271
5.601,25.629,-98.656,8.291,503.038,4,Granite Creek Cut,426.382,2.792,0.000,-0.083
6.200,29.135,-100.732,8.082,486.692,4,Granite Creek Cut,428.461,1.577,0.000,0.049
6.853,31.901,-103.816,9.555,467.444,4,Granite Creek Cut,431.563,0.021,0.000,0.064
7.275,31.778,-107.145,10.700,454.425,0,Granite Creek Cut,434.901,0.899,0.000,0.040
7.799,32.704,-112.612,10.914,438.045,4,Granite Creek Cut,440.372,1.293,0.000,0.033
8.221,34.153,-118.717,11.638,425.400,4,Granite Creek Cut,446.476,0.644,0.000,0.031
8.659,35.478,-126.103,12.293,411.972,4,Granite Creek Cut,453.838,0.269,0.000,0.046
9.081,36.563,-134.243,12.906,399.215,4,Granite Creek Cut,461.960,0.295,0.000,0.063
9.481,37.450,-143.258,13.426,387.469,4,Granite Creek Cut,470.883,0.504,0.000,0.071
9.915,38.270,-154.208,13.888,375.933,4,Granite Creek Cut,481.709,0.740,0.000,0.063
10.522,39.369,-172.834,14.608,360.699,4,Granite Creek Cut,500.051,0.805,0.000,0.032
10.971,40.079,-187.288,15.119,350.867,4,Granite Creek Cut,514.242,0.560,0.000,0.013
11.511,40.859,-205.795,15.691,339.235,4,Granite Creek Cut,532.270,0.225,0.000,0.000
12.007,41.493,-223.326,16.134,328.428,4,Granite Creek Cut,549.242,0.043,0.000,-0.006
12.464,42.015,-239.611,16.442,318.231,4,Granite Creek Cut,564.908,0.035,0.000,-0.012
12.949,42.507,-256.629,16.637,307.177,4,Granite Creek Cut,581.061,0.089,0.000,-0.018
13.394,42.923,-272.131,16.678,296.537,4,Granite Creek Cut,595.626,0.157,0.000,-0.016
13.794,40.723,-285.922,16.584,286.536,4,Granite Creek Cut,608.354,0.212,0.000,-0.008
14.273,38.122,-300.560,16.347,275.503,4,Granite Creek Cut,621.703,0.143,0.000,-0.002
14.702,29.948,-312.729,16.647,266.180,4,Granite Creek Cut,632.842,0.067,1.000,0.000
15.142,30.164,-322.875,18.140,258.377,4,Granite Creek Cut,642.308,0.022,0.000,0.000
15.672,30.337,-335.421,19.753,248.729,0,Granite Creek Cut,653.933,0.006,0.000,0.001
16.624,30.593,-358.316,15.946,231.123,0,Granite Creek Cut,1242.089,0.074,0.000,0.006
17.024,28.011,-367.541,13.113,224.033,4,Granite Creek Cut,1248.770,0.136,0.000,0.010
17.442,30.090,-377.285,13.875,216.670,4,Granite Creek Cut,1255.639,0.144,0.000,0.005
17.859,32.016,-387.794,13.883,208.886,4,Granite Creek Cut,1263.036,0.094,0.000,0.004
18.263,33.745,-398.435,13.479,201.115,4,Granite Creek Cut,1270.913,0.047,0.000,0.005
18.671,35.284,-409.654,13.117,193.040,4,Granite Creek Cut,1279.106,0.030,0.000,0.008
19.082,36.696,-422.032,12.770,184.336,4,Granite Creek Cut,1287.856,0.048,0.000,0.013
19.514,37.922,-435.016,12.446,175.537,4,Granite Creek Cut,1296.659,0.098,0.000,0.014
19.927,38.991,-448.588,12.111,166.759,4,Granite Creek Cut,1305.367,0.154,0.000,0.013
20.368,39.971,-463.390,11.742,157.646,4,Granite Creek Cut,1314.373,0.169,0.000,0.010
20.789,40.789,-478.000,11.381,149.017,4,Granite Creek Cut,1322.887,0.145,0.000,0.007
21.189,41.475,-492.275,11.033,140.825,4,Granite Creek Cut,1330.916,0.106,0.000,0.003
21.601,42.106,-507.564,10.670,132.192,4,Granite Creek Cut,1339.348,0.065,0.000,-0.001
22.001,42.632,-522.333,10.331,123.873,4,Granite Creek Cut,1347.465,0.027,0.000,-0.007
22.421,43.111,-537.966,9.993,114.932,4,Granite Creek Cut,1356.174,0.019,0.000,-0.015
22.825,43.503,-552.862,9.699,106.083,4,Granite Creek Cut,1364.788,0.101,0.000,-0.013
23.250,43.853,-568.435,9.448,96.383,4,Granite Creek Cut,1374.216,0.154,0.000,-0.020
23.658,44.132,-583.863,9.297,86.210,4,Granite Creek Cut,1384.135,0.107,0.000,-0.045
24.058,43.834,-598.125,9.195,75.760,4,Granite Creek Cut,1394.330,0.231,0.000,-0.085
24.458,38.436,-610.434,9.128,64.880,4,Granite Creek Cut,1404.985,0.464,0.571,-0.113
24.905,32.234,-620.264,9.087,53.073,4,Granite Creek Cut,1416.609,0.635,0.277,-0.136
25.306,28.231,-625.911,9.045,42.614,4,Granite Creek Cut,1426.962,0.726,0.000,-0.136
25.814,28.719,-629.520,8.988,29.030,4,,1440.476,1.186,0.000,-0.111
26.444,31.725,-629.629,8.907,9.675,4,,1459.827,15.785,0.000,-0.004
27.028,34.121,-628.118,8.828,-9.406,4,,1478.933,34.821,0.000,0.023
27.512,35.783,-627.266,8.798,-26.185,4,,1495.725,51.612,0.000,0.014
