time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.020,1064.367,145.989,184.000,31.701,-31.701,-0.063,0.000,0.000,0.000,0.000,4,7.803,1.515,1.000,"Ground_Mountain_2_4:(0.068, 0.997, 0.047) separation=0.6245703;Ground_Mountain_2_4:(0.068, 0.997, 0.047) separation=0.491886;Ground_Mountain_2_4:(0.068, 0.997, 0.047) separation=0.6110462;Ground_Mountain_2_4:(0.068, 0.997, 0.047) separation=0.5302267;Ground_Mountain_2_4:(0.068, 0.997, 0.047) separation=0.5089179;Ground_Mountain_2_4:(0.068, 0.997, 0.047) separation=0.5148602;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0897107;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2691263;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08971069;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2691263;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1003169;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1003169;"
0.040,1063.736,145.993,184.000,31.695,-31.695,0.223,0.000,0.150,0.000,0.005,4,12.198,0.873,1.000,"Ground_Mountain_2_4:(0.079, 0.995, 0.055) separation=0.6056558;Ground_Mountain_2_4:(0.079, 0.995, 0.055) separation=0.4268485;Ground_Mountain_2_4:(0.079, 0.995, 0.055) separation=0.5799124;Ground_Mountain_2_4:(0.079, 0.995, 0.055) separation=0.467828;Ground_Mountain_2_4:(0.079, 0.995, 0.055) separation=0.4495622;Ground_Mountain_2_4:(0.079, 0.995, 0.055) separation=0.5083275;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0401293;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2150369;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04012929;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2150369;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0401293;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04216042;"
0.060,1063.112,146.008,184.000,31.597,-31.593,0.741,0.011,0.153,0.000,-0.038,4,16.114,2.531,0.999,"Ground_Mountain_2_4:(0.079, 0.995, 0.055) separation=0.5672907;Ground_Mountain_2_4:(0.079, 0.995, 0.055) separation=0.3793032;Ground_Mountain_2_4:(0.079, 0.995, 0.055) separation=0.5416491;Ground_Mountain_2_4:(0.079, 0.995, 0.055) separation=0.4201787;Ground_Mountain_2_4:(0.079, 0.995, 0.055) separation=0.4017701;Ground_Mountain_2_4:(0.079, 0.995, 0.055) separation=0.5077357;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008138707;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1547252;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008039758;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1548242;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03389549;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03400061;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05792883;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05792883;"
0.080,1062.487,146.029,184.000,31.572,-31.570,1.063,-0.012,0.202,0.000,0.105,4,20.894,7.090,0.998,"Ground_Mountain_2_4:(0.156, 0.985, 0.068) separation=0.4044731;Ground_Mountain_2_4:(0.156, 0.985, 0.068) separation=0.3498127;Ground_Mountain_2_4:(0.156, 0.985, 0.068) separation=0.359293;Ground_Mountain_2_4:(0.156, 0.985, 0.068) separation=0.393967;Ground_Mountain_2_4:(0.156, 0.985, 0.068) separation=0.3757342;Ground_Mountain_2_4:(0.156, 0.985, 0.068) separation=0.3761206;Ground_Mountain_2_4:(0.092, 0.994, 0.064) separation=0.5241441;Ground_Mountain_2_4:(0.092, 0.994, 0.064) separation=0.357908;Ground_Mountain_2_4:(0.092, 0.994, 0.064) separation=0.4945698;Ground_Mountain_2_4:(0.092, 0.994, 0.064) separation=0.4025391;Ground_Mountain_2_4:(0.092, 0.994, 0.064) separation=0.3803607;Ground_Mountain_2_4:(0.092, 0.994, 0.064) separation=0.3839232;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001862145;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0896012;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001643514;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08981983;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002698421;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002914369;"
0.100,1061.862,146.066,184.000,31.480,-31.431,1.852,0.003,0.214,0.000,-0.169,4,26.483,7.163,0.997,"Ground_Mountain_2_4:(0.132, 0.989, 0.066) separation=0.4687351;Ground_Mountain_2_4:(0.132, 0.989, 0.066) separation=0.3003545;Ground_Mountain_2_4:(0.132, 0.989, 0.066) separation=0.4278637;Ground_Mountain_2_4:(0.132, 0.989, 0.066) separation=0.3442749;Ground_Mountain_2_4:(0.132, 0.989, 0.066) separation=0.3260028;Ground_Mountain_2_4:(0.132, 0.989, 0.066) separation=0.3639597;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0004975284;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03253762;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0003506755;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03268448;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00979197;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.009953529;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0503532;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0503532;"
0.120,1061.235,146.113,184.000,31.447,-31.357,2.377,0.014,0.260,0.000,-0.199,4,23.851,3.381,0.997,"Ground_Mountain_2_4:(0.132, 0.989, 0.066) separation=0.4271968;Ground_Mountain_2_4:(0.132, 0.989, 0.066) separation=0.2520393;Ground_Mountain_2_4:(0.132, 0.989, 0.066) separation=0.3862656;Ground_Mountain_2_4:(0.132, 0.989, 0.066) separation=0.2959896;Ground_Mountain_2_4:(0.132, 0.989, 0.066) separation=0.2774979;Ground_Mountain_2_4:(0.132, 0.989, 0.066) separation=0.3573055;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001275642;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.006477802;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=5.553151E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.006549834;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008752942;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0009503663;"
0.140,1060.609,146.165,184.000,31.467,-31.361,2.590,0.001,0.276,0.000,0.204,4,20.362,0.676,0.997,"Ground_Mountain_2_4:(0.134, 0.989, 0.064) separation=0.4067562;Ground_Mountain_2_4:(0.134, 0.989, 0.064) separation=0.2088012;Ground_Mountain_2_4:(0.134, 0.989, 0.064) separation=0.3651078;Ground_Mountain_2_4:(0.134, 0.989, 0.064) separation=0.2478237;Ground_Mountain_2_4:(0.134, 0.989, 0.064) separation=0.2252319;Ground_Mountain_2_4:(0.134, 0.989, 0.064) separation=0.225745;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=2.167723E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001362038;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=7.729023E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001306425;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001075566;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001791716;"
0.160,1059.982,146.220,184.000,31.485,-31.364,2.775,-0.016,0.266,0.000,0.209,4,19.009,0.555,0.997,"Ground_Mountain_2_4:(0.151, 0.987, 0.051) separation=0.372399;Ground_Mountain_2_4:(0.151, 0.987, 0.051) separation=0.1665504;Ground_Mountain_2_4:(0.151, 0.987, 0.051) separation=0.328373;Ground_Mountain_2_4:(0.151, 0.987, 0.051) separation=0.1949815;Ground_Mountain_2_4:(0.151, 0.987, 0.051) separation=0.1858334;Ground_Mountain_2_4:(0.151, 0.987, 0.051) separation=0.2082185;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003573859;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001028933;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003720614;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008821781;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001441032;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001553327;"
0.180,1059.354,146.279,184.000,31.502,-31.367,2.931,0.003,0.257,0.000,-0.212,4,17.523,0.448,0.997,"Ground_Mountain_2_4:(0.151, 0.987, 0.051) separation=0.3280293;Ground_Mountain_2_4:(0.151, 0.987, 0.051) separation=0.1268578;Ground_Mountain_2_4:(0.151, 0.987, 0.051) separation=0.2836567;Ground_Mountain_2_4:(0.151, 0.987, 0.051) separation=0.1553959;Ground_Mountain_2_4:(0.151, 0.987, 0.051) separation=0.1459209;Ground_Mountain_2_4:(0.151, 0.987, 0.051) separation=0.2126828;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01032057;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004866888;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01054415;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004643303;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00482747;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005054802;"
0.200,1058.727,146.340,184.001,31.516,-31.371,3.055,0.038,0.249,0.000,-0.215,4,15.981,0.355,0.996,"Ground_Mountain_2_4:(0.137, 0.990, 0.037) separation=0.2872741;Ground_Mountain_2_4:(0.137, 0.990, 0.037) separation=0.09644904;Ground_Mountain_2_4:(0.137, 0.990, 0.037) separation=0.2689536;Ground_Mountain_2_4:(0.137, 0.990, 0.037) separation=0.1183814;Ground_Mountain_2_4:(0.137, 0.990, 0.037) separation=0.09743789;Ground_Mountain_2_4:(0.137, 0.990, 0.037) separation=0.09776211;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01975993;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01221825;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.020046;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01193218;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01265648;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01285976;"
