time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.020,1064.526,146.139,201.075,23.775,-23.776,-0.057,0.000,0.000,0.000,0.000,4,7.803,0.957,1.000,""
0.040,1064.052,146.138,201.075,23.781,-23.782,-0.021,0.000,0.112,0.000,0.010,4,11.553,0.134,1.000,""
0.060,1063.579,146.140,201.075,23.784,-23.786,0.083,0.001,0.110,0.000,-0.026,4,14.951,0.405,1.000,""
0.080,1063.106,146.145,201.075,23.785,-23.786,0.246,0.000,0.108,0.000,0.045,4,17.898,0.733,1.000,""
0.100,1062.633,146.154,201.075,23.785,-23.783,0.456,0.001,0.108,0.000,-0.065,4,20.241,0.910,0.999,""
0.120,1062.160,146.168,201.075,23.784,-23.775,0.698,0.000,0.108,0.000,0.085,4,21.913,0.980,0.999,""
0.140,1061.688,146.187,201.075,23.782,-23.763,0.961,0.002,0.108,0.000,-0.104,4,22.915,0.978,0.999,""
0.160,1061.215,146.211,201.075,23.780,-23.748,1.231,0.002,0.109,0.000,-0.121,4,23.292,0.929,0.999,""
0.180,1060.742,146.241,201.075,23.777,-23.730,1.497,-0.006,0.110,0.000,0.136,4,23.116,0.852,0.998,""
0.200,1060.269,146.276,201.075,23.774,-23.711,1.750,-0.017,0.111,0.000,0.149,4,22.478,0.761,0.998,""
0.220,1059.797,146.316,201.074,23.771,-23.692,1.983,-0.021,0.113,0.000,0.161,4,21.470,0.665,0.998,""
0.240,1059.324,146.360,201.074,23.767,-23.673,2.190,-0.013,0.114,0.000,-0.170,4,20.188,0.571,0.998,""
0.260,1058.852,146.407,201.074,23.763,-23.655,2.368,0.003,0.116,0.000,-0.178,4,18.722,0.482,0.997,""
0.280,1058.380,146.457,201.074,23.759,-23.638,2.515,0.016,0.118,0.000,-0.185,4,17.152,0.401,0.997,""
0.300,1057.908,146.510,201.075,23.755,-23.624,2.629,0.017,0.120,0.000,-0.190,4,15.551,0.329,0.997,""
0.320,1057.436,146.564,201.075,23.749,-23.612,2.712,0.001,0.123,0.000,0.194,4,13.980,0.267,0.997,""
0.340,1056.964,146.619,201.074,23.744,-23.602,2.765,-0.029,0.125,0.000,0.198,4,12.485,0.213,0.997,""
0.360,1056.493,146.675,201.073,23.740,-23.594,2.791,-0.059,0.128,0.000,0.201,4,11.106,0.168,0.997,""
0.380,1056.021,146.731,201.071,23.735,-23.588,2.792,-0.080,0.130,0.000,0.203,4,9.870,0.131,0.997,""
0.400,1055.549,146.786,201.070,23.730,-23.585,2.771,-0.082,0.133,0.000,0.204,4,8.794,0.101,0.997,""
0.420,1055.078,146.841,201.069,23.725,-23.583,2.733,-0.062,0.135,0.000,-0.204,4,7.889,0.076,0.997,""
0.440,1054.606,146.894,201.068,23.720,-23.582,2.680,-0.025,0.138,0.000,-0.205,4,7.156,0.057,0.997,""
0.460,1054.135,146.947,201.068,23.716,-23.583,2.616,0.016,0.140,0.000,-0.206,4,6.590,0.041,0.997,""
0.480,1053.663,146.998,201.069,23.712,-23.585,2.543,0.048,0.142,0.000,-0.206,4,6.186,0.029,0.997,""
0.500,1053.191,147.047,201.071,23.709,-23.587,2.466,0.063,0.144,0.000,-0.206,4,5.931,0.020,0.997,""
0.520,1052.719,147.095,201.072,23.705,-23.590,2.387,0.056,0.146,0.000,-0.206,4,5.809,0.013,0.997,""
0.540,1052.247,147.141,201.072,23.700,-23.593,2.307,0.022,0.148,0.000,0.207,4,5.805,0.008,0.997,""
0.560,1051.776,147.185,201.072,23.697,-23.596,2.229,-0.029,0.150,0.000,0.209,4,5.901,0.004,0.997,""
0.580,1051.304,147.228,201.070,23.694,-23.599,2.155,-0.086,0.152,0.000,0.210,4,6.079,0.002,0.997,""
0.600,1050.832,147.270,201.067,23.692,-23.601,2.086,-0.134,0.153,0.000,0.211,4,6.323,0.000,0.997,""
0.620,1050.359,147.311,201.064,23.691,-23.604,2.023,-0.164,0.154,0.000,0.210,4,6.618,0.001,0.997,""
0.640,1049.887,147.350,201.060,23.688,-23.606,1.966,-0.170,0.155,0.000,0.208,4,6.946,0.002,0.997,""
0.660,1049.415,147.388,201.057,23.685,-23.609,1.916,-0.149,0.156,0.000,0.208,4,7.296,0.002,0.997,""
0.680,1048.943,147.426,201.055,23.681,-23.610,1.874,-0.100,0.158,0.000,-0.205,4,7.654,0.002,0.997,""
0.700,1048.471,147.462,201.055,23.678,-23.611,1.838,-0.032,0.159,0.000,-0.207,4,8.010,0.002,0.997,""
0.720,1047.999,147.499,201.056,23.677,-23.611,1.810,0.043,0.161,0.000,-0.209,4,8.354,0.002,0.997,""
0.740,1047.526,147.534,201.058,23.677,-23.611,1.788,0.109,0.162,0.000,-0.209,4,8.681,0.002,0.997,""
0.760,1047.054,147.570,201.061,23.676,-23.610,1.772,0.155,0.162,0.000,-0.208,4,8.985,0.002,0.997,""
0.780,1046.582,147.605,201.064,23.676,-23.610,1.762,0.177,0.162,0.000,-0.207,4,9.262,0.002,0.997,""
0.800,1046.110,147.640,201.068,23.674,-23.609,1.756,0.172,0.162,0.000,-0.205,4,9.506,0.001,0.997,""
0.820,1045.638,147.675,201.071,23.672,-23.609,1.755,0.137,0.163,0.000,0.207,4,9.720,0.001,0.997,""
0.840,1045.166,147.710,201.072,23.670,-23.608,1.757,0.081,0.164,0.000,0.207,4,9.901,0.001,0.997,""
0.860,1044.693,147.746,201.073,23.669,-23.606,1.763,0.018,0.165,0.000,0.208,4,10.051,0.001,0.997,""
0.880,1044.221,147.781,201.072,23.669,-23.604,1.771,-0.036,0.165,0.000,0.209,4,10.170,0.001,0.997,""
0.900,1043.749,147.817,201.070,23.670,-23.603,1.780,-0.073,0.165,0.000,0.208,4,10.259,0.001,0.997,""
0.920,1043.277,147.853,201.069,23.669,-23.602,1.791,-0.086,0.165,0.000,0.207,4,10.321,0.000,0.997,""
0.940,1042.805,147.889,201.067,23.668,-23.600,1.802,-0.073,0.165,0.000,0.206,4,10.360,0.000,0.997,""
0.960,1042.333,147.925,201.067,23.666,-23.599,1.814,-0.031,0.166,0.000,-0.206,4,10.378,0.000,0.997,""
0.980,1041.861,147.961,201.067,23.664,-23.597,1.826,0.031,0.167,0.000,-0.208,4,10.377,0.000,0.997,""
1.000,1041.390,147.998,201.069,23.664,-23.595,1.838,0.099,0.168,0.000,-0.210,4,10.360,0.000,0.997,""
1.020,1040.918,148.035,201.072,23.665,-23.593,1.849,0.159,0.168,0.000,-0.211,4,10.331,0.000,0.997,""
1.040,1040.446,148.072,201.076,23.665,-23.592,1.859,0.200,0.168,0.000,-0.210,4,10.292,0.000,0.997,""
1.060,1039.974,148.110,201.081,23.665,-23.591,1.868,0.216,0.167,0.000,-0.208,4,10.246,0.000,0.997,""
1.080,1039.502,148.147,201.085,23.664,-23.590,1.877,0.205,0.167,0.000,-0.207,4,10.195,0.000,0.997,""
1.100,1039.031,148.185,201.088,23.662,-23.589,1.884,0.166,0.168,0.000,0.205,4,10.142,0.000,0.997,""
1.120,1038.559,148.223,201.090,23.661,-23.589,1.890,0.105,0.169,0.000,0.206,4,10.088,0.000,0.997,""
1.140,1038.087,148.261,201.091,23.661,-23.588,1.895,0.038,0.169,0.000,0.207,4,10.035,0.000,0.997,""
1.160,1037.615,148.299,201.091,23.662,-23.587,1.899,-0.020,0.169,0.000,0.207,4,9.984,0.000,0.997,""
1.180,1037.144,148.337,201.089,23.663,-23.586,1.902,-0.061,0.169,0.000,0.206,4,9.935,0.000,0.997,""
