time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.020,1064.367,146.139,190.000,31.701,-31.701,-0.063,0.000,0.000,0.000,0.000,4,7.803,0.957,1.000,""
0.040,1063.735,146.139,190.000,31.701,-31.703,-0.004,0.000,0.150,0.000,0.010,4,12.677,0.134,1.000,""
0.060,1063.104,146.141,190.000,31.700,-31.702,0.142,0.001,0.149,0.000,-0.026,4,17.091,0.405,1.000,""
0.080,1062.473,146.149,190.000,31.697,-31.697,0.365,0.000,0.150,0.000,0.045,4,20.909,0.733,1.000,""
0.100,1061.842,146.162,190.000,31.692,-31.688,0.649,0.002,0.152,0.000,-0.065,4,23.930,0.910,0.999,""
0.120,1061.211,146.181,190.000,31.688,-31.674,0.974,0.000,0.154,0.000,0.085,4,26.068,0.980,0.999,""
0.140,1060.580,146.207,190.000,31.683,-31.655,1.325,0.003,0.156,0.000,-0.104,4,27.325,0.978,0.999,""
0.160,1059.949,146.241,190.000,31.678,-31.633,1.684,0.002,0.159,0.000,-0.121,4,27.761,0.929,0.999,""
0.180,1059.319,146.282,190.000,31.673,-31.608,2.037,-0.009,0.161,0.000,0.136,4,27.472,0.852,0.998,""
0.200,1058.689,146.329,190.000,31.667,-31.581,2.372,-0.024,0.164,0.000,0.150,4,26.576,0.761,0.998,""
0.220,1058.059,146.382,189.999,31.662,-31.554,2.679,-0.031,0.166,0.000,0.161,4,25.199,0.665,0.998,""
0.240,1057.430,146.441,189.999,31.656,-31.528,2.951,-0.019,0.169,0.000,-0.170,4,23.466,0.570,0.998,""
0.260,1056.801,146.505,189.999,31.650,-31.503,3.184,0.005,0.172,0.000,-0.178,4,21.497,0.482,0.997,""
0.280,1056.172,146.572,189.999,31.643,-31.481,3.375,0.024,0.175,0.000,-0.185,4,19.399,0.401,0.997,""
0.300,1055.543,146.643,190.000,31.636,-31.461,3.523,0.025,0.178,0.000,-0.190,4,17.265,0.329,0.997,""
0.320,1054.914,146.715,190.000,31.628,-31.444,3.630,0.001,0.182,0.000,0.194,4,15.176,0.266,0.997,""
0.340,1054.286,146.789,189.999,31.621,-31.430,3.696,-0.042,0.186,0.000,0.198,4,13.194,0.213,0.997,""
0.360,1053.658,146.864,189.997,31.614,-31.419,3.727,-0.087,0.190,0.000,0.201,4,11.370,0.168,0.997,""
0.380,1053.030,146.938,189.995,31.606,-31.411,3.725,-0.117,0.193,0.000,0.203,4,9.738,0.131,0.997,""
0.400,1052.402,147.012,189.992,31.599,-31.405,3.695,-0.121,0.197,0.000,0.204,4,8.321,0.101,0.997,""
0.420,1051.774,147.085,189.990,31.590,-31.402,3.641,-0.091,0.201,0.000,-0.203,4,7.132,0.076,0.997,""
0.440,1051.146,147.156,189.990,31.582,-31.400,3.568,-0.037,0.205,0.000,-0.205,4,6.174,0.057,0.997,""
0.460,1050.518,147.226,189.990,31.576,-31.400,3.481,0.024,0.209,0.000,-0.206,4,5.440,0.041,0.997,""
0.480,1049.890,147.294,189.992,31.570,-31.401,3.383,0.072,0.212,0.000,-0.206,4,4.919,0.029,0.997,""
0.500,1049.262,147.359,189.994,31.564,-31.403,3.279,0.095,0.215,0.000,-0.206,4,4.596,0.020,0.997,""
0.520,1048.634,147.423,189.995,31.557,-31.405,3.172,0.084,0.218,0.000,-0.206,4,4.448,0.013,0.997,""
0.540,1048.006,147.484,189.996,31.550,-31.408,3.065,0.035,0.221,0.000,0.207,4,4.456,0.008,0.997,""
0.560,1047.378,147.543,189.995,31.543,-31.410,2.961,-0.041,0.225,0.000,0.209,4,4.596,0.004,0.997,""
0.580,1046.750,147.600,189.993,31.538,-31.412,2.862,-0.125,0.229,0.000,0.211,4,4.845,0.002,0.997,""
0.600,1046.121,147.656,189.989,31.535,-31.414,2.770,-0.195,0.231,0.000,0.212,4,5.181,0.000,0.997,""
0.620,1045.493,147.710,189.984,31.531,-31.416,2.686,-0.238,0.233,0.000,0.211,4,5.582,0.001,0.997,""
0.640,1044.865,147.762,189.979,31.526,-31.418,2.611,-0.247,0.235,0.000,0.209,4,6.026,0.002,0.997,""
0.660,1044.236,147.813,189.975,31.520,-31.419,2.545,-0.215,0.237,0.000,0.208,4,6.496,0.002,0.997,""
0.680,1043.608,147.862,189.972,31.513,-31.420,2.489,-0.142,0.240,0.000,-0.204,4,6.976,0.002,0.997,""
0.700,1042.979,147.911,189.971,31.507,-31.419,2.442,-0.040,0.244,0.000,-0.207,4,7.453,0.002,0.997,""
0.720,1042.351,147.959,189.972,31.504,-31.417,2.404,0.071,0.246,0.000,-0.209,4,7.914,0.002,0.997,""
0.740,1041.723,148.007,189.976,31.502,-31.415,2.376,0.168,0.248,0.000,-0.210,4,8.350,0.002,0.997,""
0.760,1041.094,148.054,189.981,31.501,-31.413,2.355,0.238,0.249,0.000,-0.209,4,8.753,0.002,0.997,""
0.780,1040.466,148.101,189.986,31.499,-31.411,2.342,0.271,0.250,0.000,-0.207,4,9.119,0.002,0.997,""
0.800,1039.838,148.147,189.991,31.495,-31.409,2.335,0.263,0.251,0.000,-0.205,4,9.444,0.001,0.997,""
0.820,1039.210,148.194,189.995,31.490,-31.407,2.334,0.212,0.252,0.000,0.207,4,9.725,0.001,0.997,""
0.840,1038.582,148.241,189.998,31.486,-31.404,2.337,0.130,0.255,0.000,0.207,4,9.963,0.001,0.997,""
0.860,1037.954,148.288,189.999,31.485,-31.401,2.345,0.039,0.257,0.000,0.209,4,10.158,0.001,0.997,""
0.880,1037.326,148.335,189.998,31.484,-31.398,2.355,-0.041,0.258,0.000,0.209,4,10.314,0.001,0.997,""
0.900,1036.698,148.382,189.996,31.483,-31.394,2.368,-0.095,0.258,0.000,0.208,4,10.430,0.001,0.997,""
0.920,1036.070,148.430,189.994,31.482,-31.392,2.382,-0.114,0.258,0.000,0.207,4,10.510,0.000,0.997,""
0.940,1035.442,148.478,189.992,31.479,-31.389,2.398,-0.093,0.259,0.000,-0.205,4,10.559,0.000,0.997,""
0.960,1034.815,148.526,189.991,31.477,-31.386,2.414,-0.043,0.260,0.000,-0.206,4,10.581,0.000,0.997,""
0.980,1034.187,148.575,189.992,31.476,-31.383,2.430,0.017,0.262,0.000,-0.206,4,10.577,0.000,0.997,""
1.000,1033.559,148.624,189.993,31.475,-31.380,2.445,0.067,0.262,0.000,-0.207,4,10.554,0.000,0.997,""
1.020,1032.932,148.673,189.995,31.474,-31.378,2.460,0.093,0.262,0.000,-0.206,4,10.513,0.000,0.997,""
1.040,1032.304,148.722,189.996,31.472,-31.376,2.473,0.086,0.263,0.000,-0.205,4,10.461,0.000,0.997,""
1.060,1031.677,148.772,189.997,31.470,-31.374,2.485,0.043,0.264,0.000,0.207,4,10.399,0.000,0.997,""
1.080,1031.049,148.822,189.997,31.467,-31.372,2.496,-0.027,0.265,0.000,0.208,4,10.331,0.000,0.997,""
1.100,1030.422,148.872,189.995,31.467,-31.369,2.506,-0.106,0.266,0.000,0.210,4,10.260,0.000,0.997,""
1.120,1029.795,148.922,189.991,31.467,-31.367,2.514,-0.171,0.267,0.000,0.210,4,10.188,0.000,0.997,""
1.140,1029.167,148.973,189.987,31.467,-31.365,2.520,-0.210,0.267,0.000,0.209,4,10.116,0.000,0.997,""
1.160,1028.540,149.023,189.983,31.466,-31.364,2.526,-0.214,0.267,0.000,0.208,4,10.048,0.000,0.997,""
1.180,1027.913,149.074,189.979,31.462,-31.363,2.530,-0.179,0.267,0.000,0.208,4,9.983,0.000,0.997,""
1.200,1027.286,149.125,189.977,31.458,-31.362,2.533,-0.103,0.269,0.000,-0.205,4,9.924,0.000,0.997,""
1.220,1026.658,149.175,189.977,31.455,-31.360,2.534,0.001,0.271,0.000,-0.208,4,9.871,0.000,0.997,""
1.240,1026.031,149.226,189.979,31.455,-31.358,2.535,0.114,0.272,0.000,-0.210,4,9.823,0.000,0.997,""
1.260,1025.404,149.277,189.984,31.456,-31.356,2.535,0.212,0.273,0.000,-0.211,4,9.782,0.000,0.997,""
1.280,1024.777,149.327,189.989,31.457,-31.354,2.534,0.283,0.272,0.000,-0.210,4,9.747,0.000,0.997,""
1.300,1024.150,149.378,189.996,31.458,-31.354,2.533,0.316,0.271,0.000,-0.208,4,9.719,0.000,0.997,""
1.320,1023.523,149.429,190.002,31.456,-31.354,2.531,0.308,0.271,0.000,-0.207,4,9.697,0.000,0.997,""
1.340,1022.896,149.479,190.007,31.452,-31.354,2.529,0.257,0.272,0.000,-0.206,4,9.680,0.000,0.997,""
1.360,1022.269,149.530,190.010,31.447,-31.354,2.527,0.163,0.274,0.000,0.207,4,9.669,0.000,0.997,""
1.380,1021.642,149.580,190.011,31.444,-31.352,2.524,0.039,0.276,0.000,0.210,4,9.662,0.000,0.997,""
1.400,1021.015,149.631,190.009,31.444,-31.350,2.522,-0.092,0.278,0.000,0.213,4,9.660,0.000,0.997,""
1.420,1020.388,149.681,190.005,31.446,-31.348,2.519,-0.209,0.278,0.000,0.214,4,9.662,0.000,0.997,""
1.440,1019.761,149.731,189.999,31.448,-31.347,2.517,-0.296,0.277,0.000,0.214,4,9.666,0.000,0.997,""
1.460,1019.134,149.782,189.992,31.449,-31.346,2.515,-0.345,0.276,0.000,0.211,4,9.672,0.000,0.997,""
1.480,1018.507,149.832,189.985,31.449,-31.347,2.513,-0.350,0.276,0.000,0.209,4,9.681,0.000,0.997,""
1.500,1017.880,149.882,189.979,31.446,-31.348,2.511,-0.311,0.276,0.000,0.208,4,9.690,0.000,0.997,""
1.520,1017.253,149.932,189.974,31.442,-31.348,2.510,-0.226,0.277,0.000,-0.204,4,9.700,0.000,0.997,""
1.540,1016.626,149.982,189.972,31.439,-31.347,2.508,-0.111,0.279,0.000,-0.207,4,9.711,0.000,0.997,""
1.560,1015.999,150.033,189.972,31.439,-31.346,2.507,0.014,0.281,0.000,-0.209,4,9.721,0.000,0.997,""
1.580,1015.372,150.083,189.975,31.441,-31.344,2.506,0.126,0.281,0.000,-0.210,4,9.731,0.000,0.997,""
1.600,1014.745,150.133,189.979,31.443,-31.343,2.505,0.210,0.280,0.000,-0.209,4,9.740,0.000,0.997,""
1.620,1014.118,150.183,189.984,31.444,-31.344,2.504,0.256,0.279,0.000,-0.207,4,9.750,0.000,0.997,""
1.640,1013.492,150.233,189.990,31.444,-31.344,2.504,0.260,0.278,0.000,-0.206,4,9.758,0.000,0.997,""
1.660,1012.865,150.283,189.994,31.442,-31.345,2.504,0.221,0.278,0.000,-0.205,4,9.766,0.000,0.997,""
1.680,1012.238,150.333,189.997,31.438,-31.345,2.504,0.138,0.279,0.000,0.208,4,9.773,0.000,0.997,""
1.700,1011.611,150.383,189.997,31.436,-31.344,2.504,0.024,0.281,0.000,0.211,4,9.778,0.000,0.997,""
1.720,1010.984,150.433,189.995,31.436,-31.342,2.504,-0.098,0.282,0.000,0.214,4,9.783,0.000,0.997,""
1.740,1010.357,150.483,189.991,31.438,-31.341,2.504,-0.206,0.282,0.000,0.215,4,9.787,0.000,0.997,""
1.760,1009.730,150.533,189.985,31.441,-31.340,2.504,-0.285,0.281,0.000,0.214,4,9.790,0.000,0.997,""
1.780,1009.104,150.584,189.979,31.442,-31.340,2.504,-0.327,0.280,0.000,0.212,4,9.793,0.000,0.997,""
1.800,1008.477,150.634,189.972,31.442,-31.341,2.505,-0.326,0.279,0.000,0.210,4,9.795,0.000,0.997,""
1.820,1007.850,150.684,189.967,31.439,-31.342,2.505,-0.280,0.279,0.000,0.209,4,9.795,0.000,0.997,""
1.840,1007.223,150.734,189.963,31.435,-31.342,2.505,-0.190,0.281,0.000,-0.203,4,9.796,0.000,0.997,""
1.860,1006.596,150.784,189.962,31.432,-31.341,2.506,-0.070,0.283,0.000,-0.206,4,9.796,0.000,0.997,""
1.880,1005.969,150.834,189.963,31.433,-31.340,2.506,0.060,0.284,0.000,-0.210,4,9.795,0.000,0.997,""
1.900,1005.343,150.884,189.966,31.435,-31.338,2.506,0.176,0.284,0.000,-0.211,4,9.794,0.000,0.997,""
1.920,1004.716,150.934,189.971,31.437,-31.338,2.506,0.263,0.283,0.000,-0.210,4,9.793,0.000,0.997,""
1.940,1004.089,150.984,189.978,31.439,-31.338,2.507,0.312,0.281,0.000,-0.208,4,9.792,0.000,0.997,""
1.960,1003.462,151.035,189.984,31.439,-31.338,2.507,0.320,0.280,0.000,-0.206,4,9.791,0.000,0.997,""
1.980,1002.836,151.085,189.990,31.437,-31.339,2.507,0.283,0.280,0.000,-0.204,4,9.789,0.000,0.997,""
2.000,1002.209,151.135,189.994,31.434,-31.340,2.507,0.201,0.281,0.000,0.207,4,9.788,0.000,0.997,""
2.020,1001.582,151.185,189.996,31.432,-31.340,2.507,0.090,0.283,0.000,0.210,4,9.786,0.000,0.997,""
2.040,1000.955,151.235,189.995,31.432,-31.339,2.507,-0.031,0.284,0.000,0.212,4,9.784,0.000,0.997,""
2.060,1000.328,151.285,189.992,31.435,-31.339,2.491,-0.137,0.284,0.000,0.213,4,9.017,0.359,0.997,""
2.080,999.701,151.334,189.988,31.437,-31.342,2.452,-0.216,0.283,0.000,0.211,4,7.836,0.016,0.997,""
2.100,999.073,151.382,189.983,31.439,-31.346,2.406,-0.257,0.281,0.000,0.206,4,7.466,0.181,0.997,""
2.120,998.446,151.430,189.978,31.440,-31.351,2.359,-0.256,0.280,0.000,0.198,4,7.400,0.583,0.997,""
2.140,997.818,151.476,189.973,31.440,-31.357,2.307,-0.212,0.280,0.000,-0.187,4,7.187,0.306,0.997,""
2.160,997.190,151.521,189.971,31.441,-31.363,2.256,-0.138,0.280,0.000,-0.182,4,7.217,0.505,0.997,""
2.180,996.564,151.566,189.969,31.443,-31.366,2.237,-0.054,0.280,0.000,-0.182,4,8.757,0.667,0.997,""
2.200,995.938,151.611,189.970,31.445,-31.365,2.275,0.021,0.279,0.000,-0.187,4,11.570,0.441,0.997,""
2.220,995.313,151.659,189.971,31.446,-31.356,2.393,0.072,0.277,0.000,-0.198,4,15.600,0.109,0.996,""
2.240,994.710,151.730,189.977,31.051,-30.837,3.639,0.267,0.277,0.000,-0.215,4,20.375,0.049,0.992,"Ground_Summit authored launch:(0.252, 0.968, 0.000) separation=0.01760006;Ground_Summit authored launch:(0.252, 0.968, 0.000) separation=0.01349992;Ground_Summit authored launch:(0.252, 0.968, 0.000) separation=0.01761999;"
2.260,994.118,151.819,189.985,30.814,-30.489,4.528,0.379,0.474,0.000,-0.316,4,23.211,6.774,0.985,"Ground_Summit authored launch:(0.287, 0.958, 0.000) separation=-0.003456516;Ground_Summit authored launch:(0.287, 0.958, 0.000) separation=-0.002310235;"
2.280,993.525,151.918,189.992,30.725,-30.337,5.095,0.368,0.593,0.000,-0.443,4,28.026,8.878,0.977,"Ground_Summit authored launch:(0.287, 0.958, 0.000) separation=-0.0004782006;Ground_Summit authored launch:(0.287, 0.958, 0.000) separation=-0.0001745969;"
2.300,992.942,152.035,189.999,30.543,-30.040,5.926,0.362,0.638,0.000,0.500,4,33.255,7.839,0.966,"Ground_Summit authored launch:(0.322, 0.947, 0.000) separation=-0.0128684;Ground_Summit authored launch:(0.322, 0.947, 0.000) separation=-0.01286842;"
2.320,992.358,152.162,190.005,30.455,-29.875,6.508,0.260,0.728,0.000,0.500,4,35.420,8.566,0.955,"Ground_Summit authored launch:(0.322, 0.947, 0.000) separation=-0.002569541;Ground_Summit authored launch:(0.322, 0.947, 0.000) separation=-0.002305828;"
2.340,991.799,152.356,190.007,30.001,-28.535,9.286,0.116,0.773,0.000,0.500,4,39.864,7.555,0.950,"Ground_Summit authored launch:(0.251, 0.968, 0.000) separation=0.01324642;Ground_Summit authored launch:(0.251, 0.968, 0.000) separation=-0.01537892;Ground_Summit authored launch:(0.251, 0.968, 0.000) separation=0.01444769;Ground_Summit authored launch:(0.251, 0.968, 0.000) separation=-0.0193108;Ground_Summit authored launch:(0.251, 0.968, 0.000) separation=-0.01387638;Ground_Summit authored launch:(0.251, 0.968, 0.000) separation=-0.01267141;Ground_Summit authored launch:(0.355, 0.935, 0.000) separation=-0.01836326;Ground_Summit authored launch:(0.355, 0.935, 0.000) separation=0.0132677;Ground_Summit authored launch:(0.355, 0.935, 0.000) separation=0.01447088;Ground_Summit authored launch:(0.355, 0.935, 0.000) separation=-0.01893771;Ground_Summit authored launch:(0.355, 0.935, 0.000) separation=-0.01677307;Ground_Summit authored launch:(0.355, 0.935, 0.000) separation=-0.01923026;"
