course,mode,vehicle,speed,line,direction,travel,air,minUp,recovered,awards,completed
Street Loop,roam,original,24,0,1,175.09,6.68,0.679,True,0,False
Street Loop,roam,original,24,-6,1,220.39,7.32,0.679,True,0,True
Street Loop,roam,original,24,6,1,235.77,8.30,0.339,True,0,True
Street Loop,roam,original,24,-11.075,1,208.83,4.86,0.676,True,0,True
Street Loop,roam,original,24,11.075,1,201.44,6.42,0.566,True,0,False
Street Loop,roam,original,32,0,1,205.14,5.70,0.682,True,0,True
Street Loop,roam,original,32,-6,1,209.08,5.90,0.682,True,0,True
Street Loop,roam,original,32,6,1,206.34,5.74,0.682,True,0,True
Street Loop,roam,original,32,-11.075,1,204.14,5.88,0.647,True,0,True
Street Loop,roam,original,32,11.075,1,252.77,8.40,0.660,True,0,False
Street Loop,roam,original,40,0,1,236.12,6.44,0.680,True,0,True
Street Loop,roam,original,40,-6,1,235.02,6.44,0.679,True,0,True
Street Loop,roam,original,40,6,1,277.46,8.62,0.679,True,0,False
Street Loop,roam,original,40,-11.075,1,235.12,6.44,0.679,True,0,True
Street Loop,roam,original,40,11.075,1,283.09,8.78,0.571,True,0,True
Street Loop,roam,tourer,24,0,1,209.15,4.72,0.680,True,0,True
Street Loop,roam,tourer,24,-6,1,209.15,4.72,0.680,True,0,True
Street Loop,roam,tourer,24,6,1,209.04,5.08,0.680,True,0,True
Street Loop,roam,tourer,24,-11,1,208.90,4.72,0.680,True,0,True
Street Loop,roam,tourer,24,11,1,214.42,7.10,0.657,True,0,True
Street Loop,roam,tourer,32,0,1,202.72,5.64,0.678,True,0,True
Street Loop,roam,tourer,32,-6,1,204.44,5.70,0.679,True,0,True
Street Loop,roam,tourer,32,6,1,203.74,5.64,0.679,True,0,True
Street Loop,roam,tourer,32,-11,1,225.43,6.30,0.473,True,0,False
Street Loop,roam,tourer,32,11,1,206.67,5.60,0.680,True,0,True
Street Loop,roam,tourer,40,0,1,233.13,6.38,0.673,True,0,True
Street Loop,roam,tourer,40,-6,1,232.68,6.38,0.672,True,0,True
Street Loop,roam,tourer,40,6,1,232.74,6.38,0.673,True,0,True
Street Loop,roam,tourer,40,-11,1,232.36,6.38,0.671,True,0,True
Street Loop,roam,tourer,40,11,1,232.03,6.34,0.645,True,0,True
Street Loop,roam,moto,24,0,1,231.73,6.64,0.670,True,0,True
Street Loop,roam,moto,24,-6,1,209.19,4.84,0.670,True,0,True
Street Loop,roam,moto,24,6,1,209.16,4.84,0.670,True,0,True
Street Loop,roam,moto,24,-11.675,1,240.40,8.00,0.124,True,0,True
Street Loop,roam,moto,24,11.675,1,162.08,9.54,-0.409,True,0,False
Street Loop,roam,moto,32,0,1,210.62,5.92,0.659,True,0,True
Street Loop,roam,moto,32,-6,1,210.75,5.92,0.659,True,0,True
Street Loop,roam,moto,32,6,1,211.57,5.92,0.659,True,0,True
Street Loop,roam,moto,32,-11.675,1,261.77,13.66,-0.816,True,0,False
Street Loop,roam,moto,32,11.675,1,177.14,6.00,0.287,True,0,False
Street Loop,roam,moto,40,0,1,337.73,9.96,0.655,True,0,True
Street Loop,roam,moto,40,-6,1,252.13,7.02,0.655,True,0,True
Street Loop,roam,moto,40,6,1,259.75,6.86,0.654,True,0,True
Street Loop,roam,moto,40,-11.675,1,255.11,12.46,-0.338,True,0,True
Street Loop,roam,moto,40,11.675,1,290.50,9.12,0.650,True,0,True
Street Loop,roam,atv,24,0,1,209.04,5.02,0.680,True,0,True
Street Loop,roam,atv,24,-6,1,209.31,4.82,0.679,True,0,True
Street Loop,roam,atv,24,6,1,164.24,6.96,0.680,True,0,False
Street Loop,roam,atv,24,-11.275,1,207.23,9.02,0.290,True,0,True
Street Loop,roam,atv,24,11.275,1,319.97,10.20,0.110,True,0,True
Street Loop,roam,atv,32,0,1,210.31,5.90,0.668,True,0,True
Street Loop,roam,atv,32,-6,1,209.31,5.90,0.667,True,0,True
Street Loop,roam,atv,32,6,1,246.56,8.44,0.322,True,0,False
Street Loop,roam,atv,32,-11.275,1,242.60,7.84,-0.073,True,0,True
Street Loop,roam,atv,32,11.275,1,178.70,6.32,0.469,True,0,False
Street Loop,roam,atv,40,0,1,252.11,7.00,0.657,True,0,True
Street Loop,roam,atv,40,-6,1,258.42,8.90,0.150,True,0,True
Street Loop,roam,atv,40,6,1,243.21,6.66,0.659,True,0,True
Street Loop,roam,atv,40,-11.275,1,363.92,12.00,-0.399,True,0,True
Street Loop,roam,atv,40,11.275,1,287.99,8.98,0.540,True,0,True
