time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.001,1064.525,145.989,196.000,23.776,-23.776,-0.057,0.000,0.000,0.000,0.000,4,7.803,1.754,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604844;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755565;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755565;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076935;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076935;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;"
0.021,1064.050,145.988,196.000,23.787,-23.788,-0.028,0.000,0.112,0.000,0.000,4,11.211,1.075,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1239016;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3063569;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3063568;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1239016;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1535971;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1583174;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.36618;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1837279;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.36618;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1837279;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1837279;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1837279;"
0.041,1063.576,145.990,196.000,23.797,-23.797,0.062,0.000,0.106,0.000,0.000,4,14.184,0.526,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08972715;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2635843;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2635843;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08972716;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09964263;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09964263;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3233951;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495387;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3233951;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495387;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495386;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1802661;"
0.061,1063.101,145.994,196.000,23.804,-23.804,0.202,0.000,0.102,0.000,0.000,4,16.777,0.090,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05860139;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.221266;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.221266;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05860141;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08132184;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08552727;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2810603;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1184014;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.281033;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1184014;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1184014;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1184014;"
0.081,1062.627,146.001,196.000,23.810,-23.808,0.386,0.000,0.098,0.000,0.000,4,18.911,0.247,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03109969;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1808723;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1808723;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03109971;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03625661;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03625664;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2407016;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09092299;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2407016;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09092299;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09092295;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09092295;"
0.101,1062.155,146.017,196.000,23.766,-23.753,0.793,0.001,0.095,0.000,0.000,4,20.544,0.500,0.999,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007756893;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1436743;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1436743;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007756904;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02370781;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02721921;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2034839;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06757821;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2034839;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06757821;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06757823;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06757823;"
0.121,1061.684,146.038,196.000,23.764,-23.740,1.063,0.001,0.117,0.000,0.000,4,21.294,3.085,0.999,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001555428;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.105705;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1057093;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001551129;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002827227;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00283283;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1655155;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0613577;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1655119;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06136125;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06136319;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07509738;"
0.141,1061.213,146.064,196.000,23.768,-23.732,1.322,0.001,0.118,0.000,0.000,4,22.709,3.254,0.998,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0003244858;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.07362974;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0736316;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0003226213;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00729084;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.009185463;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1334549;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06014117;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1334507;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06014531;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06014252;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06014532;"
0.161,1060.741,146.096,196.000,23.770,-23.717,1.595,0.000,0.116,0.000,0.000,4,23.459,2.827,0.998,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001653185;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04932818;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04932754;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001653828;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0158309;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01706094;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05164176;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05164176;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1091462;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06146755;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1091471;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06146666;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06146756;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06146756;"
0.181,1060.269,146.133,196.000,23.771,-23.698,1.866,0.000,0.115,0.000,0.000,4,23.357,2.425,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.006092497;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03281962;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03281685;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.006095278;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00804013;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008727163;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09261476;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06588278;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09261525;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06588228;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06588244;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06588277;"
