time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.003,1064.525,145.989,196.000,23.776,-23.776,-0.057,0.000,0.000,0.000,0.000,4,7.803,1.515,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.328945;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.328945;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08971067;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2691263;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2691263;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08971068;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1003169;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1003169;"
0.023,1064.050,145.988,196.000,23.790,-23.791,-0.028,0.000,0.112,0.000,0.000,4,11.192,0.873,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2876102;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1127056;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2876102;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1127056;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1127056;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1349697;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05289651;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2278017;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2278017;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05289653;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.07959706;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08171567;"
0.043,1063.580,145.995,196.000,23.727,-23.725,0.333,0.000,0.105,0.000,0.000,4,14.136,0.358,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2451723;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07814729;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2451723;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07814729;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07814729;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1347321;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01832922;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1853701;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1853701;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01832923;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02416295;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02416298;"
0.063,1063.112,146.008,196.000,23.695,-23.688,0.640,0.001,0.137,0.000,0.000,4,16.115,3.326,0.999,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1973127;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06350334;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.197158;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06365809;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06358257;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1372095;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003838681;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1373411;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1374978;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003682014;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02091923;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02269405;"
0.083,1062.643,146.025,196.000,23.696,-23.685,0.867,0.000,0.153,0.000,0.000,4,19.029,5.157,0.998,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1500442;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06057165;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1499063;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06070961;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06064022;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06064689;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008948809;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09010124;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09023773;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0007583983;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001816303;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00195387;"
0.103,1062.173,146.047,196.000,23.702,-23.684,1.110,0.000,0.152,0.000,0.000,4,21.906,4.890,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1095801;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05999081;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1095334;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06003747;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06001559;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06401786;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0002083974;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04970377;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04975234;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001598336;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005395025;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.006042421;"
0.123,1061.702,146.077,196.000,23.682,-23.636,1.520,0.000,0.149,0.000,0.000,4,23.660,4.094,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07794403;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06025595;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07798386;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06021612;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0602361;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06538495;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0004153815;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01817895;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0181405;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0004538321;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00606963;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.006245315;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05040696;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05040696;"
0.143,1061.231,146.114,196.000,23.676,-23.604,1.843,0.000,0.159,0.000,0.000,4,22.041,1.863,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0634317;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06003082;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0635557;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05990681;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05996886;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06167704;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=9.77912E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003741525;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00361934;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0002199752;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0004278421;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0005074739;"
0.163,1060.759,146.155,196.000,23.687,-23.599,2.044,0.000,0.162,0.000,0.000,4,19.845,0.546,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06054719;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06111509;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06060174;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06106055;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06057447;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06060126;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001241283;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0007798632;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0007244194;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001296726;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0007991195;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008535981;"
0.183,1060.288,146.199,196.000,23.696,-23.594,2.214,0.000,0.157,0.000,0.000,4,18.293,0.445,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06212305;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06573297;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06210814;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06574787;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06211564;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06211916;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005933777;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002301813;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002318693;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005916897;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002461016;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002487838;"
