time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.020,825.634,148.184,190.000,31.699,31.699,-0.044,0.000,0.000,0.000,0.000,4,7.800,0.330,1.000,"Ground_Mountain_0_4:(-0.019, 1.000, 0.000) separation=0.23735;Ground_Mountain_0_4:(-0.019, 1.000, 0.000) separation=0.274969;Ground_Mountain_0_4:(-0.019, 1.000, 0.000) separation=0.23735;Ground_Mountain_0_4:(-0.019, 1.000, 0.000) separation=0.2746284;Ground_Mountain_0_4:(-0.019, 1.000, 0.000) separation=0.2373499;Ground_Mountain_0_4:(-0.019, 1.000, 0.000) separation=0.2373499;"
0.040,826.268,148.183,190.000,31.709,31.709,-0.062,0.000,0.150,0.000,0.000,4,8.932,0.202,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2274156;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2617393;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2274156;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2617393;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2274156;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2286917;"
0.060,826.902,148.182,190.000,31.717,31.717,-0.059,0.000,0.146,0.000,0.000,4,9.943,0.099,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2174701;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2501623;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2174701;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2501623;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2174701;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2174701;"
0.080,827.536,148.181,190.000,31.725,31.725,-0.038,0.000,0.141,0.000,0.000,4,10.842,0.017,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2078584;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2384439;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2078584;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2384439;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2078584;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2078584;"
0.100,828.171,148.181,190.000,31.732,31.732,-0.002,0.000,0.138,0.000,0.000,4,11.604,0.046,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1987783;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.226942;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1987783;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.226942;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1987784;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1987784;"
0.120,828.805,148.182,190.000,31.738,31.738,0.047,0.000,0.134,0.000,0.000,4,12.217,0.093,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1905694;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2161224;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1905694;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2161224;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1905694;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1905694;"
0.140,829.440,148.184,190.000,31.743,31.743,0.104,0.000,0.131,0.000,0.000,4,12.677,0.127,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1832954;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.206186;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1832954;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.206186;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1832953;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1832953;"
0.160,830.074,148.187,190.000,31.748,31.748,0.168,0.000,0.128,0.000,0.000,4,12.987,0.150,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1771885;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1974096;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1771885;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1974096;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1771885;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1771885;"
0.180,830.709,148.192,190.000,31.753,31.752,0.235,0.000,0.126,0.000,0.000,4,13.157,0.164,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1723214;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1899618;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1723214;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1899618;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1723214;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1762911;"
0.200,831.344,148.198,190.000,31.756,31.755,0.303,0.000,0.124,0.000,0.000,4,13.199,0.170,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1687199;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1839217;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1687199;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1839217;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1687199;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1687199;"
