time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.020,1064.367,145.989,184.000,31.701,-31.701,-0.063,0.000,0.000,0.000,0.000,4,7.803,1.754,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755566;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755566;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076934;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076934;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;"
0.040,1063.733,145.989,184.000,31.709,-31.710,-0.013,0.000,0.150,0.000,0.000,4,12.223,1.075,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1111346;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2935922;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1111346;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2935922;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1140748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1187951;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3534124;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1709603;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3534124;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1709603;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1709604;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1785768;"
0.060,1063.100,145.991,184.000,31.716,-31.717,0.114,0.000,0.145,0.000,0.000,4,16.071,0.526,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.06461349;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2384736;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.06461348;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2384737;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09797311;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09797314;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2982771;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.124426;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2982771;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.124426;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1244259;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1244259;"
0.080,1062.473,146.003,184.000,31.638,-31.633,0.618,0.000,0.142,0.000,0.000,4,19.419,0.090,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02189606;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1845604;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02189605;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1845605;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02739727;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0273973;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2443582;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08169277;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2443582;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08169277;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08169273;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08169273;"
0.100,1061.847,146.024,184.000,31.595,-31.582,1.053,0.000,0.181,0.000,0.000,4,22.317,4.137,0.999,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004376031;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1257914;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004366755;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1258007;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04121396;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04122275;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05431449;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05431449;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1855987;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06418604;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1856042;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06418051;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06418052;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06418052;"
0.120,1061.221,146.052,184.000,31.590,-31.568,1.403,0.000,0.202,0.000,0.000,4,26.314,5.962,0.998,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.000900127;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.07050723;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008954238;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.07051158;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.011011;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01101533;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0508852;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0508852;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1303566;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06070087;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1303579;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06069956;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06070089;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06070089;"
0.140,1060.594,146.091,184.000,31.551,-31.492,1.984,0.000,0.205,0.000,0.000,4,29.631,5.286,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001760088;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02650042;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001751259;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0265013;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002309471;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002987683;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08631649;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05999131;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08631699;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05999082;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05999127;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05999127;"
0.160,1059.966,146.140,184.000,31.534,-31.438,2.456,0.001,0.224,0.000,0.000,4,27.906,2.640,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=4.23647E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005316325;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=5.381054E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00530488;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001388013;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001399457;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05004802;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05004802;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06512083;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05984617;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06510977;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05985723;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05985171;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05985633;"
0.180,1059.338,146.195,184.000,31.541,-31.421,2.756,0.001,0.233,0.000,0.000,4,24.847,0.790,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001918267;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00105924;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00192105;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001056457;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001098663;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001101494;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06086127;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06172757;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06086127;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06172757;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06086126;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06100526;"
0.200,1058.710,146.255,184.000,31.547,-31.405,3.013,0.000,0.230,0.000,0.000,4,22.625,0.649,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.009105871;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003558998;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.009101084;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003563785;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004045844;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004193515;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0633582;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06890409;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06336373;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06889856;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06335819;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06336185;"
