time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.020,1064.367,145.989,184.000,31.701,-31.701,-0.063,0.000,0.000,0.000,0.000,4,7.803,1.754,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755566;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755566;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076934;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076934;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;"
0.040,1063.733,145.989,184.000,31.709,-31.710,-0.013,0.000,0.150,0.000,0.000,4,12.223,1.075,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1111346;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2935922;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1111346;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2935922;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1140748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1187951;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3534124;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1709603;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3534124;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1709603;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1709604;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1785768;"
0.060,1063.100,145.991,184.000,31.716,-31.717,0.114,0.000,0.145,0.000,0.000,4,16.071,0.526,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.06459828;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2384584;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.06459825;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2384584;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09795779;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09795782;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2982618;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1244107;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2982618;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1244107;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1244107;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1244107;"
0.080,1062.473,146.003,184.000,31.638,-31.633,0.618,0.000,0.142,0.000,0.000,4,19.419,0.090,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02189606;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1845604;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02189605;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1845605;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02739727;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0273973;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2443582;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08169277;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2443582;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08169277;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08169273;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08169273;"
0.100,1061.847,146.024,184.000,31.595,-31.582,1.053,0.000,0.181,0.000,0.000,4,22.317,4.137,0.999,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004376143;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1257915;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004366867;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1258008;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04121405;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04122284;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05431449;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05431449;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1855987;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06419148;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1856042;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06418595;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06418595;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06418598;"
0.120,1061.221,146.052,184.000,31.590,-31.568,1.403,0.000,0.202,0.000,0.000,4,26.314,5.962,0.998,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0009001;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.07050735;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008953894;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.07051167;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.011011;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01101533;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05088514;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05088514;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1303548;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06069062;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1303561;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06068931;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06069058;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06069058;"
0.140,1060.594,146.091,184.000,31.551,-31.492,1.984,0.000,0.205,0.000,0.000,4,29.631,5.286,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001758859;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02650038;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001750095;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02650126;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002309352;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002987564;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08633454;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06002164;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08633504;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06002114;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06002161;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06002161;"
0.160,1059.966,146.140,184.000,31.534,-31.438,2.456,0.001,0.224,0.000,0.000,4,27.905,2.640,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=4.248752E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005316441;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=5.392614E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005305002;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001388133;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001399577;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05004799;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05004799;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06512083;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05985079;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06510977;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05986185;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0598563;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05986091;"
0.180,1059.338,146.195,184.000,31.541,-31.421,2.756,0.001,0.233,0.000,0.000,4,24.847,0.790,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00191834;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001059114;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001921123;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001056331;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001098573;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001101375;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06083917;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06169705;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06083917;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06169705;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06083918;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06098026;"
0.200,1058.710,146.255,184.000,31.547,-31.405,3.013,0.000,0.230,0.000,0.000,4,22.625,0.649,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.009106183;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003558943;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.009101396;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00356373;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004045844;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004193544;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06336764;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06891353;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06337317;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.068908;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06337318;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06337318;"
