time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.014,1064.208,145.989,178.725,39.626,-39.626,-0.069,0.000,0.000,0.000,0.000,4,7.803,1.754,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755566;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755566;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076935;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076935;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2357479;"
0.034,1063.417,145.989,178.725,39.628,-39.629,0.001,0.000,0.187,0.000,0.000,4,13.233,1.075,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09839253;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2808525;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09839252;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2808525;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09839255;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.101181;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3406752;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1582232;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3406752;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1582232;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1582232;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2347891;"
0.054,1062.631,145.999,178.725,39.532,-39.531,0.510,0.000,0.186,0.000,0.000,4,17.959,0.526,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03952469;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2133849;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03952467;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2133849;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09631982;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09631982;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2731834;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09932843;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2731834;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09932843;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1229868;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2308997;"
0.074,1061.850,146.021,178.725,39.433,-39.428,1.126,-0.003,0.234,0.000,0.000,4,23.068,4.210,0.999,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007922303;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1392398;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007908836;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1392533;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03884062;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03885415;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05783725;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1990437;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06771444;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1990547;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0677034;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06771019;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0989106;"
0.094,1061.070,146.057,178.725,39.354,-39.328,1.816,-0.004,0.284,0.000,0.000,4,29.929,8.128,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001608522;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.06468838;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001597894;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.06469902;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01069024;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0107044;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05158222;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.124497;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06140742;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1245057;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06139873;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06139937;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07699504;"
0.114,1060.289,146.114,178.725,39.233,-39.129,2.865,-0.001,0.323,0.000,0.000,4,32.867,6.328,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0003220405;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01292498;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0003189579;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01292804;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0009760261;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0009803176;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07275596;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06014953;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07276559;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06013989;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06014869;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06082356;"
0.134,1059.507,146.178,178.725,39.239,-39.108,3.199,0.001,0.384,0.000,0.000,4,26.074,1.264,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=7.427804E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002594347;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=7.317518E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002595484;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0006882846;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0010463;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05007866;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06240216;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05987787;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06240183;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05987815;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05987802;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06043836;"
0.154,1058.726,146.248,178.725,39.246,-39.092,3.488,0.002,0.381,0.000,0.000,4,24.230,0.930,0.996,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004962249;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0005217776;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004962405;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00052163;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001651019;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00176486;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05052203;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0603184;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06475104;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06031889;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06475054;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06031844;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06050983;"
0.174,1057.945,146.322,178.725,39.253,-39.077,3.735,0.003,0.377,0.000,0.000,4,22.152,0.758,0.996,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0147591;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005082022;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01476021;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005080909;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008439749;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008686797;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06489953;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07456233;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06490061;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07456123;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06490049;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06997275;"
0.194,1057.164,146.401,178.725,39.259,-39.065,3.936,0.004,0.373,0.000,0.000,4,19.888,0.606,0.996,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02877548;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01532884;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02877732;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01532698;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01550534;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0158479;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07513592;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08856618;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07512638;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08857572;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0751324;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07821316;"
