course,mode,vehicle,speed,line,direction,travel,air,minUp,recovered,awards,completed
Forest Loop,roam,moto,24,0,1,212.84,2.58,0.935,True,1,True
Forest Loop,roam,moto,24,-6,1,209.13,2.60,0.935,True,1,True
Forest Loop,roam,moto,24,6,1,221.43,2.50,0.935,True,1,True
Forest Loop,roam,moto,24,-11.675,1,209.37,2.68,0.933,True,1,True
Forest Loop,roam,moto,24,11.675,1,223.38,2.50,0.935,True,1,True
Forest Loop,roam,moto,32,0,1,219.62,3.10,0.935,True,1,True
Forest Loop,roam,moto,32,-6,1,212.15,3.18,0.935,True,1,True
Forest Loop,roam,moto,32,6,1,227.72,3.04,0.935,True,1,True
Forest Loop,roam,moto,32,-11.675,1,241.37,4.82,-0.001,True,0,True
Forest Loop,roam,moto,32,11.675,1,384.74,8.02,0.870,True,1,True
Forest Loop,roam,moto,40,0,1,223.19,3.22,0.934,True,1,True
Forest Loop,roam,moto,40,-6,1,222.88,3.22,0.934,True,1,True
Forest Loop,roam,moto,40,6,1,222.92,3.20,0.934,True,1,True
Forest Loop,roam,moto,40,-11.675,1,391.03,8.20,0.749,True,1,True
Forest Loop,roam,moto,40,11.675,1,223.49,3.22,0.934,True,1,True
Forest Loop,roam,atv,24,0,1,213.29,2.66,0.939,True,1,True
Forest Loop,roam,atv,24,-6,1,209.36,2.70,0.939,True,1,True
Forest Loop,roam,atv,24,6,1,221.25,2.52,0.942,True,1,True
Forest Loop,roam,atv,24,-11.275,1,209.30,2.80,0.939,True,1,True
Forest Loop,roam,atv,24,11.275,1,223.37,2.52,0.941,True,1,True
Forest Loop,roam,atv,32,0,1,220.49,3.18,0.939,True,1,True
Forest Loop,roam,atv,32,-6,1,212.07,3.24,0.940,True,1,True
Forest Loop,roam,atv,32,6,1,228.13,3.08,0.939,True,1,True
Forest Loop,roam,atv,32,-11.275,1,211.54,3.38,0.812,True,1,True
Forest Loop,roam,atv,32,11.275,1,229.89,3.06,0.939,True,1,True
Forest Loop,roam,atv,40,0,1,223.19,3.24,0.935,True,1,True
Forest Loop,roam,atv,40,-6,1,223.45,3.24,0.935,True,1,True
Forest Loop,roam,atv,40,6,1,223.59,3.24,0.935,True,1,True
Forest Loop,roam,atv,40,-11.275,1,442.85,9.78,0.154,True,0,True
Forest Loop,roam,atv,40,11.275,1,222.98,3.22,0.935,True,1,True
