time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.009,1064.209,146.139,178.925,39.626,-39.626,-0.069,0.000,0.000,0.000,0.000,4,7.803,0.957,1.000,""
0.029,1063.419,146.139,178.925,39.618,-39.620,0.012,0.000,0.187,0.000,0.000,4,13.800,0.134,1.000,""
0.049,1062.629,146.143,178.925,39.608,-39.611,0.201,0.000,0.191,0.000,0.000,4,19.230,0.405,1.000,""
0.069,1061.840,146.152,178.925,39.597,-39.598,0.484,0.000,0.196,0.000,0.000,4,23.922,0.733,1.000,""
0.089,1061.051,146.169,178.925,39.585,-39.579,0.841,0.000,0.201,0.000,0.000,4,27.623,0.910,0.999,""
0.109,1060.262,146.194,178.925,39.573,-39.555,1.249,0.000,0.207,0.000,0.000,4,30.228,0.980,0.999,""
0.129,1059.477,146.231,178.925,39.520,-39.477,1.857,0.000,0.213,0.000,0.000,4,31.740,0.978,0.999,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00597685;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005976843;"
0.149,1058.691,146.277,178.925,39.509,-39.442,2.304,0.000,0.240,0.000,0.000,4,32.149,1.947,0.998,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01206228;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01423839;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01206291;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001197863;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001198478;"
0.169,1057.905,146.332,178.925,39.496,-39.400,2.755,0.000,0.246,0.000,0.000,4,32.441,1.519,0.998,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0004490153;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0004497063;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003797412;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003798127;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005294859;"
0.189,1057.120,146.396,178.925,39.484,-39.357,3.186,0.000,0.252,0.000,0.000,4,31.418,1.168,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004752821;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01802102;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00475359;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01703453;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004753262;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005219489;"
0.209,1056.335,146.467,178.925,39.471,-39.313,3.577,0.000,0.258,0.000,0.000,4,29.456,0.884,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01455686;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01455766;"
0.229,1055.550,146.545,178.925,39.457,-39.272,3.916,0.000,0.265,0.000,0.000,4,26.871,0.658,0.997,""
0.249,1054.766,146.629,178.925,39.443,-39.234,4.196,0.000,0.271,0.000,0.000,4,23.926,0.479,0.997,""
0.269,1053.983,146.717,178.925,39.429,-39.201,4.415,0.000,0.278,0.000,0.000,4,20.835,0.341,0.997,""
0.289,1053.199,146.809,178.925,39.415,-39.172,4.572,0.000,0.285,0.000,0.000,4,17.763,0.234,0.997,""
0.309,1052.417,146.902,178.925,39.400,-39.149,4.672,0.000,0.293,0.000,0.000,4,14.839,0.154,0.997,""
0.329,1051.634,146.997,178.925,39.386,-39.131,4.717,0.000,0.300,0.000,0.000,4,12.149,0.095,0.997,""
0.349,1050.852,147.091,178.925,39.371,-39.116,4.715,0.000,0.307,0.000,0.000,4,9.758,0.052,0.997,""
0.369,1050.069,147.184,178.925,39.357,-39.106,4.672,0.000,0.314,0.000,0.000,4,7.705,0.021,0.997,""
0.389,1049.287,147.276,178.925,39.343,-39.099,4.595,0.000,0.321,0.000,0.000,4,6.005,0.001,0.997,""
0.409,1048.505,147.366,178.925,39.330,-39.094,4.491,0.000,0.328,0.000,0.000,4,4.657,0.013,0.997,""
0.429,1047.724,147.453,178.925,39.317,-39.092,4.367,0.000,0.335,0.000,0.000,4,3.649,0.021,0.997,""
0.449,1046.942,147.538,178.925,39.305,-39.091,4.230,0.000,0.341,0.000,0.000,4,2.959,0.025,0.997,""
0.469,1046.160,147.620,178.925,39.293,-39.091,4.085,0.000,0.347,0.000,0.000,4,2.560,0.027,0.997,""
0.489,1045.378,147.698,178.925,39.282,-39.092,3.937,0.000,0.353,0.000,0.000,4,2.416,0.026,0.997,""
0.509,1044.596,147.774,178.925,39.271,-39.093,3.791,0.000,0.359,0.000,0.000,4,2.494,0.025,0.997,""
0.529,1043.814,147.847,178.925,39.260,-39.093,3.650,0.000,0.365,0.000,0.000,4,2.754,0.023,0.997,""
0.549,1043.032,147.918,178.925,39.250,-39.094,3.517,0.000,0.370,0.000,0.000,4,3.161,0.020,0.997,""
0.569,1042.250,147.985,178.925,39.240,-39.094,3.394,0.000,0.375,0.000,0.000,4,3.681,0.017,0.997,""
0.589,1041.468,148.051,178.925,39.231,-39.093,3.284,0.000,0.380,0.000,0.000,4,4.282,0.015,0.997,""
0.609,1040.686,148.115,178.925,39.222,-39.092,3.186,0.000,0.385,0.000,0.000,4,4.934,0.013,0.997,""
0.629,1039.905,148.177,178.925,39.213,-39.090,3.103,0.000,0.389,0.000,0.000,4,5.612,0.011,0.997,""
0.649,1039.123,148.238,178.925,39.204,-39.087,3.033,0.000,0.394,0.000,0.000,4,6.293,0.009,0.997,""
0.669,1038.341,148.297,178.925,39.196,-39.083,2.976,0.000,0.398,0.000,0.000,4,6.960,0.007,0.997,""
0.689,1037.560,148.356,178.925,39.188,-39.079,2.932,0.000,0.402,0.000,0.000,4,7.595,0.006,0.997,""
0.709,1036.778,148.414,178.925,39.180,-39.073,2.899,0.000,0.406,0.000,0.000,4,8.188,0.004,0.997,""
0.729,1035.997,148.471,178.925,39.173,-39.068,2.878,0.000,0.410,0.000,0.000,4,8.730,0.003,0.997,""
0.749,1035.216,148.529,178.925,39.165,-39.061,2.866,0.000,0.414,0.000,0.000,4,9.213,0.003,0.997,""
0.769,1034.434,148.586,178.925,39.158,-39.054,2.863,0.000,0.417,0.000,0.000,4,9.634,0.002,0.997,""
0.789,1033.653,148.643,178.925,39.152,-39.047,2.867,0.000,0.421,0.000,0.000,4,9.994,0.001,0.997,""
0.809,1032.873,148.701,178.925,39.145,-39.040,2.877,0.000,0.424,0.000,0.000,4,10.290,0.001,0.997,""
0.829,1032.092,148.759,178.925,39.139,-39.032,2.891,0.000,0.428,0.000,0.000,4,10.526,0.001,0.997,""
0.849,1031.312,148.817,178.925,39.132,-39.025,2.909,0.000,0.431,0.000,0.000,4,10.705,0.001,0.997,""
0.869,1030.531,148.875,178.925,39.126,-39.017,2.930,0.000,0.434,0.000,0.000,4,10.832,0.000,0.997,""
0.889,1029.751,148.934,178.925,39.121,-39.010,2.952,0.000,0.437,0.000,0.000,4,10.911,0.000,0.997,""
0.909,1028.971,148.994,178.925,39.115,-39.002,2.975,0.000,0.440,0.000,0.000,4,10.948,0.000,0.997,""
0.929,1028.191,149.054,178.925,39.110,-38.995,2.998,0.000,0.442,0.000,0.000,4,10.948,0.000,0.997,""
0.949,1027.411,149.114,178.925,39.104,-38.988,3.020,0.000,0.445,0.000,0.000,4,10.919,0.000,0.997,""
0.969,1026.632,149.175,178.925,39.099,-38.981,3.041,0.000,0.448,0.000,0.000,4,10.865,0.000,0.997,""
0.989,1025.852,149.236,178.925,39.094,-38.974,3.061,0.000,0.450,0.000,0.000,4,10.792,0.000,0.997,""
1.009,1025.073,149.298,178.925,39.090,-38.968,3.079,0.000,0.453,0.000,0.000,4,10.704,0.000,0.997,""
1.029,1024.293,149.360,178.925,39.085,-38.962,3.095,0.000,0.455,0.000,0.000,4,10.605,0.000,0.997,""
1.049,1023.514,149.422,178.925,39.081,-38.957,3.109,0.000,0.457,0.000,0.000,4,10.501,0.000,0.997,""
1.069,1022.735,149.484,178.925,39.076,-38.952,3.121,0.000,0.460,0.000,0.000,4,10.394,0.000,0.997,""
1.089,1021.956,149.547,178.925,39.072,-38.947,3.131,0.000,0.462,0.000,0.000,4,10.289,0.000,0.997,""
1.109,1021.177,149.610,178.925,39.068,-38.942,3.139,0.000,0.464,0.000,0.000,4,10.188,0.000,0.997,""
