time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.020,825.634,153.184,190.000,31.699,31.699,-0.045,0.000,0.000,0.000,0.000,4,7.799,0.330,1.000,"Ground_Mountain_0_4:(-0.019, 1.000, 0.000) separation=0.2373652;Ground_Mountain_0_4:(-0.019, 1.000, 0.000) separation=0.2749842;Ground_Mountain_0_4:(-0.019, 1.000, 0.000) separation=0.2373652;Ground_Mountain_0_4:(-0.019, 1.000, 0.000) separation=0.2746437;Ground_Mountain_0_4:(-0.019, 1.000, 0.000) separation=0.2373652;Ground_Mountain_0_4:(-0.019, 1.000, 0.000) separation=0.2373652;"
0.040,826.268,153.183,190.000,31.709,31.709,-0.062,0.000,0.150,0.000,0.000,4,8.931,0.202,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2274309;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2617552;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2274309;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2617552;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2274308;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2287072;"
0.060,826.902,153.182,190.000,31.717,31.717,-0.059,0.000,0.146,0.000,0.000,4,9.943,0.099,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2174871;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2501793;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2174871;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2501793;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2174871;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2174871;"
0.080,827.536,153.181,190.000,31.725,31.725,-0.038,0.000,0.141,0.000,0.000,4,10.841,0.017,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2078889;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2384744;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2078889;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2384744;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2078889;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2078889;"
0.100,828.171,153.181,190.000,31.732,31.732,-0.002,0.000,0.138,0.000,0.000,4,11.604,0.046,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1988088;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2269726;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1988088;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2269726;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1988089;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1988089;"
0.120,828.805,153.182,190.000,31.738,31.738,0.047,0.000,0.134,0.000,0.000,4,12.217,0.093,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1905683;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2161218;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1905683;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2161218;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1905683;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1905683;"
0.140,829.440,153.184,190.000,31.743,31.743,0.104,0.000,0.131,0.000,0.000,4,12.677,0.127,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1832966;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2061866;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1832966;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.2061866;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1832965;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1832965;"
0.160,830.074,153.187,190.000,31.748,31.748,0.168,0.000,0.128,0.000,0.000,4,12.987,0.150,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1772037;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1974253;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1772037;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1974253;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1772037;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1772037;"
0.180,830.709,153.192,190.000,31.753,31.752,0.235,0.000,0.126,0.000,0.000,4,13.157,0.164,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1723212;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1899616;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1723212;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1899616;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1723212;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.176291;"
0.200,831.344,153.198,190.000,31.756,31.755,0.303,0.000,0.124,0.000,0.000,4,13.199,0.170,1.000,"Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1687195;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1839182;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1687195;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1839182;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1687195;Ground_Mountain_0_4:(-0.015, 1.000, 0.000) separation=0.1687195;"
