course,mode,vehicle,speed,line,direction,travel,air,minUp,recovered,awards,completed
Street Loop,roam,original,24,0,1,212.03,2.46,0.942,True,1,True
Street Loop,roam,original,24,-6,1,209.07,2.54,0.942,True,1,True
Street Loop,roam,original,24,6,1,220.76,2.42,0.942,True,1,True
Street Loop,roam,original,24,-11.075,1,209.40,2.56,0.942,True,1,True
Street Loop,roam,original,24,11.075,1,222.54,2.38,0.942,True,1,True
Street Loop,roam,original,32,0,1,218.48,3.00,0.945,True,1,True
Street Loop,roam,original,32,-6,1,211.98,3.16,0.945,True,1,True
Street Loop,roam,original,32,6,1,227.26,2.98,0.945,True,1,True
Street Loop,roam,original,32,-11.075,1,211.76,3.22,0.945,True,1,True
Street Loop,roam,original,32,11.075,1,228.92,2.94,0.945,True,1,True
Street Loop,roam,original,40,0,1,220.16,3.18,0.943,True,1,True
Street Loop,roam,original,40,-6,1,220.30,3.18,0.943,True,1,True
Street Loop,roam,original,40,6,1,218.91,3.14,0.940,True,1,True
Street Loop,roam,original,40,-11.075,1,219.24,3.18,0.943,True,1,True
Street Loop,roam,original,40,11.075,1,217.11,3.08,0.943,True,1,True
Street Loop,roam,tourer,24,0,1,211.56,2.42,0.942,True,1,True
Street Loop,roam,tourer,24,-6,1,209.06,2.50,0.942,True,1,True
Street Loop,roam,tourer,24,6,1,220.73,2.40,0.942,True,1,True
Street Loop,roam,tourer,24,-11,1,209.43,2.54,0.942,True,1,True
Street Loop,roam,tourer,24,11,1,222.05,2.34,0.942,True,1,True
Street Loop,roam,tourer,32,0,1,217.33,2.98,0.943,True,1,True
Street Loop,roam,tourer,32,-6,1,211.53,3.08,0.943,True,1,True
Street Loop,roam,tourer,32,6,1,226.95,2.96,0.943,True,1,True
Street Loop,roam,tourer,32,-11,1,211.22,3.16,0.943,True,1,True
Street Loop,roam,tourer,32,11,1,228.15,2.90,0.943,True,1,True
Street Loop,roam,tourer,40,0,1,219.62,3.16,0.940,True,1,True
Street Loop,roam,tourer,40,-6,1,219.78,3.16,0.940,True,1,True
Street Loop,roam,tourer,40,6,1,217.29,3.08,0.940,True,1,True
Street Loop,roam,tourer,40,-11,1,219.62,3.16,0.940,True,1,True
Street Loop,roam,tourer,40,11,1,230.10,3.40,0.937,True,1,True
Street Loop,roam,moto,24,0,1,212.84,2.58,0.935,True,1,True
Street Loop,roam,moto,24,-6,1,209.13,2.60,0.935,True,1,True
Street Loop,roam,moto,24,6,1,221.43,2.50,0.935,True,1,True
Street Loop,roam,moto,24,-11.675,1,209.42,2.66,0.933,True,1,True
Street Loop,roam,moto,24,11.675,1,223.11,2.46,0.937,True,1,True
Street Loop,roam,moto,32,0,1,219.61,3.10,0.935,True,1,True
Street Loop,roam,moto,32,-6,1,212.16,3.18,0.935,True,1,True
Street Loop,roam,moto,32,6,1,227.72,3.04,0.935,True,1,True
Street Loop,roam,moto,32,-11.675,1,361.78,10.34,-0.008,True,0,True
Street Loop,roam,moto,32,11.675,1,382.19,8.02,0.935,True,1,True
Street Loop,roam,moto,40,0,1,223.19,3.22,0.934,True,1,True
Street Loop,roam,moto,40,-6,1,222.89,3.22,0.934,True,1,True
Street Loop,roam,moto,40,6,1,222.92,3.20,0.934,True,1,True
Street Loop,roam,moto,40,-11.675,1,699.00,8.02,0.933,True,1,True
Street Loop,roam,moto,40,11.675,1,223.49,3.22,0.934,True,1,True
Street Loop,roam,atv,24,0,1,213.51,2.66,0.942,True,1,True
Street Loop,roam,atv,24,-6,1,209.36,2.70,0.939,True,1,True
Street Loop,roam,atv,24,6,1,221.25,2.52,0.942,True,1,True
Street Loop,roam,atv,24,-11.275,1,209.30,2.80,0.939,True,1,True
Street Loop,roam,atv,24,11.275,1,223.37,2.52,0.941,True,1,True
Street Loop,roam,atv,32,0,1,220.50,3.18,0.939,True,1,True
Street Loop,roam,atv,32,-6,1,212.63,3.26,0.940,True,1,True
Street Loop,roam,atv,32,6,1,228.14,3.08,0.939,True,1,True
Street Loop,roam,atv,32,-11.275,1,211.51,3.38,0.808,True,1,True
Street Loop,roam,atv,32,11.275,1,229.90,3.06,0.939,True,1,True
Street Loop,roam,atv,40,0,1,223.19,3.24,0.935,True,1,True
Street Loop,roam,atv,40,-6,1,223.46,3.24,0.935,True,1,True
Street Loop,roam,atv,40,6,1,223.59,3.24,0.935,True,1,True
Street Loop,roam,atv,40,-11.275,1,222.57,3.24,0.935,True,0,True
Street Loop,roam,atv,40,11.275,1,222.98,3.22,0.935,True,1,True
