time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.006,1064.368,146.139,190.000,31.700,-31.701,-0.063,0.000,0.000,0.000,0.000,4,7.803,1.754,1.000,""
0.026,1063.737,146.139,190.000,31.700,-31.703,0.003,0.000,0.150,0.000,0.000,4,13.054,0.297,1.000,""
0.046,1063.106,146.142,190.000,31.697,-31.701,0.165,0.000,0.150,0.000,0.000,4,17.823,0.507,1.000,""
0.066,1062.475,146.150,190.000,31.693,-31.695,0.406,0.000,0.151,0.000,0.000,4,21.826,0.904,1.000,""
0.086,1061.844,146.164,190.000,31.687,-31.683,0.707,0.000,0.154,0.000,0.000,4,24.836,1.057,0.999,""
0.106,1061.214,146.187,190.000,31.655,-31.636,1.155,0.000,0.156,0.000,0.000,4,26.803,1.068,0.999,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007314878;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007314865;"
0.126,1060.585,146.218,190.000,31.641,-31.605,1.545,0.000,0.172,0.000,0.000,4,27.427,1.701,0.998,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01768792;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003060102;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003061831;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001468675;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001466967;"
0.146,1059.956,146.256,190.000,31.637,-31.580,1.902,0.000,0.179,0.000,0.000,4,27.648,1.530,0.998,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01642671;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01642507;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005570203;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003598243;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0003001224;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0002983883;"
0.166,1059.326,146.301,190.000,31.632,-31.553,2.247,0.000,0.182,0.000,0.000,4,27.114,1.110,0.998,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01494333;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01641527;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.006843179;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.006843865;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001339419;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001338654;"
0.186,1058.697,146.352,190.000,31.627,-31.525,2.567,0.000,0.184,0.000,0.000,4,25.813,0.810,0.998,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01820061;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0182007;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01213315;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01102987;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005722035;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005722022;"
0.206,1058.068,146.409,190.000,31.622,-31.498,2.850,0.000,0.186,0.000,0.000,4,24.014,0.595,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01965639;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01965705;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01424575;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01507884;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0139306;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01393118;"
0.226,1057.439,146.471,190.000,31.617,-31.474,3.092,0.000,0.189,0.000,0.000,4,21.922,0.439,0.997,""
0.246,1056.810,146.536,190.000,31.611,-31.453,3.289,0.000,0.192,0.000,0.000,4,19.695,0.325,0.997,""
0.266,1056.182,146.605,190.000,31.605,-31.434,3.441,0.000,0.194,0.000,0.000,4,17.454,0.243,0.997,""
