time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.020,1064.367,145.989,201.675,31.701,-31.701,-0.063,0.000,0.000,0.000,0.000,4,7.803,1.515,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08971061;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2691262;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2691262;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08971062;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09814316;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1003168;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3289449;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3289449;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.159488;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1605086;"
0.040,1063.736,145.993,201.675,31.695,-31.695,0.223,0.000,0.150,0.000,0.000,4,12.198,0.873,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04012935;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2150369;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2150369;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04012936;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0976513;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09976992;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2748579;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09995283;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2748579;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09995288;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1589961;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1599628;"
0.060,1063.112,146.008,201.675,31.597,-31.593,0.741,0.001,0.153,0.000,0.000,4,16.114,2.531,0.999,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008138239;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1547253;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1548237;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008039825;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03212345;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03385265;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2146315;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0678509;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2145325;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06794988;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0678584;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07107913;"
0.080,1062.487,146.029,201.675,31.572,-31.571,1.062,0.001,0.202,0.000,0.000,4,20.894,7.092,0.998,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001900345;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08959322;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08983824;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001655324;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001657635;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002707988;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1496122;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06143626;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.149371;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06167752;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06268016;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06282726;"
0.100,1061.862,146.066,201.675,31.480,-31.431,1.852,0.000,0.214,0.000,0.000,4,26.483,7.158,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0004610987;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0325742;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03268161;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0003536679;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.006613821;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.009422779;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09248912;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0601668;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09238005;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06027589;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06762516;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06970084;"
0.120,1061.235,146.113,201.675,31.447,-31.357,2.377,0.000,0.260,0.000,0.000,4,23.852,3.384,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001179468;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.006487474;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.006527245;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=7.817574E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008203685;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008977652;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06630686;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05986769;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06626733;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05990725;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06291571;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06355304;"
0.140,1060.609,146.165,201.675,31.467,-31.361,2.590,-0.001,0.276,0.000,0.000,4,20.365,0.677,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=7.717463E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001336544;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001302958;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001107513;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0005767047;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0005954504;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06113064;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05992842;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06116044;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05989864;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05990237;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06024092;"
0.160,1059.982,146.220,201.675,31.486,-31.364,2.775,-0.001,0.266,0.000,0.000,4,19.012,0.556,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003671528;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0009918541;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0009088814;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003754499;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00177279;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00185582;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06070229;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06355856;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06078648;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06347436;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06128696;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06174183;"
0.180,1059.354,146.279,201.675,31.502,-31.367,2.931,-0.001,0.257,0.000,0.000,4,17.526,0.448,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01043909;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004809034;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004683644;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01056452;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004872157;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004997671;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06446949;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07036087;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06459337;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07023699;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06464627;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06566674;"
0.200,1058.727,146.340,201.675,31.517,-31.371,3.056,-0.001,0.249,0.000,0.000,4,15.983,0.354,0.996,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01992356;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01217658;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01201519;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02008494;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0120571;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01358587;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07182065;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0798845;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07197922;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07972595;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07192814;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07209688;"
