time,name,streetDistance,routeIsStreet,recoveries,x,y,z
3.01,Traffic 1,2.662,True,0,533.60,58.38,-182.65
3.01,Traffic 2,2.679,True,0,-1.11,34.60,-497.87
3.01,Traffic 3,2.680,True,0,-624.53,8.68,-47.06
3.01,Traffic 4,2.150,True,0,-20.41,8.52,530.88
4.66,Traffic 1,2.656,True,0,539.66,49.67,-197.93
4.66,Traffic 2,2.737,True,0,-1.17,32.94,-480.91
4.66,Traffic 3,3.150,True,0,-624.33,8.75,-30.49
4.66,Traffic 4,2.138,True,0,-37.38,8.53,530.91
5.86,Traffic 1,2.632,True,0,545.31,41.57,-213.67
5.86,Traffic 2,2.690,True,0,-1.21,31.69,-461.93
5.86,Traffic 3,3.344,True,0,-624.48,8.82,-10.94
5.86,Traffic 4,2.143,True,0,-65.30,8.58,531.08
7.48,Traffic 1,2.617,True,0,552.11,33.81,-236.57
7.48,Traffic 2,2.567,True,0,0.11,32.41,-439.00
7.48,Traffic 3,3.261,True,0,-625.05,8.93,15.56
7.48,Traffic 4,2.163,True,0,-111.36,8.76,531.16
9.48,Traffic 1,2.547,True,0,557.94,29.24,-266.25
9.48,Traffic 2,2.682,True,0,2.86,36.80,-408.12
9.48,Traffic 3,3.265,True,0,-625.65,9.07,48.23
9.48,Traffic 4,2.145,True,0,-168.64,9.16,531.19
11.48,Traffic 1,2.460,True,0,557.60,26.72,-297.05
11.48,Traffic 2,2.616,True,0,7.39,40.59,-377.20
11.48,Traffic 3,3.140,True,0,-626.38,9.21,80.90
11.48,Traffic 4,2.143,True,0,-225.92,9.52,531.53
13.48,Traffic 1,2.538,True,0,550.81,25.34,-327.20
13.48,Traffic 2,2.632,True,0,15.04,39.15,-346.33
13.48,Traffic 3,2.619,True,0,-627.50,9.34,113.57
13.48,Traffic 4,2.137,True,0,-283.22,9.65,532.41
15.48,Traffic 1,2.735,True,0,543.76,25.47,-357.36
15.48,Traffic 2,2.574,True,0,25.89,35.81,-316.62
15.48,Traffic 3,2.685,True,0,-627.97,9.46,146.25
15.48,Traffic 4,2.138,True,0,-340.54,9.44,534.10
17.48,Traffic 1,2.807,True,0,540.79,27.70,-387.88
17.48,Traffic 2,2.231,True,0,45.14,39.86,-293.01
17.48,Traffic 3,2.677,True,0,-628.45,9.57,178.80
17.48,Traffic 4,2.147,True,0,-397.65,9.08,536.21
19.40,Traffic 1,2.692,True,0,539.69,31.26,-417.24
