time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.366,5.983,268.881,58.862,289.851,4,,501.077,63.740,0.000,-0.335
0.769,12.276,265.300,58.411,291.395,4,,504.906,60.068,0.000,-0.147
1.451,20.829,254.112,57.168,293.330,4,,516.018,48.812,0.000,-0.013
2.112,27.582,238.136,55.385,294.565,4,,531.913,32.821,0.000,-0.013
2.564,31.336,225.209,53.958,295.156,4,,544.924,19.903,0.000,-0.023
3.054,31.764,209.440,52.001,295.015,4,,560.809,4.151,0.000,-0.025
3.454,23.540,198.589,51.324,294.353,0,,571.678,1.371,0.514,-0.053
3.938,24.107,187.577,49.839,293.003,4,,582.856,1.076,0.000,-0.134
4.430,27.544,175.536,48.900,287.950,4,,595.611,1.354,0.000,-0.097
4.889,29.814,165.393,48.291,279.886,4,,607.295,1.696,0.000,-0.054
5.327,31.733,156.236,48.184,269.720,4,,618.874,1.269,0.000,-0.028
8.926,-1.231,144.800,46.945,252.312,4,Echo Cave,635.466,0.347,0.000,0.043
9.503,8.636,143.444,46.796,250.292,4,Echo Cave,637.471,0.406,0.000,0.022
9.951,14.983,140.265,46.453,245.777,4,Echo Cave,642.072,0.371,0.000,-0.002
10.522,21.539,134.306,45.799,237.344,4,Echo Cave,650.761,0.133,0.000,-0.012
11.139,27.538,125.819,44.813,224.609,4,Echo Cave,662.161,0.105,0.000,-0.011
11.694,31.577,117.046,43.716,210.410,4,Echo Cave,685.205,0.149,0.000,-0.008
12.166,31.839,109.689,42.776,197.798,4,Echo Cave,699.478,0.118,0.000,-0.008
12.682,31.732,101.708,41.720,183.331,4,Echo Cave,715.863,0.063,0.000,-0.016
13.212,31.925,94.064,40.649,167.965,4,Echo Cave,732.214,0.060,0.000,-0.021
13.613,31.700,89.022,39.833,156.302,4,Echo Cave,743.756,0.230,0.000,-0.013
14.037,31.856,84.180,38.987,143.872,4,Echo Cave,755.876,0.343,0.000,0.001
14.456,31.928,79.437,38.159,131.391,4,Echo Cave,768.468,0.258,0.000,0.013
14.856,31.696,74.672,37.394,119.609,4,Echo Cave,781.444,0.058,0.000,0.018
15.256,31.788,69.472,36.649,108.012,4,Echo Cave,794.922,0.124,0.000,0.017
15.656,31.848,63.806,35.919,96.630,4,Echo Cave,809.711,0.217,0.000,0.015
16.056,31.890,57.725,35.204,85.460,4,Echo Cave,825.719,0.221,0.000,0.011
16.456,31.920,51.323,34.486,74.469,4,Echo Cave,843.536,0.210,0.000,0.007
16.862,31.940,44.706,33.771,63.603,4,Echo Cave,864.703,0.164,0.000,0.004
17.264,31.731,37.978,33.056,52.823,4,Echo Cave,903.544,0.104,0.000,0.002
18.104,31.891,23.689,31.561,30.264,4,Echo Cave,1007.149,0.023,0.000,0.000
18.504,31.920,16.862,30.854,19.530,4,Echo Cave,1034.893,0.010,0.000,0.000
18.904,28.659,10.241,30.171,9.113,4,Echo Cave,1061.195,0.005,0.719,-0.001
19.308,18.168,4.986,29.726,0.829,4,Echo Cave,1126.808,0.003,1.000,-0.001
19.708,19.614,1.203,29.933,-5.154,4,Echo Cave,1140.521,0.002,0.000,-0.001
20.111,23.453,-3.402,30.560,-12.462,4,Echo Cave,1154.804,0.000,0.000,-0.002
20.542,24.848,-8.934,31.495,-21.199,0,Echo Cave,1168.260,0.057,0.000,0.005
20.942,24.851,-14.232,30.902,-29.598,0,Echo Cave,1177.364,0.136,0.000,-0.022
21.342,25.159,-19.478,28.751,-37.903,0,Echo Cave,1183.289,0.277,0.000,-0.041
21.803,24.986,-25.455,24.370,-47.347,0,Echo Cave,1187.251,0.537,0.000,-0.058
22.203,22.883,-30.524,23.318,-54.949,4,Echo Cave,1189.218,1.066,0.000,-0.059
22.629,26.594,-35.994,23.877,-64.403,4,Echo Cave,1192.243,1.168,0.000,-0.026
23.033,29.575,-40.862,24.334,-74.565,4,Echo Cave,1195.649,0.693,0.000,-0.025
23.443,28.530,-45.456,24.474,-85.695,4,Echo Cave,1200.520,0.163,0.552,-0.057
23.847,22.651,-48.483,24.119,-95.895,4,Echo Cave,1204.278,0.208,0.302,-0.108
24.247,18.624,-49.306,23.901,-103.833,4,Echo Cave,1208.150,0.489,0.000,-0.170
24.647,18.437,-48.053,23.984,-111.177,4,Echo Cave,1212.918,0.451,0.000,-0.220
25.047,20.435,-44.146,24.431,-117.884,4,Echo Cave,1219.409,0.678,0.246,-0.140
25.447,19.405,-38.264,25.330,-123.185,2,Echo Cave,1226.840,2.300,0.722,-0.094
25.847,16.230,-32.821,25.599,-126.635,4,Echo Cave,1233.026,2.463,0.000,-0.144
26.249,14.611,-27.285,25.962,-128.818,4,Echo Cave,1238.888,0.067,0.000,-0.128
26.745,19.623,-19.122,26.461,-130.008,4,,1247.043,0.693,0.000,0.032
27.145,23.376,-10.492,27.043,-130.315,4,,1255.540,5.512,0.000,0.040
27.545,26.662,-0.509,27.695,-131.303,4,,1265.558,15.490,0.000,0.019
27.945,29.561,10.620,28.449,-133.019,4,,1276.853,26.750,0.000,0.001
28.345,31.533,22.735,29.285,-135.092,4,,1289.175,39.040,0.000,-0.005
28.746,31.758,35.215,30.161,-137.142,4,,1301.851,51.687,0.000,-0.003
