course,mode,vehicle,speed,line,direction,travel,air,minUp,recovered,awards,completed
Street Loop,race,original,24,0,1,209.16,2.42,0.942,True,1,True
Street Loop,race,original,24,-6,1,209.10,2.52,0.942,True,1,True
Street Loop,race,original,24,6,1,219.13,2.46,0.942,True,1,True
Street Loop,race,original,24,-11.075,1,209.08,2.56,0.942,True,1,True
Street Loop,race,original,24,11.075,1,220.61,2.42,0.942,True,1,True
Street Loop,race,original,32,0,1,215.41,3.02,0.945,True,1,True
Street Loop,race,original,32,-6,1,212.15,3.18,0.945,True,1,True
Street Loop,race,original,32,6,1,225.02,3.00,0.945,True,1,True
Street Loop,race,original,32,-11.075,1,212.38,3.02,0.945,True,1,True
Street Loop,race,original,32,11.075,1,226.21,2.96,0.945,True,1,True
Street Loop,race,original,40,0,1,223.33,3.26,0.943,True,0,True
Street Loop,race,original,40,-6,1,223.31,3.26,0.943,True,0,True
Street Loop,race,original,40,6,1,223.71,3.26,0.942,True,1,True
Street Loop,race,original,40,-11.075,1,222.37,3.26,0.943,True,0,True
Street Loop,race,original,40,11.075,1,223.55,3.26,0.943,True,0,True
Street Loop,race,tourer,24,0,1,209.20,2.38,0.942,True,1,True
Street Loop,race,tourer,24,-6,1,209.10,2.48,0.942,True,1,True
Street Loop,race,tourer,24,6,1,218.64,2.42,0.942,True,1,True
Street Loop,race,tourer,24,-11,1,209.08,2.54,0.942,True,1,True
Street Loop,race,tourer,24,11,1,220.09,2.38,0.942,True,1,True
Street Loop,race,tourer,32,0,1,213.56,2.98,0.943,True,1,True
Street Loop,race,tourer,32,-6,1,211.70,3.12,0.943,True,1,True
Street Loop,race,tourer,32,6,1,224.58,2.98,0.943,True,1,True
Street Loop,race,tourer,32,-11,1,211.54,3.06,0.943,True,1,True
Street Loop,race,tourer,32,11,1,225.66,2.92,0.943,True,1,True
Street Loop,race,tourer,40,0,1,222.28,3.24,0.940,True,1,True
Street Loop,race,tourer,40,-6,1,222.29,3.24,0.940,True,1,True
Street Loop,race,tourer,40,6,1,221.36,3.22,0.940,True,1,True
Street Loop,race,tourer,40,-11,1,221.58,3.24,0.940,True,1,True
Street Loop,race,tourer,40,11,1,221.29,3.22,0.940,True,1,True
Street Loop,race,moto,24,0,1,209.66,2.54,0.938,True,1,True
Street Loop,race,moto,24,-6,1,209.11,2.60,0.939,True,1,True
Street Loop,race,moto,24,6,1,219.65,2.52,0.938,True,1,True
Street Loop,race,moto,24,-11.675,1,209.36,2.62,0.939,True,1,True
Street Loop,race,moto,24,11.675,1,221.25,2.52,0.939,True,1,True
Street Loop,race,moto,32,0,1,216.05,3.10,0.935,True,1,True
