time,x,y,z,speed,wheels,up,target,groundGap,throttle,brake,steer
0.020,522.570,82.401,-129.832,0.270,3,1.000,1,0.680,1.000,0.000,0.000
0.040,522.561,82.401,-129.838,0.538,3,1.000,1,0.681,1.000,0.000,0.000
0.060,522.548,82.402,-129.846,0.805,3,1.000,1,0.682,1.000,0.000,-0.001
0.080,522.529,82.402,-129.857,1.069,3,1.000,1,0.683,1.000,0.000,-0.001
0.100,522.506,82.402,-129.870,1.333,3,1.000,1,0.683,1.000,0.000,-0.002
0.120,522.478,82.401,-129.885,1.594,3,0.999,1,0.684,1.000,0.000,-0.003
0.140,522.445,82.401,-129.902,1.854,3,0.999,1,0.685,1.000,0.000,-0.003
0.160,522.407,82.400,-129.922,2.113,3,0.998,1,0.685,1.000,0.000,-0.004
0.180,522.364,82.399,-129.943,2.370,3,0.998,1,0.685,1.000,0.000,-0.005
0.200,522.317,82.397,-129.967,2.626,3,0.997,1,0.685,1.000,0.000,-0.005
0.220,522.264,82.395,-129.992,2.881,3,0.997,1,0.685,1.000,0.000,-0.006
0.240,522.207,82.392,-130.019,3.135,3,0.996,1,0.684,1.000,0.000,-0.006
0.260,522.145,82.390,-130.049,3.388,3,0.995,1,0.683,1.000,0.000,-0.007
0.280,522.079,82.387,-130.080,3.639,3,0.995,1,0.682,1.000,0.000,-0.007
0.300,522.008,82.383,-130.113,3.890,3,0.994,1,0.705,1.000,0.000,-0.007
0.320,521.932,82.380,-130.148,4.139,3,0.993,1,0.704,1.000,0.000,-0.007
0.340,521.852,82.376,-130.185,4.387,3,0.993,1,0.701,1.000,0.000,-0.007
0.360,521.767,82.373,-130.223,4.634,4,0.992,1,0.698,1.000,0.000,-0.007
0.380,521.678,82.370,-130.264,4.880,4,0.992,1,0.695,1.000,0.000,-0.006
0.400,521.585,82.368,-130.306,5.124,4,0.991,1,0.692,1.000,0.000,-0.006
0.420,521.487,82.365,-130.350,5.368,4,0.991,1,0.690,1.000,0.000,-0.006
0.440,521.385,82.363,-130.396,5.609,4,0.990,1,0.688,1.000,0.000,-0.005
0.460,521.278,82.361,-130.444,5.843,4,0.990,1,0.686,0.974,0.000,-0.004
0.480,521.168,82.360,-130.493,6.036,4,0.989,1,0.683,0.810,0.000,-0.004
0.500,521.055,82.358,-130.544,6.197,4,0.989,1,0.682,0.674,0.000,-0.003
0.520,520.939,82.356,-130.595,6.329,4,0.989,1,0.680,0.562,0.000,-0.002
0.540,520.822,82.355,-130.647,6.439,4,0.989,1,0.678,0.469,0.000,-0.001
0.560,520.703,82.353,-130.701,6.531,4,0.988,1,0.676,0.392,0.000,0.000
0.580,520.583,82.352,-130.755,6.607,4,0.988,1,0.674,0.328,0.000,0.001
0.600,520.462,82.350,-130.810,6.670,4,0.987,1,0.672,0.275,0.000,0.002
0.620,520.340,82.348,-130.866,6.722,4,0.986,1,0.670,0.231,0.000,0.003
0.640,520.217,82.346,-130.923,6.766,4,0.985,1,0.668,0.194,0.000,0.004
0.660,520.094,82.344,-130.981,6.802,4,0.983,1,0.665,0.164,0.000,0.005
0.680,519.971,82.342,-131.039,6.832,4,0.982,1,0.664,0.139,0.000,0.005
0.700,519.847,82.340,-131.098,6.857,4,0.980,1,0.664,0.118,0.000,0.006
0.720,519.723,82.338,-131.156,6.878,4,0.978,2,0.665,0.100,0.000,0.007
0.740,519.598,82.337,-131.215,6.894,4,0.976,2,0.665,0.086,0.000,0.007
0.760,519.473,82.335,-131.275,6.908,4,0.974,2,0.666,0.074,0.000,0.008
0.780,519.348,82.334,-131.334,6.920,4,0.973,2,0.667,0.064,0.000,0.009
0.800,519.223,82.333,-131.393,6.930,4,0.971,2,0.667,0.056,0.000,0.010
0.820,519.099,82.332,-131.452,6.875,4,0.970,2,0.667,0.049,0.000,0.011
0.840,518.974,82.331,-131.511,6.892,4,0.968,3,0.667,0.087,0.000,0.016
0.860,518.849,82.331,-131.571,6.906,4,0.967,3,0.667,0.076,0.000,0.018
0.880,518.724,82.330,-131.630,6.918,4,0.966,3,0.668,0.066,0.000,0.019
0.900,518.598,82.330,-131.689,6.928,4,0.965,3,0.668,0.058,0.000,0.021
0.920,518.472,82.330,-131.748,6.936,4,0.965,3,0.668,0.051,0.000,0.022
0.940,518.348,82.329,-131.807,6.880,4,0.964,3,0.669,0.045,0.000,0.024
0.960,518.223,82.329,-131.865,6.896,4,0.964,3,0.669,0.084,0.000,0.026
0.980,518.097,82.329,-131.924,6.909,4,0.963,3,0.669,0.073,0.000,0.028
1.000,517.972,82.328,-131.983,6.921,4,0.963,4,0.670,0.063,0.000,0.032
1.020,517.846,82.328,-132.041,6.930,4,0.963,4,0.671,0.056,0.000,0.034
1.040,517.721,82.328,-132.099,6.875,4,0.963,4,0.672,0.049,0.000,0.036
1.060,517.596,82.327,-132.157,6.892,4,0.963,4,0.673,0.087,0.000,0.038
1.080,517.471,82.326,-132.216,6.906,4,0.963,4,0.674,0.076,0.000,0.040
1.100,517.345,82.326,-132.274,6.917,4,0.963,4,0.675,0.066,0.000,0.042
1.120,517.220,82.329,-132.330,6.924,4,0.964,4,0.680,0.058,0.000,0.044
1.140,517.095,82.330,-132.387,6.930,4,0.965,4,0.682,0.053,0.000,0.045
1.160,516.971,82.332,-132.443,6.871,4,0.966,4,0.685,0.049,0.000,0.047
1.180,516.846,82.334,-132.499,6.883,4,0.967,5,0.689,0.090,0.000,0.040
1.200,516.722,82.339,-132.553,6.892,4,0.969,5,0.694,0.082,0.000,0.042
1.220,516.596,82.342,-132.609,6.897,4,0.970,5,0.698,0.076,0.000,0.041
1.240,516.471,82.344,-132.666,6.907,4,0.971,5,0.701,0.072,0.000,0.043
1.260,516.346,82.348,-132.722,6.914,4,0.972,5,0.705,0.065,0.000,0.045
1.280,516.221,82.354,-132.779,6.920,4,0.973,5,0.710,0.060,0.000,0.048
1.300,516.096,82.360,-132.835,6.925,4,0.974,5,0.716,0.056,0.000,0.050
1.320,515.971,82.367,-132.891,6.927,4,0.975,5,0.723,0.053,0.000,0.053
1.340,515.846,82.375,-132.947,6.929,4,0.976,5,0.732,0.051,0.000,0.056
1.360,515.722,82.383,-133.003,6.867,4,0.977,5,0.741,0.050,0.000,0.059
1.380,515.597,82.392,-133.058,6.877,4,0.978,6,0.751,0.093,0.000,0.038
1.400,515.472,82.400,-133.114,6.884,4,0.978,6,0.760,0.086,0.000,0.040
1.420,515.347,82.408,-133.170,6.890,4,0.979,6,0.769,0.081,0.000,0.041
1.440,515.222,82.416,-133.225,6.895,4,0.980,6,0.618,0.077,0.000,0.043
1.460,515.096,82.424,-133.280,6.898,4,0.980,6,0.624,0.074,0.000,0.045
1.480,514.970,82.431,-133.335,6.900,4,0.981,6,0.630,0.072,0.000,0.047
1.500,514.844,82.438,-133.390,6.901,4,0.981,6,0.636,0.070,0.000,0.049
1.520,514.718,82.445,-133.445,6.902,4,0.982,6,0.641,0.069,0.000,0.051
1.540,514.592,82.451,-133.500,6.903,4,0.982,6,0.646,0.068,0.000,0.053
1.560,514.465,82.456,-133.554,6.903,4,0.982,6,0.648,0.068,0.000,0.055
1.580,514.339,82.461,-133.609,6.903,4,0.983,6,0.648,0.068,0.000,0.057
1.600,514.212,82.465,-133.663,6.902,3,0.983,7,0.648,0.068,0.000,0.021
1.620,514.085,82.469,-133.716,6.902,2,0.983,7,0.647,0.068,0.000,0.022
1.640,513.958,82.472,-133.770,6.901,2,0.983,7,0.645,0.069,0.000,0.023
1.660,513.829,82.477,-133.823,6.901,3,0.985,7,0.645,0.069,0.000,0.024
1.680,513.700,82.484,-133.875,6.902,4,0.986,7,0.648,0.069,0.000,0.026
1.700,513.570,82.492,-133.928,6.903,4,0.988,7,0.651,0.069,0.000,0.028
1.720,513.440,82.501,-133.980,6.904,4,0.989,7,0.655,0.068,0.000,0.031
1.740,513.311,82.510,-134.031,6.906,4,0.990,7,0.659,0.067,0.000,0.034
1.760,513.181,82.519,-134.083,6.909,4,0.992,7,0.663,0.066,0.000,0.037
1.780,513.051,82.528,-134.134,6.912,4,0.993,7,0.667,0.064,0.000,0.040
1.800,512.922,82.536,-134.185,6.915,4,0.994,7,0.670,0.062,0.000,0.043
1.820,512.792,82.544,-134.235,6.919,4,0.995,7,0.673,0.059,0.000,0.046
1.840,512.663,82.551,-134.286,6.922,4,0.995,8,0.676,0.057,0.000,0.001
1.860,512.533,82.558,-134.336,6.926,4,0.996,8,0.677,0.054,0.000,0.002
1.880,512.404,82.563,-134.387,6.929,4,0.997,8,0.679,0.052,0.000,0.003
1.900,512.275,82.568,-134.436,6.870,4,0.997,8,0.680,0.050,0.000,0.005
1.920,512.147,82.572,-134.486,6.883,4,0.997,8,0.681,0.091,0.000,0.006
1.940,512.018,82.576,-134.536,6.894,4,0.998,8,0.681,0.082,0.000,0.007
1.960,511.889,82.579,-134.585,6.904,4,0.998,8,0.680,0.074,0.000,0.009
1.980,511.759,82.581,-134.635,6.912,4,0.998,8,0.679,0.067,0.000,0.010
2.000,511.630,82.582,-134.685,6.919,4,0.998,8,0.677,0.062,0.000,0.011
2.020,511.500,82.584,-134.734,6.925,4,0.998,8,0.675,0.057,0.000,0.012
2.040,511.370,82.585,-134.784,6.930,4,0.998,8,0.672,0.052,0.000,0.013
2.060,511.242,82.585,-134.833,6.872,4,0.998,8,0.670,0.049,0.000,0.014
2.080,511.113,82.586,-134.882,6.886,4,0.999,9,0.668,0.089,0.000,-0.037
2.100,510.983,82.586,-134.931,6.898,4,0.999,9,0.668,0.079,0.000,-0.037
2.120,510.854,82.586,-134.980,6.909,4,0.999,9,0.667,0.071,0.000,-0.037
2.140,510.724,82.585,-135.029,6.918,4,0.999,9,0.666,0.064,0.000,-0.037
2.160,510.594,82.585,-135.078,6.925,4,0.999,9,0.665,0.058,0.000,-0.037
2.180,510.464,82.585,-135.127,6.932,4,0.999,9,0.664,0.052,0.000,-0.036
2.200,510.335,82.584,-135.176,6.875,4,0.999,9,0.663,0.048,0.000,-0.036
2.220,510.205,82.583,-135.224,6.890,4,0.999,9,0.662,0.087,0.000,-0.035
2.240,510.076,82.583,-135.273,6.903,4,0.999,9,0.660,0.077,0.000,-0.035
2.260,509.946,82.582,-135.322,6.914,4,0.999,9,0.659,0.068,0.000,-0.034
2.280,509.816,82.581,-135.371,6.924,4,0.999,9,0.658,0.060,0.000,-0.034
2.300,509.686,82.581,-135.421,6.932,4,0.999,9,0.660,0.054,0.000,-0.033
2.320,509.557,82.581,-135.470,6.876,4,0.999,10,0.663,0.048,0.000,-0.051
2.340,509.427,82.580,-135.519,6.893,4,0.999,10,0.666,0.086,0.000,-0.051
2.360,509.297,82.579,-135.568,6.907,4,0.999,10,0.668,0.075,0.000,-0.050
2.380,509.166,82.577,-135.617,6.920,4,0.999,10,0.669,0.065,0.000,-0.049
2.400,509.036,82.574,-135.666,6.931,4,0.999,10,0.670,0.056,0.000,-0.048
2.420,508.906,82.570,-135.715,6.879,4,0.999,10,0.670,0.048,0.000,-0.047
2.440,508.775,82.566,-135.764,6.898,4,0.999,10,0.669,0.085,0.000,-0.045
2.460,508.645,82.561,-135.813,6.915,4,0.999,10,0.667,0.071,0.000,-0.044
2.480,508.514,82.556,-135.862,6.930,4,0.999,10,0.665,0.059,0.000,-0.043
2.500,508.385,82.550,-135.911,6.881,4,0.999,11,0.662,0.049,0.000,-0.033
2.520,508.255,82.543,-135.960,6.903,4,0.999,11,0.659,0.083,0.000,-0.031
2.540,508.124,82.537,-136.009,6.921,4,0.999,11,0.661,0.068,0.000,-0.030
2.560,507.994,82.530,-136.059,6.937,4,0.999,11,0.663,0.055,0.000,-0.028
2.580,507.864,82.522,-136.108,6.889,4,0.999,11,0.665,0.044,0.000,-0.027
2.600,507.734,82.514,-136.158,6.912,4,0.999,11,0.666,0.078,0.000,-0.025
2.620,507.604,82.506,-136.207,6.931,4,0.999,11,0.666,0.062,0.000,-0.024
2.640,507.475,82.497,-136.257,6.886,4,0.999,11,0.666,0.048,0.000,-0.023
2.660,507.345,82.488,-136.307,6.911,4,0.999,11,0.666,0.080,0.000,-0.022
2.680,507.215,82.479,-136.357,6.932,4,0.998,12,0.665,0.063,0.000,-0.001
2.700,507.085,82.469,-136.408,6.888,4,0.998,12,0.663,0.047,0.000,0.000
2.720,506.956,82.460,-136.458,6.915,4,0.998,12,0.661,0.078,0.000,0.000
2.740,506.825,82.450,-136.509,6.938,4,0.998,12,0.660,0.060,0.000,0.001
2.760,506.696,82.439,-136.559,6.896,4,0.997,12,0.657,0.044,0.000,0.002
2.780,506.566,82.428,-136.610,6.923,4,0.997,12,0.660,0.073,0.000,0.002
2.800,506.436,82.416,-136.660,6.947,4,0.997,12,0.663,0.054,0.000,0.003
2.820,506.306,82.404,-136.710,6.905,4,0.997,12,0.666,0.037,0.000,0.003
2.840,506.177,82.390,-136.760,6.933,4,0.997,12,0.667,0.066,0.000,0.004
2.860,506.048,82.376,-136.810,6.895,4,0.996,13,0.668,0.047,0.000,0.025
2.880,505.919,82.362,-136.860,6.925,4,0.996,13,0.668,0.074,0.000,0.026
2.900,505.789,82.347,-136.910,6.952,4,0.996,13,0.668,0.052,0.000,0.027
2.920,505.660,82.331,-136.959,6.911,4,0.996,13,0.667,0.034,0.000,0.028
2.940,505.530,82.315,-137.009,6.941,4,0.996,13,0.666,0.062,0.000,0.029
2.960,505.402,82.299,-137.059,6.903,4,0.996,13,0.665,0.042,0.000,0.030
2.980,505.272,82.282,-137.108,6.935,4,0.995,13,0.663,0.068,0.000,0.030
3.000,505.143,82.265,-137.158,6.900,4,0.995,13,0.661,0.046,0.000,0.031
3.020,505.013,82.248,-137.208,6.933,4,0.995,13,0.659,0.070,0.000,0.032
3.040,504.885,82.230,-137.257,6.900,4,0.994,13,0.659,0.047,0.000,0.032
3.060,504.755,82.212,-137.307,6.935,4,0.994,14,0.659,0.070,0.000,0.042
3.080,504.626,82.194,-137.357,6.902,4,0.994,14,0.658,0.046,0.000,0.042
3.100,504.497,82.175,-137.406,6.938,4,0.993,14,0.657,0.069,0.000,0.042
3.120,504.368,82.156,-137.456,6.906,4,0.993,14,0.658,0.044,0.000,0.042
3.140,504.239,82.137,-137.505,6.942,4,0.993,14,0.661,0.066,0.000,0.042
3.160,504.110,82.117,-137.555,6.910,4,0.992,14,0.665,0.041,0.000,0.042
3.180,503.981,82.096,-137.604,6.947,4,0.992,14,0.668,0.063,0.000,0.042
3.200,503.852,82.075,-137.653,6.915,4,0.992,14,0.668,0.037,0.000,0.041
3.220,503.723,82.054,-137.702,6.952,4,0.991,14,0.667,0.059,0.000,0.041
3.240,503.594,82.033,-137.751,6.921,4,0.991,14,0.665,0.033,0.000,0.041
3.260,503.464,82.011,-137.800,6.958,4,0.990,15,0.664,0.055,0.000,0.034
3.280,503.335,81.988,-137.849,6.927,4,0.990,15,0.662,0.029,0.000,0.033
3.300,503.206,81.966,-137.898,6.964,4,0.990,15,0.663,0.051,0.000,0.033
3.320,503.077,81.943,-137.946,6.933,4,0.989,15,0.667,0.025,0.000,0.032
3.340,502.948,81.921,-137.994,6.908,4,0.989,15,0.670,0.047,0.000,0.031
3.360,502.819,81.897,-138.043,6.950,4,0.988,15,0.674,0.064,0.000,0.031
3.380,502.690,81.874,-138.091,6.923,4,0.988,15,0.674,0.035,0.000,0.030
3.400,502.561,81.850,-138.139,6.963,4,0.987,15,0.674,0.054,0.000,0.030
3.420,502.432,81.826,-138.187,6.935,4,0.987,15,0.673,0.026,0.000,0.029
3.440,502.303,81.801,-138.235,6.912,4,0.987,15,0.672,0.045,0.000,0.029
3.460,502.174,81.776,-138.282,6.956,4,0.986,16,0.671,0.061,0.000,0.003
3.480,502.046,81.751,-138.330,6.930,4,0.986,16,0.671,0.031,0.000,0.002
3.500,501.918,81.725,-138.377,6.909,4,0.986,16,0.672,0.049,0.000,0.001
3.520,501.789,81.699,-138.424,6.955,4,0.985,16,0.673,0.063,0.000,0.000
3.540,501.660,81.674,-138.471,6.930,4,0.985,16,0.673,0.032,0.000,0.000
3.560,501.532,81.648,-138.518,6.911,4,0.985,16,0.674,0.049,0.000,-0.001
3.580,501.403,81.621,-138.565,6.957,4,0.984,16,0.674,0.063,0.000,-0.001
3.600,501.274,81.595,-138.612,6.933,4,0.984,16,0.674,0.030,0.000,-0.001
