time,x,y,z,speed,wheels,up,target,groundGap,throttle,brake,steer
0.020,436.472,33.498,-152.338,0.270,4,1.000,5,0.678,1.000,0.000,-0.163
0.040,436.471,33.496,-152.348,0.538,4,1.000,5,0.676,1.000,0.000,-0.163
0.060,436.470,33.492,-152.363,0.803,4,1.000,5,0.672,1.000,0.000,-0.163
0.080,436.469,33.488,-152.384,1.067,4,1.000,5,0.668,1.000,0.000,-0.163
0.100,436.467,33.483,-152.410,1.329,4,1.000,5,0.663,1.000,0.000,-0.164
0.120,436.465,33.478,-152.441,1.588,4,1.000,5,0.657,1.000,0.000,-0.164
0.140,436.462,33.473,-152.477,1.846,4,1.000,5,0.652,1.000,0.000,-0.165
0.160,436.459,33.468,-152.518,2.102,4,1.000,5,0.647,1.000,0.000,-0.165
0.180,436.456,33.464,-152.565,2.357,4,1.000,5,0.642,1.000,0.000,-0.165
0.200,436.453,33.459,-152.617,2.610,4,1.000,5,0.637,1.000,0.000,-0.165
0.220,436.449,33.456,-152.674,2.861,4,1.000,5,0.633,1.000,0.000,-0.165
0.240,436.445,33.452,-152.736,3.111,4,1.000,5,0.629,1.000,0.000,-0.165
0.260,436.440,33.450,-152.803,3.359,4,1.000,5,0.626,1.000,0.000,-0.165
0.280,436.436,33.447,-152.874,3.606,4,1.000,5,0.623,1.000,0.000,-0.165
0.300,436.431,33.446,-152.951,3.852,4,1.000,5,0.621,1.000,0.000,-0.165
0.320,436.425,33.444,-153.033,4.096,4,1.000,5,0.619,1.000,0.000,-0.165
0.340,436.420,33.444,-153.119,4.338,4,1.000,5,0.618,1.000,0.000,-0.165
0.360,436.414,33.444,-153.211,4.579,4,1.000,5,0.617,1.000,0.000,-0.164
0.380,436.408,33.444,-153.307,4.819,4,1.000,6,0.616,1.000,0.000,-0.175
0.400,436.402,33.445,-153.408,5.057,4,1.000,6,0.616,1.000,0.000,-0.174
0.420,436.396,33.446,-153.513,5.294,4,1.000,6,0.616,1.000,0.000,-0.173
0.440,436.390,33.447,-153.624,5.529,4,1.000,6,0.616,1.000,0.000,-0.172
0.460,436.384,33.449,-153.739,5.763,4,1.000,6,0.617,1.000,0.000,-0.171
0.480,436.378,33.450,-153.858,5.964,4,1.000,6,0.618,0.866,0.000,-0.170
0.500,436.371,33.453,-153.980,6.130,4,1.000,6,0.620,0.725,0.000,-0.168
0.520,436.365,33.457,-154.106,6.267,4,1.000,6,0.623,0.609,0.000,-0.167
0.540,436.359,33.461,-154.234,6.382,4,1.000,6,0.626,0.513,0.000,-0.165
0.560,436.354,33.465,-154.364,6.477,4,1.000,6,0.629,0.433,0.000,-0.164
0.580,436.348,33.470,-154.496,6.557,4,1.000,6,0.633,0.366,0.000,-0.162
0.600,436.343,33.475,-154.629,6.624,4,1.000,6,0.636,0.310,0.000,-0.161
0.620,436.338,33.480,-154.762,6.680,4,1.000,6,0.640,0.263,0.000,-0.159
0.640,436.333,33.484,-154.897,6.727,4,1.000,7,0.643,0.224,0.000,-0.153
0.660,436.329,33.488,-155.033,6.766,4,1.000,7,0.647,0.191,0.000,-0.151
0.680,436.325,33.492,-155.169,6.799,4,1.000,7,0.649,0.164,0.000,-0.148
0.700,436.321,33.495,-155.306,6.827,4,1.000,7,0.652,0.141,0.000,-0.145
0.720,436.318,33.498,-155.443,6.850,4,1.000,7,0.654,0.121,0.000,-0.143
0.740,436.315,33.501,-155.580,6.869,4,1.000,7,0.655,0.105,0.000,-0.141
0.760,436.312,33.503,-155.718,6.886,4,1.000,7,0.657,0.091,0.000,-0.138
0.780,436.310,33.505,-155.856,6.900,4,1.000,7,0.657,0.080,0.000,-0.136
0.800,436.309,33.507,-155.995,6.911,4,1.000,7,0.658,0.070,0.000,-0.134
0.820,436.308,33.508,-156.133,6.921,4,1.000,7,0.658,0.062,0.000,-0.132
0.840,436.307,33.509,-156.272,6.929,4,1.000,7,0.658,0.055,0.000,-0.130
0.860,436.306,33.510,-156.409,6.873,4,1.000,7,0.658,0.050,0.000,-0.128
0.880,436.306,33.511,-156.547,6.889,4,1.000,7,0.657,0.089,0.000,-0.127
