elapsed,themeTime,voicePlaying,themeVolume,master,radioObjects
6.272,2.027,False,0.090,0,0
6.380,2.133,False,0.270,0,0
6.494,2.261,False,0.270,0,0
6.604,2.368,False,0.270,0,0
6.729,2.496,False,0.270,0,0
6.842,2.603,False,0.270,0,0
6.951,2.709,False,0.270,0,0
7.055,2.816,False,0.270,0,0
7.170,2.944,False,0.270,0,0
7.275,3.029,False,0.270,0,0
7.387,3.157,False,0.270,0,0
7.488,3.243,False,0.270,0,0
7.625,3.392,False,0.270,0,0
7.732,3.499,False,0.270,0,0
7.834,3.584,False,0.270,0,0
7.939,3.712,False,0.270,0,0
8.064,3.840,False,0.270,0,0
8.195,3.968,False,0.270,0,0
8.297,4.075,False,0.270,0,0
8.452,4.203,False,0.270,0,0
8.559,4.309,False,0.270,0,0
8.671,4.437,False,0.270,0,0
8.772,4.544,False,0.270,0,0
8.874,4.629,False,0.270,0,0
8.996,4.757,False,0.270,0,0
9.117,4.885,False,0.270,0,0
9.229,4.992,False,0.270,0,0
9.337,5.099,False,0.270,0,0
9.455,5.205,False,0.270,0,0
9.568,5.333,False,0.270,0,0
9.674,5.440,False,0.270,0,0
9.782,5.547,False,0.270,0,0
9.897,5.653,False,0.270,0,0
10.017,5.760,False,0.270,0,0
10.128,5.888,False,0.270,0,0
10.241,6.016,False,0.270,0,0
10.359,6.123,False,0.270,0,0
10.466,6.229,False,0.270,0,0
10.570,6.315,False,0.270,0,0
10.705,6.464,False,0.270,0,0
10.854,6.613,False,0.270,0,0
10.967,6.720,False,0.270,0,0
11.071,6.848,False,0.270,0,0
11.183,6.933,False,0.270,0,0
11.284,7.040,False,0.270,0,0
11.384,7.147,False,0.270,0,0
11.484,7.253,False,0.270,0,0
11.601,7.360,False,0.270,0,0
11.740,7.509,False,0.270,0,0
11.848,7.616,False,0.270,0,0
11.965,7.723,False,0.270,0,0
12.107,7.872,False,0.270,0,0
12.212,7.979,False,0.270,0,0
12.361,8.128,False,0.270,0,0
12.491,8.235,False,0.270,0,0
12.609,8.363,False,0.270,0,0
12.724,8.469,False,0.270,0,0
12.846,8.597,False,0.270,0,0
12.956,8.725,False,0.270,0,0
13.058,8.811,False,0.270,0,0
13.166,8.917,False,0.270,0,0
13.269,9.045,False,0.270,0,0
13.371,9.131,False,0.270,0,0
13.487,9.259,False,0.270,0,0
13.604,9.365,False,0.270,0,0
13.715,9.472,False,0.270,0,0
13.822,9.600,False,0.270,0,0
13.930,9.685,False,0.270,0,0
14.034,9.792,False,0.270,0,0
14.139,9.920,False,0.270,0,0
14.275,10.027,False,0.270,0,0
14.387,10.155,False,0.270,0,0
14.518,10.283,False,0.270,0,0
14.627,10.389,False,0.270,0,0
14.742,10.496,False,0.270,0,0
14.858,10.624,False,0.270,0,0
14.970,10.731,False,0.270,0,0
15.072,10.837,False,0.270,0,0
15.190,10.965,False,0.270,0,0
15.307,11.072,False,0.270,0,0
15.410,11.179,False,0.270,0,0
15.525,11.285,False,0.270,0,0
15.652,11.413,False,0.270,0,0
15.765,11.520,False,0.270,0,0
15.882,11.648,False,0.270,0,0
15.992,11.755,False,0.270,0,0
16.103,11.861,False,0.270,0,0
16.216,11.989,False,0.270,0,0
16.322,12.096,False,0.270,0,0
16.429,12.181,False,0.270,0,0
16.533,12.309,False,0.270,0,0
16.642,12.395,False,0.270,0,0
16.744,12.501,False,0.270,0,0
16.863,12.629,False,0.270,0,0
17.011,12.779,False,0.270,0,0
17.221,12.971,False,0.270,0,0
17.337,13.099,False,0.270,0,0
17.454,13.205,False,0.270,0,0
17.554,13.312,False,0.270,0,0
17.671,13.440,False,0.270,0,0
17.784,13.547,False,0.270,0,0
17.892,13.653,False,0.270,0,0
18.008,13.760,False,0.270,0,0
18.125,13.888,False,0.270,0,0
18.242,13.995,False,0.270,0,0
18.358,14.123,False,0.270,0,0
18.464,14.229,False,0.270,0,0
18.584,14.336,False,0.270,0,0
18.696,14.464,False,0.270,0,0
18.800,14.549,False,0.270,0,0
18.912,14.677,False,0.270,0,0
19.019,14.784,False,0.270,0,0
19.129,14.891,False,0.270,0,0
19.253,15.019,False,0.270,0,0
19.359,15.104,False,0.270,0,0
19.483,15.253,False,0.270,0,0
19.587,15.360,False,0.270,0,0
19.691,15.445,False,0.270,0,0
19.809,15.573,False,0.270,0,0
19.924,15.680,False,0.270,0,0
20.026,15.787,False,0.270,0,0
20.142,15.893,False,0.270,0,0
20.259,16.021,False,0.270,0,0
20.375,16.149,False,0.270,0,0
20.497,16.256,False,0.270,0,0
20.609,16.363,False,0.270,0,0
20.728,16.469,False,0.270,0,0
20.838,16.597,False,0.270,0,0
20.956,16.725,False,0.270,0,0
21.061,16.811,False,0.270,0,0
21.162,16.917,False,0.270,0,0
21.262,17.003,False,0.270,0,0
21.371,17.131,False,0.270,0,0
21.477,17.237,False,0.270,0,0
21.579,17.323,False,0.270,0,0
21.691,17.451,False,0.270,0,0
21.816,17.579,False,0.270,0,0
21.922,17.685,False,0.270,0,0
22.033,17.792,False,0.270,0,0
22.136,17.920,False,0.270,0,0
22.242,18.005,False,0.270,0,0
22.358,18.112,False,0.270,0,0
22.471,18.240,False,0.270,0,0
22.580,18.347,False,0.270,0,0
22.690,18.453,False,0.270,0,0
22.801,18.560,False,0.270,0,0
22.908,18.688,False,0.270,0,0
23.015,18.773,False,0.270,0,0
23.127,18.901,False,0.270,0,0
23.234,19.008,False,0.270,0,0
23.351,19.115,False,0.270,0,0
23.468,19.221,False,0.270,0,0
23.591,19.349,False,0.270,0,0
23.695,19.456,False,0.270,0,0
23.796,19.541,False,0.270,0,0
23.918,19.691,False,0.270,0,0
24.034,19.797,False,0.270,0,0
24.136,19.904,False,0.270,0,0
24.245,20.011,False,0.270,0,0
24.355,20.117,False,0.270,0,0
24.459,20.224,False,0.270,0,0
24.575,20.331,False,0.270,0,0
24.685,20.437,False,0.270,0,0
24.793,20.565,False,0.270,0,0
24.893,20.651,False,0.270,0,0
25.010,20.779,False,0.270,0,0
25.110,20.885,False,0.270,0,0
25.211,20.971,False,0.270,0,0
25.320,21.077,False,0.270,0,0
25.426,21.184,False,0.270,0,0
25.535,21.291,False,0.270,0,0
25.646,21.419,False,0.270,0,0
25.754,21.504,False,0.270,0,0
25.866,21.632,False,0.270,0,0
25.971,21.739,False,0.270,0,0
26.072,21.824,False,0.270,0,0
26.189,21.952,False,0.270,0,0
26.295,22.080,False,0.270,0,0
26.416,22.187,False,0.270,0,0
26.518,22.272,False,0.270,0,0
26.634,22.400,False,0.270,0,0
26.734,22.507,False,0.270,0,0
26.851,22.613,False,0.270,0,0
26.969,22.741,False,0.270,0,0
27.069,22.848,False,0.270,0,0
27.186,22.933,False,0.270,0,0
27.302,23.061,False,0.270,0,0
27.403,23.168,False,0.270,0,0
27.505,23.275,False,0.270,0,0
27.620,23.360,False,0.270,0,0
27.728,23.488,False,0.270,0,0
27.830,23.595,False,0.270,0,0
27.940,23.701,False,0.270,0,0
28.043,23.808,False,0.270,0,0
28.146,23.915,False,0.270,0,0
28.262,24.021,False,0.270,0,0
28.379,24.149,False,0.270,0,0
28.497,24.256,False,0.270,0,0
28.615,24.384,False,0.270,0,0
28.720,24.469,False,0.270,0,0
28.824,24.576,False,0.270,0,0
28.935,24.704,False,0.270,0,0
