time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.012,1064.367,145.989,201.675,31.701,-31.701,-0.063,0.000,0.000,0.000,0.000,4,7.803,1.515,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08971066;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2691263;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2691263;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08971067;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09814322;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1003169;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.328945;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.328945;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495294;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.159488;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1605086;"
0.032,1063.736,145.993,201.675,31.695,-31.695,0.223,0.000,0.150,0.000,0.000,4,12.198,0.873,1.000,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0401294;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.215037;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.215037;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04012941;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09765136;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09976998;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.274858;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09995288;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2748579;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09995294;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1589961;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1599628;"
0.052,1063.112,146.008,201.675,31.597,-31.593,0.741,0.001,0.153,0.000,0.000,4,16.114,2.531,0.999,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00813818;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1547253;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1548237;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008039799;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03212348;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03385265;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2146227;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06785133;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2145287;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0679453;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06785843;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07107842;"
0.072,1062.487,146.029,201.675,31.572,-31.571,1.062,0.001,0.202,0.000,0.000,4,20.894,7.092,0.998,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001900368;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08959331;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08983833;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001655324;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001657665;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002708018;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1496475;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06146663;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1494014;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06171289;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06270587;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06285784;"
0.092,1061.862,146.066,201.675,31.480,-31.431,1.852,0.000,0.214,0.000,0.000,4,26.483,7.158,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0004762942;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03258954;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03269699;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.000368854;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00662753;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.009438008;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09248918;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06016686;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09238012;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06027595;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06762522;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0697009;"
0.112,1061.235,146.113,201.675,31.447,-31.357,2.377,0.000,0.260,0.000,0.000,4,23.857,3.384,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001179122;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.006487811;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.006527454;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=7.830228E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008204579;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008979142;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06632185;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05988244;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0662823;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05992199;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06150073;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06284979;"
0.132,1060.609,146.165,201.675,31.467,-31.361,2.590,-0.001,0.276,0.000,0.000,4,20.366,0.677,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=7.718994E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001336555;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001303375;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001103598;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0005768836;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0005951822;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06115878;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05996396;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06119351;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05992922;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05993354;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06027648;"
0.152,1059.982,146.220,201.675,31.486,-31.364,2.775,-0.001,0.266,0.000,0.000,4,19.012,0.556,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00367179;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.000991785;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0009095073;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003754029;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001773356;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001855612;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06071511;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06355853;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06079938;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06347427;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06139299;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06190491;"
0.172,1059.354,146.279,201.675,31.502,-31.367,2.931,-0.001,0.257,0.000,0.000,4,17.526,0.448,0.997,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0104545;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004823826;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004699409;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0105789;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004887923;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005012423;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06449902;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0703886;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06462289;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07026473;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06519932;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06570262;"
0.192,1058.727,146.340,201.675,31.517,-31.371,3.056,-0.001,0.249,0.000,0.000,4,15.983,0.354,0.996,"Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01992394;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0121759;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01201576;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02008407;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01358637;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01374671;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07180548;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0798697;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07196404;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07971115;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07191297;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07335848;"
