time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.020,1064.208,145.989,178.725,39.626,-39.626,-0.069,0.000,0.000,0.000,0.000,4,7.803,1.754,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076934;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076934;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2357479;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755566;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755566;"
0.040,1063.417,145.989,178.725,39.628,-39.629,0.001,0.000,0.187,0.000,0.000,4,13.233,1.075,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3406752;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1582232;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3406752;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1582232;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1582232;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2347891;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09839256;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2808525;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09839254;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2808525;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09839255;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1011809;"
0.060,1062.631,145.999,178.725,39.532,-39.531,0.511,0.000,0.186,0.000,0.000,4,17.959,0.526,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2731529;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09929802;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2731529;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09929802;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1229562;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2308691;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0395095;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2133697;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03950949;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2133697;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09630454;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09630454;"
0.080,1061.850,146.021,178.725,39.433,-39.428,1.126,-0.003,0.234,0.000,0.000,4,23.068,4.213,0.999,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1990521;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06773462;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1990632;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06772357;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06773037;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09892592;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007930873;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1392315;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007917399;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.139245;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03884527;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0388588;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05784553;"
0.100,1061.070,146.057,178.725,39.354,-39.328,1.817,-0.004,0.284,0.000,0.000,4,29.931,8.127,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1244513;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06138214;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.12446;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06137346;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06137407;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07251662;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001596213;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.06467047;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001585597;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.06468108;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01067704;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01069117;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05156973;"
0.120,1060.289,146.114,178.725,39.233,-39.129,2.864,-0.001,0.323,0.000,0.000,4,32.861,6.327,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0727576;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06018005;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07276726;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06017041;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0601792;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06085408;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0003378266;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0129397;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0003347514;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01294276;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0009917617;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0009960532;"
0.140,1059.507,146.178,178.725,39.239,-39.108,3.199,0.001,0.384,0.000,0.000,4,26.079,1.264,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06241742;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05989313;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06241709;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05989341;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05989328;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06038561;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=7.441035E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002594152;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=7.331464E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002595246;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0006893575;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00104633;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05007881;"
0.160,1058.726,146.248,178.725,39.247,-39.092,3.487,0.002,0.381,0.000,0.000,4,24.232,0.928,0.996,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06031894;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06475169;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06031942;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06475119;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06031898;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0605098;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004945732;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0005195128;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004945853;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0005193949;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001644939;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001758423;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05051947;"
0.180,1057.945,146.322,178.725,39.253,-39.077,3.734,0.003,0.377,0.000,-0.001,4,22.152,0.757,0.996,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06489916;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0745516;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06490061;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07455015;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06490046;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07031;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01473651;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005084728;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01473755;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00508368;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008433133;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008679586;"
0.200,1057.164,146.401,178.725,39.259,-39.065,3.936,0.004,0.373,0.000,0.000,4,19.887,0.605,0.996,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07514194;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.088547;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07514292;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08854599;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07514229;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07821056;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02874941;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0153358;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0287512;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01533404;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01551116;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01585309;"
