time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.020,1064.525,145.989,201.675,23.776,-23.776,-0.057,0.000,0.000,0.000,0.000,4,7.803,1.515,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.328945;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495293;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.328945;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1495294;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.159488;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1605087;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08971067;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2691263;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2691262;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08971068;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09814322;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1003169;"
0.040,1064.050,145.988,201.675,23.790,-23.791,-0.028,0.000,0.112,0.000,0.000,4,11.192,0.873,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2876254;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1127208;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2876254;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1127208;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1594372;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1604066;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0528964;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2278016;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2278016;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05289641;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09809393;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1002125;"
0.060,1063.580,145.995,201.675,23.727,-23.725,0.333,0.000,0.105,0.000,0.000,4,14.136,0.358,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2451875;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07816253;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2451875;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07816252;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.158141;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1590172;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01832938;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1853702;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1853702;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01832939;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02214032;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02416304;"
0.080,1063.112,146.008,201.675,23.695,-23.688,0.640,0.001,0.137,0.000,0.000,4,16.115,3.326,0.999,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1972901;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06347639;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1971366;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0636299;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06352523;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07583395;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003823239;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1373258;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1374824;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003666595;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01611072;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0350202;"
0.100,1062.643,146.025,201.675,23.696,-23.685,0.867,0.001,0.153,0.000,0.000,4,19.029,5.160,0.998,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1499989;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06053936;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1498617;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06067653;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06179345;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06193238;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008889496;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09007654;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09021473;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0007508043;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0007535815;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001808465;"
0.120,1062.173,146.047,201.675,23.702,-23.684,1.110,0.000,0.152,0.000,0.000,4,21.907,4.891,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1095579;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05998829;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1095083;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06003788;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07114378;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0711588;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0002202727;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04969177;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04974088;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001711529;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007540047;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01062614;"
0.140,1061.702,146.077,201.675,23.682,-23.636,1.520,0.000,0.149,0.000,0.000,4,23.661,4.094,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07793415;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06028308;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07797411;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06024309;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06224465;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06796966;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0004289271;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01816555;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01812664;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0004678299;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005093545;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007940888;"
0.160,1061.231,146.114,201.675,23.676,-23.605,1.842,0.000,0.159,0.000,0.000,4,22.041,1.859,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0634326;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06002668;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06355161;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05990764;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06000811;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06018606;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=9.770197E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003741584;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003622502;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0002167704;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0007996559;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008761883;"
0.180,1060.759,146.155,201.675,23.687,-23.599,2.044,0.000,0.162,0.000,0.000,4,19.846,0.544,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06052876;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06109662;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06058329;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06104208;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06055555;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06060176;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001236703;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0007844322;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0007298291;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001291325;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008030832;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.000857681;"
0.200,1060.288,146.199,201.675,23.696,-23.594,2.214,0.000,0.157,0.000,0.000,4,18.294,0.444,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06214496;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06573463;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06213007;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06574947;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06405732;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06455898;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005925699;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002310098;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002325743;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005910075;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003677428;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00369304;"
