seconds,travel,recoveries,x,y,z,safeStation,speed
0.02,0.05,0,560.97,27.60,-286.63,3739.35,0.00
0.03,0.05,0,560.97,27.60,-286.63,3739.35,0.00
0.05,0.05,0,560.97,27.60,-286.64,3739.35,0.00
0.07,0.05,0,560.97,27.60,-286.64,3739.35,0.00
0.08,0.04,0,560.97,27.60,-286.65,3739.35,-0.01
0.10,0.04,0,560.97,27.60,-286.65,3739.35,-0.02
0.15,0.03,0,560.97,27.60,-286.65,3739.35,-0.03
0.17,0.03,0,560.97,27.60,-286.66,3739.35,-0.04
0.18,0.03,0,560.97,27.60,-286.66,3739.32,-0.05
0.20,0.03,0,560.97,27.60,-286.66,3739.32,-0.05
0.22,0.03,0,560.97,27.60,-286.66,3739.32,-0.06
0.23,0.03,0,560.97,27.60,-286.66,3739.32,-0.06
0.25,0.02,0,560.97,27.60,-286.67,3739.32,-0.07
0.27,0.02,0,560.97,27.60,-286.67,3739.32,-0.07
0.28,0.02,0,560.97,27.60,-286.67,3739.32,-0.08
0.30,0.02,0,560.97,27.60,-286.67,3739.32,-0.08
0.32,0.02,0,560.97,27.60,-286.67,3739.32,-0.08
0.33,0.02,0,560.97,27.60,-286.67,3739.32,-0.08
0.35,0.01,0,560.97,27.60,-286.67,3739.32,-0.09
0.37,0.01,0,560.97,27.60,-286.68,3739.32,-0.09
0.38,0.01,0,560.97,27.59,-286.68,3739.32,-0.09
0.40,0.01,0,560.97,27.59,-286.68,3739.32,-0.10
0.42,0.01,0,560.97,27.59,-286.68,3739.32,-0.10
0.43,0.01,0,560.97,27.59,-286.68,3739.32,-0.10
0.45,0.00,0,560.97,27.59,-286.68,3739.30,-0.10
0.47,0.00,0,560.97,27.59,-286.69,3739.30,-0.10
0.48,0.00,0,560.97,27.59,-286.69,3739.30,-0.10
0.50,0.00,0,560.97,27.59,-286.69,3739.30,-0.10
0.52,0.00,0,560.97,27.59,-286.69,3739.30,-0.10
0.53,0.00,0,560.97,27.59,-286.69,3739.30,-0.10
0.55,-0.01,0,560.97,27.59,-286.69,3739.30,-0.10
0.57,-0.01,0,560.97,27.59,-286.70,3739.30,-0.11
0.59,-0.01,0,560.97,27.59,-286.70,3739.30,-0.11
0.60,-0.01,0,560.97,27.59,-286.70,3739.30,-0.11
0.62,-0.02,0,560.97,27.59,-286.70,3739.30,-0.11
0.64,-0.02,0,560.97,27.59,-286.71,3739.30,-0.11
0.65,-0.02,0,560.97,27.59,-286.71,3739.30,-0.11
0.67,-0.02,0,560.97,27.59,-286.71,3739.30,-0.11
0.69,-0.02,0,560.97,27.59,-286.71,3739.30,-0.11
0.70,-0.02,0,560.97,27.59,-286.71,3739.27,-0.11
0.72,-0.03,0,560.97,27.59,-286.71,3739.27,-0.11
0.74,-0.03,0,560.97,27.59,-286.72,3739.27,-0.11
0.75,-0.03,0,560.97,27.59,-286.72,3739.27,-0.11
0.77,-0.03,0,560.97,27.59,-286.72,3739.27,-0.11
0.79,-0.03,0,560.97,27.59,-286.72,3739.27,-0.11
0.80,-0.03,0,560.97,27.59,-286.72,3739.27,-0.11
0.82,-0.04,0,560.97,27.59,-286.72,3739.27,-0.11
0.84,-0.04,0,560.97,27.59,-286.73,3739.27,-0.11
0.85,-0.04,0,560.97,27.59,-286.73,3739.27,-0.11
0.87,-0.04,0,560.97,27.59,-286.73,3739.27,-0.11
0.89,-0.04,0,560.97,27.59,-286.73,3739.27,-0.11
