time,name,streetDistance,routeIsStreet,recoveries,x,y,z
3.01,Traffic 1,2.675,True,0,316.87,59.03,349.97
3.01,Traffic 2,2.676,True,0,393.59,36.70,-418.42
3.01,Traffic 3,2.680,True,0,-499.65,7.61,-547.20
3.01,Traffic 4,2.680,True,0,-610.91,8.62,505.01
3.01,Traffic 5,6.184,True,0,-546.47,8.59,534.74
3.01,Traffic 6,6.184,True,0,-523.79,8.58,545.66
3.01,Traffic 7,2.150,True,0,-502.37,8.59,536.07
3.01,Traffic 8,2.150,True,0,-480.20,8.63,539.09
3.01,Traffic 9,6.184,True,0,-371.57,9.26,527.03
3.01,Traffic 10,6.184,True,0,-349.14,9.39,538.52
3.01,Traffic 11,2.150,True,0,-327.44,9.51,529.57
3.01,Traffic 12,2.150,True,0,-305.32,9.60,533.00
3.01,Traffic 13,6.184,True,0,-196.44,9.35,523.11
3.01,Traffic 14,6.184,True,0,-174.38,9.20,535.31
3.01,Traffic 15,2.150,True,0,-152.41,9.04,527.06
3.01,Traffic 16,2.150,True,0,-130.40,8.88,531.14
3.01,Traffic 17,6.184,True,0,-21.40,8.52,522.68
3.01,Traffic 18,6.184,True,0,0.47,8.55,535.16
3.01,Traffic 19,2.150,True,0,22.70,8.62,527.81
3.01,Traffic 20,2.150,True,0,43.93,8.86,534.64
4.98,Traffic 1,2.683,True,0,317.21,63.97,331.63
4.98,Traffic 2,2.695,True,0,406.01,38.71,-434.12
4.98,Traffic 3,2.766,True,0,-521.51,7.41,-547.05
4.98,Traffic 4,2.404,True,0,-617.13,8.84,483.95
4.98,Traffic 5,6.162,True,0,-523.02,8.74,533.32
4.98,Traffic 6,6.236,True,0,-547.24,8.69,547.14
4.98,Traffic 7,2.182,True,0,-478.65,8.63,534.89
4.98,Traffic 8,2.137,True,0,-503.68,8.67,540.21
4.98,Traffic 9,6.188,True,0,-348.19,9.40,526.17
4.98,Traffic 10,6.181,True,0,-372.70,9.25,539.37
4.98,Traffic 11,2.156,True,0,-304.02,9.60,528.85
4.98,Traffic 12,2.144,True,0,-328.85,9.50,533.72
4.98,Traffic 13,6.189,True,0,-172.85,9.19,523.00
4.98,Traffic 14,6.183,True,0,-197.77,9.36,535.42
4.98,Traffic 15,2.153,True,0,-128.81,8.87,527.04
4.98,Traffic 16,2.148,True,0,-153.79,9.05,531.16
4.98,Traffic 17,6.208,True,0,2.08,8.55,522.86
4.98,Traffic 18,6.142,True,0,-23.04,8.52,534.93
4.98,Traffic 19,2.317,True,0,45.88,8.87,530.71
4.98,Traffic 20,1.812,True,0,20.47,8.61,531.42
6.98,Traffic 1,2.699,True,0,318.31,71.49,302.44
6.98,Traffic 2,2.606,True,0,424.56,36.15,-459.89
6.98,Traffic 3,2.716,True,0,-554.15,7.07,-548.45
6.98,Traffic 4,2.783,True,0,-626.73,9.28,451.80
6.98,Traffic 5,6.263,True,0,-472.10,8.65,530.54
6.98,Traffic 6,5.941,True,0,-586.37,8.74,545.94
6.98,Traffic 7,2.129,True,0,-425.97,8.89,533.19
6.98,Traffic 8,2.203,True,0,-555.73,8.74,543.36
6.98,Traffic 9,6.195,True,0,-297.30,9.62,524.56
6.98,Traffic 10,6.184,True,0,-424.62,8.90,541.33
6.98,Traffic 11,2.171,True,0,-251.47,9.62,527.73
6.98,Traffic 12,2.145,True,0,-382.21,9.19,535.62
6.98,Traffic 13,6.188,True,0,-121.76,8.82,522.94
6.98,Traffic 14,6.175,True,0,-249.51,9.61,535.91
6.98,Traffic 15,2.149,True,0,-76.07,8.61,527.03
6.98,Traffic 16,2.144,True,0,-206.95,9.41,531.37
6.98,Traffic 17,6.400,True,0,51.28,8.96,527.89
6.98,Traffic 18,6.188,True,0,-74.90,8.61,535.23
6.98,Traffic 19,1.512,True,0,94.75,9.73,542.57
6.98,Traffic 20,2.120,True,0,-32.98,8.53,530.87
8.98,Traffic 1,2.731,True,0,321.23,77.97,272.99
8.98,Traffic 2,2.669,True,0,442.01,32.12,-486.23
8.98,Traffic 3,2.661,True,0,-586.45,6.75,-548.80
8.98,Traffic 4,2.775,True,0,-632.53,9.57,418.77
8.98,Traffic 5,6.161,True,0,-419.12,8.94,528.84
8.98,Traffic 6,3.794,True,0,-604.39,8.74,536.68
8.98,Traffic 7,2.153,True,0,-370.16,9.27,531.07
8.98,Traffic 8,2.193,True,0,-583.74,8.74,542.47
8.98,Traffic 9,6.201,True,0,-244.28,9.60,523.53
8.98,Traffic 10,6.218,True,0,-479.08,8.63,543.18
8.98,Traffic 11,2.159,True,0,-195.56,9.34,527.20
8.98,Traffic 12,2.153,True,0,-439.53,8.81,537.77
8.98,Traffic 13,6.177,True,0,-68.69,8.59,522.91
8.98,Traffic 14,6.164,True,0,-303.96,9.60,537.04
8.98,Traffic 15,2.150,True,0,-20.17,8.52,526.78
8.98,Traffic 16,2.139,True,0,-264.23,9.64,532.04
