time,vehicle,lap,gate,speed,recoveries,misses,x,y,z,verified,finishArmed,roadPosition
3.005,tourer,0,0,0.00,0,0,322.06,9.78,544.06,0.000,False,0.000
3.005,original,0,0,0.00,0,0,318.01,11.28,535.88,0.000,False,0.000
3.005,moto,0,0,0.00,0,0,322.38,12.47,528.99,0.000,False,0.000
3.005,atv,0,0,0.00,0,0,317.80,13.85,522.23,0.000,False,0.000
4.600,tourer,0,0,15.27,0,0,322.72,12.24,530.95,0.000,False,4655.069
4.600,original,0,0,16.02,0,0,318.21,14.06,521.98,0.000,False,4664.289
4.600,moto,0,1,20.39,0,0,321.90,16.11,511.34,0.799,False,0.799
4.600,atv,0,1,18.95,0,0,317.63,17.37,505.77,6.677,False,6.677
6.600,tourer,0,1,26.27,0,0,321.75,21.37,489.15,23.554,False,23.554
6.600,original,0,1,26.82,0,0,317.21,23.94,478.91,34.148,False,34.148
6.600,moto,0,1,31.54,0,0,321.07,29.52,457.46,56.201,False,56.201
6.600,atv,0,1,31.23,0,0,317.12,30.12,455.31,58.476,False,58.476
8.600,tourer,0,1,31.20,0,0,321.31,36.61,432.52,82.139,False,82.139
8.600,original,0,1,31.20,0,0,316.93,39.62,421.80,93.303,False,93.303
8.600,moto,0,1,31.53,0,0,320.86,46.44,396.71,119.297,False,119.297
8.600,atv,0,1,31.46,0,0,316.95,46.97,394.73,121.320,False,121.320
10.600,tourer,0,1,31.27,0,0,321.28,53.16,372.27,144.691,False,144.691
10.600,original,0,1,31.25,0,0,317.47,55.95,361.51,155.726,False,155.726
10.600,moto,0,1,31.54,0,0,321.90,62.74,335.78,182.411,False,182.411
10.600,atv,0,1,31.47,0,0,318.09,63.21,333.94,184.231,False,184.231
12.600,tourer,0,1,31.28,0,0,322.74,69.21,311.84,207.263,False,207.263
12.600,original,0,1,31.27,0,0,319.19,71.85,301.08,218.148,False,218.148
12.600,moto,0,2,31.61,0,0,325.75,77.72,274.61,245.773,False,245.773
12.600,atv,0,2,31.55,0,0,322.13,77.94,272.87,246.970,False,246.970
14.600,tourer,0,2,32.64,0,0,330.27,81.44,250.67,270.527,False,270.527
14.600,original,0,2,33.62,0,0,329.42,82.31,239.44,281.118,False,281.118
14.600,moto,0,2,31.10,0,0,346.76,82.69,209.93,315.318,False,315.318
14.600,atv,0,2,29.80,0,0,342.45,82.71,209.23,313.605,False,313.605
16.600,tourer,0,2,25.09,0,0,357.22,82.27,197.57,332.302,False,332.302
16.600,original,0,2,27.57,0,0,360.77,81.41,190.73,338.848,False,338.848
16.600,moto,0,2,32.04,0,0,393.26,76.45,178.12,374.096,False,374.096
16.600,atv,0,2,25.01,0,0,378.49,78.35,186.45,356.945,False,356.945
18.600,tourer,0,2,31.37,0,0,408.68,76.84,170.99,390.587,False,390.587
18.600,original,0,2,17.53,0,0,400.36,76.61,170.96,384.907,False,384.907
18.600,moto,0,2,31.70,0,0,436.48,83.67,130.48,439.912,False,439.912
18.600,atv,0,2,27.63,0,0,418.76,78.47,160.19,405.376,False,405.376
20.600,tourer,0,2,32.24,0,0,448.12,85.54,122.22,453.317,False,453.317
20.600,original,0,2,20.58,0,0,425.65,80.59,148.76,418.795,False,418.795
20.600,moto,0,3,31.69,0,0,464.10,83.26,75.25,502.690,False,502.690
20.600,atv,0,3,29.22,0,0,451.54,86.50,108.43,466.878,False,466.878
22.600,tourer,0,3,0.00,0,0,463.88,82.59,69.63,513.523,False,513.523
22.600,original,0,3,29.14,0,0,456.21,86.73,107.95,469.500,False,469.500
22.600,moto,0,3,31.73,0,0,473.21,79.69,10.33,569.484,False,569.484
