time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.376,6.305,268.772,58.847,289.913,4,,501.202,63.627,0.000,-0.325
0.784,12.273,265.300,58.411,291.395,4,,504.906,60.068,0.000,-0.147
1.253,18.490,258.021,57.603,292.889,4,,512.181,52.733,0.000,-0.032
1.691,23.452,248.821,56.574,293.793,4,,521.241,43.513,0.000,-0.006
2.098,27.398,238.683,55.446,294.530,4,,531.365,33.368,0.000,-0.013
2.902,31.803,214.477,52.729,295.181,4,,555.725,9.183,0.000,-0.025
3.803,22.722,190.788,50.230,293.627,4,,579.572,1.701,0.000,-0.129
4.588,27.474,171.922,48.648,285.495,4,,599.653,1.631,0.000,-0.081
5.283,31.657,157.438,48.205,271.197,4,,617.252,1.342,0.000,-0.031
9.067,-3.445,140.571,46.469,245.895,4,Echo Cave,641.749,0.556,0.000,0.047
9.551,5.894,140.094,46.410,245.087,4,Echo Cave,642.427,0.620,0.000,0.060
9.970,12.077,137.954,46.167,241.877,4,Echo Cave,645.610,0.653,0.000,0.017
10.452,18.190,133.720,45.699,235.871,4,Echo Cave,651.818,0.455,0.000,-0.009
10.919,23.220,128.244,45.082,228.007,4,Echo Cave,660.494,0.126,0.000,-0.015
11.435,28.071,120.933,44.210,216.787,4,Echo Cave,678.470,0.130,0.000,-0.012
12.131,31.879,109.997,42.821,198.428,4,Echo Cave,698.753,0.165,0.000,-0.008
12.634,31.763,102.315,41.807,184.525,4,Echo Cave,714.397,0.096,0.000,-0.015
13.125,31.907,95.435,40.851,170.909,4,Echo Cave,729.212,0.036,0.000,-0.021
13.605,31.765,89.292,39.878,156.953,4,Echo Cave,743.211,0.217,0.000,-0.013
14.005,31.873,84.658,39.071,145.121,4,Echo Cave,754.684,0.336,0.000,0.000
14.405,31.929,80.150,38.280,133.230,4,Echo Cave,766.714,0.279,0.000,0.012
14.805,31.697,75.438,37.511,121.426,4,Echo Cave,779.387,0.090,0.000,0.017
15.243,31.832,69.771,36.691,108.647,4,Echo Cave,794.324,0.116,0.000,0.017
15.661,31.890,63.835,35.925,96.687,4,Echo Cave,809.655,0.217,0.000,0.015
16.093,31.933,57.127,35.136,84.405,4,Echo Cave,827.486,0.221,0.000,0.011
16.497,31.696,50.704,34.420,73.436,4,Echo Cave,845.446,0.207,0.000,0.006
16.897,31.788,44.078,33.702,62.588,4,Echo Cave,867.328,0.158,0.000,0.003
17.481,31.941,34.277,32.667,46.956,4,Echo Cave,934.237,0.075,0.000,0.001
17.983,31.849,25.772,31.778,33.541,4,Echo Cave,998.903,0.030,0.000,0.000
18.391,31.902,18.605,31.034,22.271,4,Echo Cave,1027.069,0.012,0.000,0.000
19.344,17.680,4.814,29.724,0.557,4,Echo Cave,1126.975,0.003,1.000,-0.001
19.773,18.882,0.852,29.976,-5.710,4,Echo Cave,1141.589,0.002,0.000,-0.001
20.181,22.790,-3.603,30.609,-12.782,4,Echo Cave,1154.943,0.000,0.000,-0.002
20.618,24.205,-9.258,31.490,-21.711,0,Echo Cave,1169.191,0.061,0.000,0.000
21.033,24.319,-14.687,30.662,-30.304,0,Echo Cave,1178.242,0.153,0.000,-0.026
21.433,24.755,-19.802,28.280,-38.385,0,Echo Cave,1183.346,0.303,0.000,-0.042
21.833,24.558,-24.871,24.357,-46.379,0,Echo Cave,1186.478,0.530,0.000,-0.055
22.233,20.774,-29.661,23.223,-53.603,4,Echo Cave,1188.502,0.994,0.000,-0.057
22.673,24.772,-34.719,23.761,-62.302,4,Echo Cave,1191.507,1.074,0.000,-0.023
23.084,27.973,-39.394,24.223,-71.799,4,Echo Cave,1195.206,0.657,0.000,-0.018
23.492,30.121,-44.357,24.482,-83.143,4,Echo Cave,1199.704,0.144,0.145,-0.049
23.908,23.819,-47.947,24.224,-93.740,4,Echo Cave,1203.439,0.169,0.299,-0.095
24.308,19.085,-49.289,23.912,-102.077,4,Echo Cave,1207.085,0.422,0.207,-0.156
24.737,18.195,-48.482,23.950,-109.859,4,Echo Cave,1211.911,0.503,0.000,-0.218
25.140,20.356,-45.155,24.310,-116.615,4,Echo Cave,1217.953,0.366,0.000,-0.173
25.540,20.548,-39.543,25.164,-122.186,3,Echo Cave,1225.302,1.971,0.000,-0.088
25.967,15.539,-33.440,25.571,-126.286,4,Echo Cave,1232.344,2.636,0.000,-0.130
26.379,14.566,-27.927,25.930,-128.618,4,Echo Cave,1238.227,0.243,0.000,-0.133
26.780,18.422,-21.492,26.291,-129.842,4,Echo Cave,1244.705,0.120,0.000,-0.123
27.240,22.840,-11.967,26.942,-130.197,4,,1254.068,4.070,0.000,0.046
27.651,26.341,-1.650,27.619,-131.095,4,,1264.394,14.330,0.000,0.023
28.051,29.278,9.364,28.362,-132.765,4,,1275.569,25.470,0.000,0.003
28.466,31.457,21.392,29.192,-134.847,4,,1287.808,37.676,0.000,-0.006
28.892,31.758,35.109,30.153,-137.128,4,,1301.743,51.580,0.000,-0.003
