time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
1.739,24.996,548.107,41.118,-213.721,4,,858.545,39.755,0.000,0.019
2.853,31.894,556.694,31.931,-243.673,4,,891.186,8.620,0.000,0.038
3.489,27.040,560.116,29.550,-261.694,4,Creek Leap,909.726,1.012,0.000,0.048
3.980,30.170,561.374,28.457,-275.948,4,Creek Leap,924.066,1.888,0.000,0.062
4.574,33.122,560.894,26.950,-294.283,4,Creek Leap,942.419,3.468,0.000,0.067
4.974,34.919,558.754,25.989,-308.396,4,Creek Leap,956.681,4.101,0.000,0.043
5.529,36.839,554.111,25.303,-327.219,4,Creek Leap,976.070,3.006,0.000,-0.005
6.043,38.278,548.972,25.190,-346.084,4,Creek Leap,995.651,14.006,0.000,-0.048
6.591,39.324,544.794,25.723,-366.622,4,Creek Leap,1016.636,28.282,0.000,-0.055
6.999,39.876,543.071,27.017,-383.106,4,Creek Leap,1033.259,41.313,0.000,-0.030
7.411,40.206,542.419,28.969,-398.990,4,Creek Leap,1049.272,54.765,0.000,-0.001
7.831,40.446,542.084,31.096,-415.793,4,,1066.208,69.474,0.000,0.026
8.231,38.377,541.438,32.828,-431.607,4,,1082.110,83.415,0.430,0.048
8.631,33.382,540.090,33.708,-445.667,3,,1096.218,95.694,0.000,0.045
9.032,33.836,537.880,33.521,-458.845,4,,1109.497,107.029,0.000,0.039
9.435,33.291,534.607,32.205,-472.751,4,,1123.777,118.889,0.365,0.034
9.836,31.882,530.972,30.321,-485.005,4,,1136.648,129.322,0.000,0.034
10.243,31.933,526.767,28.101,-496.830,4,,1149.360,139.394,0.000,0.045
10.875,32.568,518.421,24.755,-515.148,4,,1169.777,155.018,0.000,0.070
12.258,15.331,496.916,23.059,-541.530,4,,1204.111,177.386,0.000,0.226
12.749,14.912,490.392,23.188,-544.346,4,,1211.312,179.518,0.000,0.366
13.203,15.604,483.666,23.648,-544.572,4,,1218.207,179.226,0.000,0.381
13.612,18.242,477.407,24.343,-542.015,4,,1224.523,176.338,0.000,0.295
14.034,20.775,471.527,25.262,-536.359,4,,1232.333,170.496,0.000,0.162
14.446,23.284,466.903,26.354,-528.393,4,,1241.374,162.469,0.000,0.044
14.864,25.632,462.950,27.572,-518.955,4,,1251.581,153.039,0.000,-0.029
15.264,27.593,458.895,28.820,-509.160,4,,1262.215,143.309,0.000,-0.064
15.724,29.531,453.005,30.315,-497.478,4,,1275.359,131.834,0.000,-0.048
16.215,31.380,444.939,32.046,-484.648,4,,1290.611,119.501,0.000,-0.012
16.685,32.816,436.569,33.986,-472.615,4,,1305.396,108.221,0.000,0.004
19.847,25.795,379.741,31.306,-400.193,4,,1398.458,34.303,0.305,-0.157
20.314,23.085,369.997,30.471,-394.312,4,,1409.989,24.824,0.000,-0.195
20.819,24.810,358.808,32.650,-391.258,4,,1421.650,16.933,0.000,-0.148
21.668,21.715,339.284,39.167,-392.554,4,,1442.139,8.544,0.361,0.054
22.186,18.190,329.588,41.798,-393.709,4,,1452.331,5.016,0.000,0.118
22.754,18.775,319.376,42.787,-393.240,3,,1462.532,0.463,0.000,0.116
23.186,22.237,310.617,41.863,-391.241,2,,1471.399,3.445,0.000,0.091
23.605,25.919,301.332,39.594,-387.732,4,,1481.458,4.582,0.000,0.062
24.100,29.823,289.232,36.420,-381.481,4,,1495.432,0.384,0.000,0.029
24.552,32.415,277.576,35.338,-374.398,4,,1509.169,9.169,0.000,0.031
25.239,31.716,258.647,37.641,-361.506,4,,1532.226,32.020,0.000,0.015
25.687,31.528,247.701,39.886,-353.245,4,,1546.127,45.700,0.000,-0.001
26.087,31.475,237.864,41.975,-345.659,4,,1558.723,58.098,0.000,-0.013
