time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.505,6.496,271.437,35.961,-369.961,4,,1516.774,62.595,0.000,0.026
1.038,12.083,267.347,36.406,-367.257,4,,1521.716,57.698,0.000,0.024
1.795,18.519,257.784,37.928,-360.521,4,,1533.533,46.004,0.000,0.012
2.331,22.090,249.054,39.651,-354.011,4,,1544.567,35.114,0.000,0.002
2.911,25.242,238.222,41.915,-345.790,4,,1558.352,21.517,0.000,-0.009
3.312,27.109,229.915,43.572,-339.589,4,,1568.843,11.152,0.000,-0.018
3.712,28.805,220.888,45.138,-333.126,4,,1580.036,0.066,0.000,-0.030
4.112,30.050,211.075,46.373,-326.616,4,Fox Gully,1591.838,2.741,0.000,-0.041
4.585,30.900,198.473,46.702,-319.289,4,Fox Gully,1606.336,0.970,0.000,-0.039
4.985,31.888,187.114,45.727,-313.636,4,Fox Gully,1618.987,1.973,0.000,-0.033
5.453,31.914,173.776,43.590,-307.931,4,Fox Gully,1633.592,4.772,0.000,-0.026
5.947,31.913,159.073,40.716,-302.543,4,Fox Gully,1649.491,8.103,0.000,-0.020
6.433,32.719,144.641,38.327,-297.929,4,Fox Gully,1664.856,12.632,0.000,-0.015
6.840,34.745,131.057,37.348,-294.015,4,Fox Gully,1679.083,18.952,0.000,-0.015
7.242,33.508,118.336,38.161,-290.597,4,Fox Gully,1692.315,26.995,0.000,-0.022
7.662,31.742,105.041,39.967,-287.418,4,Fox Gully,1706.122,36.921,0.000,-0.032
8.111,30.285,91.663,42.179,-284.867,4,Fox Gully,1719.916,47.637,0.633,-0.055
8.668,22.611,77.267,44.233,-283.371,4,,1734.497,59.223,0.284,-0.077
9.185,21.107,66.076,44.717,-283.717,2,,1745.590,67.812,0.000,-0.096
9.628,23.464,56.590,43.643,-285.369,2,,1755.156,74.687,0.000,-0.129
10.028,26.774,47.310,41.219,-288.595,4,,1765.124,80.916,0.000,-0.162
10.479,29.748,37.196,37.691,-294.915,4,,1777.343,86.843,0.000,-0.163
10.942,31.112,27.465,35.389,-305.566,4,,1791.790,91.206,0.000,-0.131
11.356,32.782,21.095,35.729,-316.626,4,,1804.316,92.813,0.000,-0.085
11.807,34.173,15.714,37.409,-330.968,4,,1819.582,91.777,0.000,-0.036
12.207,35.145,12.099,39.032,-344.265,4,,1833.385,86.904,0.000,-0.013
12.607,34.503,8.919,40.346,-357.887,4,,1847.373,81.076,0.204,-0.008
13.045,32.400,5.846,40.809,-372.090,2,,1861.843,74.577,0.000,-0.017
13.457,33.997,3.304,40.034,-385.172,4,,1875.139,68.213,0.000,-0.026
13.858,32.210,1.207,38.377,-398.251,4,,1888.448,61.391,0.000,-0.024
14.667,31.720,-1.485,34.260,-423.886,4,,1914.540,46.682,0.000,-0.007
15.174,34.280,-2.640,32.172,-440.209,4,,1931.068,36.740,0.000,-0.008
15.574,35.996,-3.480,31.361,-454.221,4,,1945.170,27.984,0.000,-0.022
15.991,37.287,-4.026,31.900,-469.597,4,,1960.599,17.793,0.000,-0.019
16.397,38.100,-4.099,33.198,-484.625,4,,1975.695,7.249,0.000,0.003
16.797,38.106,-4.025,34.788,-499.869,4,,1991.033,3.717,0.231,0.044
17.229,33.124,-4.589,36.269,-515.496,4,,2006.739,14.617,0.960,0.076
17.641,31.134,-6.429,36.767,-528.583,2,,2019.890,22.826,0.000,0.078
18.042,32.368,-9.713,36.065,-540.898,2,,2032.571,29.420,0.000,0.104
20.742,34.522,-74.097,30.392,-580.687,4,,2114.111,3.540,0.000,0.011
21.412,36.599,-97.609,30.660,-580.540,4,,2137.583,2.026,0.000,-0.019
21.827,37.737,-113.237,30.676,-580.720,4,,2153.202,3.207,0.000,-0.012
22.297,37.970,-130.641,30.742,-581.344,4,,2170.632,20.621,0.000,0.002
22.698,38.849,-145.998,31.113,-581.999,4,,2186.010,35.991,0.000,0.011
23.111,39.646,-162.482,31.447,-582.523,4,,2202.501,52.484,0.000,0.015
