vehicle,speed,line,launchX,launchY,launchZ,launchSpeed,crestX,crestY,crestZ,crestGround,crestClearance,landingX,landingY,landingZ,landingSpeed,longestFlight,peakY
moto,24,0,968.991,179.881,190.001,22.751,944.352,189.542,189.994,156.983,32.153,897.747,154.267,189.980,17.169,4.120,189.542
moto,24,-6,968.991,179.881,183.998,22.751,944.352,189.542,184.000,156.983,32.153,897.747,154.267,184.002,17.169,4.120,189.542
moto,24,6,968.992,179.880,196.002,22.751,944.353,189.541,196.003,156.983,32.151,897.748,154.267,196.005,17.169,4.120,189.541
moto,24,-11.675,968.991,179.881,178.325,22.751,944.352,189.542,178.332,156.983,32.153,897.747,154.267,178.344,17.169,4.120,189.542
moto,24,11.675,968.989,179.883,201.677,22.751,944.350,189.544,201.673,156.981,32.156,897.746,154.267,201.664,17.169,4.120,189.544
moto,32,0,968.660,180.084,189.992,30.461,944.377,194.005,190.005,157.002,36.484,855.089,151.813,190.045,21.356,4.980,197.619
moto,32,-6,968.660,180.084,184.001,30.461,944.378,194.007,184.007,157.003,36.486,855.097,151.769,184.026,21.258,4.980,197.623
moto,32,6,968.659,180.084,195.997,30.461,944.376,194.006,196.006,157.001,36.486,855.044,151.884,196.035,23.164,4.980,197.621
moto,32,-11.675,968.657,180.085,178.323,30.461,944.369,193.999,178.317,156.996,36.483,855.144,151.892,178.406,18.545,4.980,197.609
moto,32,11.675,968.661,180.097,201.676,30.458,944.450,194.109,201.669,157.058,36.538,854.952,151.876,201.645,23.173,5.000,197.799
moto,40,0,968.728,180.018,189.977,37.971,943.849,196.190,189.972,156.623,38.928,807.731,152.927,189.966,27.343,5.720,207.323
moto,40,-6,968.725,180.020,184.015,37.971,943.848,196.194,184.022,156.623,38.932,807.755,152.979,184.068,26.665,5.720,207.333
moto,40,6,968.726,180.020,195.980,37.971,943.847,196.193,195.974,156.623,38.931,807.185,152.691,195.967,27.545,5.740,207.329
moto,40,-11.675,968.715,180.028,178.335,37.971,943.832,196.194,178.339,156.614,38.938,807.692,152.948,178.364,26.994,5.720,207.319
moto,40,11.675,968.730,180.015,201.669,37.972,943.845,196.182,201.666,156.621,38.920,807.143,152.514,201.648,27.820,5.740,207.306
atv,24,0,969.145,179.773,189.999,22.627,944.325,189.420,190.003,156.962,31.958,898.504,154.201,190.012,16.951,4.120,189.420
atv,24,-6,969.145,179.773,184.001,22.627,944.325,189.420,183.993,156.962,31.958,898.504,154.201,183.981,16.949,4.120,189.420
atv,24,6,969.146,179.773,196.000,22.627,944.325,189.419,195.992,156.962,31.957,898.504,154.201,195.978,16.951,4.120,189.419
atv,24,-11.275,969.144,179.774,178.724,22.627,944.324,189.420,178.717,156.962,31.959,898.504,154.201,178.702,16.949,4.120,189.420
atv,24,11.275,969.145,179.773,201.275,22.627,944.325,189.420,201.268,156.962,31.957,898.507,154.203,201.255,16.876,4.120,189.420
atv,32,0,968.794,179.949,190.001,30.278,944.101,193.902,189.998,156.790,36.748,856.213,151.711,189.984,21.358,4.960,197.243
atv,32,-6,968.793,179.949,184.003,30.278,944.100,193.902,184.002,156.790,36.748,856.209,151.662,183.997,21.379,4.960,197.243
atv,32,6,968.796,179.948,196.001,30.278,944.102,193.901,196.005,156.792,36.745,856.100,151.890,195.978,24.313,4.960,197.242
atv,32,-11.275,968.791,179.951,178.727,30.278,944.098,193.905,178.725,156.788,36.752,856.251,151.705,178.792,19.526,4.960,197.245
atv,32,11.275,968.795,179.948,201.277,30.278,944.102,193.901,201.279,156.791,36.746,856.588,151.980,201.288,24.280,4.940,197.242
atv,40,0,968.298,180.263,190.002,37.577,943.984,195.725,189.994,156.704,38.712,809.803,152.921,189.953,27.090,5.640,206.422
atv,40,-6,968.300,180.261,183.997,37.576,943.986,195.721,184.005,156.705,38.707,809.809,152.925,184.055,26.724,5.640,206.413
atv,40,6,968.301,180.261,195.998,37.576,943.987,195.723,196.002,156.706,38.707,809.259,152.669,196.053,27.502,5.660,206.417
atv,40,-11.275,968.292,180.268,178.723,37.580,943.974,195.728,178.732,156.697,38.723,809.768,152.924,178.781,27.030,5.640,206.420
atv,40,11.275,968.300,180.262,201.274,37.576,943.986,195.722,201.281,156.705,38.708,809.235,152.528,201.322,28.341,5.660,206.415
