time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.020,1064.367,145.989,196.000,31.701,-31.701,-0.063,0.000,0.000,0.000,0.000,4,7.803,1.754,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076934;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076934;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755565;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755565;"
0.040,1063.733,145.989,196.000,31.709,-31.710,-0.013,0.000,0.150,0.000,0.000,4,12.223,1.075,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3534124;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1709604;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.3534124;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1709603;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1709604;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1785768;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1111345;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2935921;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.293592;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1111345;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1531392;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1578595;"
0.060,1063.100,145.991,196.000,31.716,-31.717,0.114,0.000,0.145,0.000,0.000,4,16.071,0.526,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2982922;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1244412;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2982923;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1244412;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1244412;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1244412;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0646133;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2384734;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2384734;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.06461332;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.07711896;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08161542;"
0.080,1062.473,146.003,196.000,31.638,-31.633,0.618,0.000,0.142,0.000,0.000,4,19.419,0.090,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2443734;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.081708;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2443734;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.081708;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08170798;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08170798;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02189608;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1845605;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1845605;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0218961;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02739727;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0273973;"
0.100,1061.847,146.024,196.000,31.595,-31.582,1.053,0.002,0.181,0.000,0.000,4,22.317,4.137,0.999,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1856103;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0641765;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.185607;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06417973;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06417421;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06417963;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004376251;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1257912;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1258008;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004366651;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02666941;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02981552;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0543144;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0543144;"
0.120,1061.221,146.052,196.000,31.590,-31.568,1.403,0.002,0.202,0.000,0.000,4,26.315,5.962,0.998,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1303621;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06068509;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1303524;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06069484;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06068558;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06069058;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0009007771;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.07050535;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.07051316;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0008948976;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002673745;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004478842;"
0.140,1060.594,146.091,196.000,31.551,-31.492,1.984,0.000,0.205,0.000,0.000,4,29.631,5.286,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08631674;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06000269;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0863122;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06000723;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06000754;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06000772;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001762733;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02649962;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02650005;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0001758402;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007927865;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008608133;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05017313;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05017313;"
0.160,1059.966,146.140,196.000,31.534,-31.439,2.456,0.000,0.224,0.000,0.000,4,27.906,2.639,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0651307;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05986706;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0651309;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05986686;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05986691;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05986696;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=4.817406E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005311084;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005312225;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=4.703307E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0007632971;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0009004176;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05005237;"
0.180,1059.338,146.195,196.000,31.541,-31.421,2.756,-0.001,0.233,0.000,0.000,4,24.847,0.790,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06085579;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0617276;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0608613;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0617221;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06086129;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06100526;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00191741;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00105971;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001059351;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.00191777;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001101375;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001101762;"
0.200,1058.710,146.255,196.000,31.547,-31.405,3.013,-0.001,0.230,0.000,0.000,4,22.625,0.649,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06337724;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06892763;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06337703;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06892785;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06337708;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06337714;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.009100334;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003565048;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.003563692;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.009101691;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004712194;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004713804;"
0.220,1058.083,146.320,196.000,31.552,-31.392,3.222,-0.001,0.227,0.000,0.000,4,20.293,0.524,0.996,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07163516;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08064016;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07164035;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08063497;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07163945;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07164055;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02080548;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01181585;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01181362;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02080771;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0121085;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01234284;"
0.240,1057.455,146.388,196.000,31.557,-31.382,3.385,-0.002,0.224,0.000,0.000,4,17.951,0.414,0.996,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08457238;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09599699;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08457749;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09599189;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08457217;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0870052;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03618499;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02477868;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02477584;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03618783;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02588579;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02588916;"
0.260,1056.828,146.458,196.000,31.560,-31.376,3.503,-0.002,0.222,0.000,0.000,4,15.679,0.319,0.996,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1012386;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1142094;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1012434;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1142046;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1012383;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1012425;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05438694;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04143124;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04142805;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05439013;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04473799;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.04474181;"
0.280,1056.200,146.529,196.000,31.564,-31.372,3.577,-0.002,0.220,0.000,0.000,4,13.543,0.237,0.996,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1206266;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1344174;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1206258;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1344182;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1206261;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1206261;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.07460432;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.06080246;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.06079894;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.07460785;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.06191847;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.06227922;"
0.300,1055.573,146.601,196.000,31.567,-31.372,3.613,-0.002,0.218,0.000,0.000,4,11.591,0.168,0.996,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1417411;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1558294;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1417461;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1558244;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1417415;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1417463;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09601626;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08194739;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08194371;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09602061;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0839971;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.08400145;"
0.320,1054.945,146.674,196.000,31.569,-31.375,3.615,-0.002,0.217,0.000,0.000,4,9.859,0.111,0.996,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1638235;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1777683;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1638285;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1777633;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1638232;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1638283;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1179491;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1040275;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1040236;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.117953;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1082543;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1082587;"
0.340,1054.318,146.745,196.000,31.571,-31.380,3.586,-0.002,0.215,0.000,0.000,4,8.366,0.064,0.996,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.186133;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1995781;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1861378;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1995734;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1861381;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1861382;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1397418;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1263038;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1263;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1397456;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1267728;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1267773;"
0.360,1053.690,146.816,196.000,31.573,-31.387,3.533,-0.002,0.214,0.000,0.000,4,7.124,0.026,0.996,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2079028;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2206146;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2079076;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2206098;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2079025;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2079027;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1608251;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1481132;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1481095;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1608288;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1505691;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1505733;"
0.380,1053.062,146.885,196.000,31.576,-31.396,3.460,-0.002,0.213,0.000,0.000,4,6.131,0.003,0.996,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2287644;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2405946;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2287695;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2405896;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2287642;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2292432;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.180766;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1689471;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1689437;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1807694;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1691637;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1694726;"
0.400,1052.434,146.953,196.000,31.577,-31.405,3.373,-0.002,0.212,0.000,0.000,4,5.381,0.026,0.996,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2481565;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.258991;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2481617;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2589858;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2481617;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2481619;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1991741;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1883529;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1883497;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1991773;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1892479;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1892516;"
0.420,1051.805,147.018,196.000,31.579,-31.416,3.274,-0.002,0.211,0.000,0.000,4,4.861,0.043,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2658386;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2756084;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2658382;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2756087;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2658384;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2658385;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2157973;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2060274;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2060246;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2158001;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2083816;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2083848;"
