time,x,y,z,speed,vx,vy,vz,throttle,brake,steer,wheels,suspension,alignment,up,contact
0.016,1064.208,145.989,201.275,39.626,-39.626,-0.069,0.000,0.000,0.000,0.000,4,7.803,1.754,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076934;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.4076934;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2203031;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2357482;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2357483;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.3478748;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1604845;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1707076;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1755565;"
0.036,1063.417,145.989,201.275,39.628,-39.629,0.001,0.000,0.187,0.000,0.000,4,13.233,1.075,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.34066;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.158208;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.34066;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.158208;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.158208;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1918063;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09839237;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2808523;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2808523;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09839239;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1698691;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1745894;"
0.056,1062.631,145.999,201.275,39.532,-39.531,0.511,0.000,0.186,0.000,0.000,4,17.959,0.526,1.000,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2731681;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09931323;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.2731681;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.09931323;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0993132;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1899528;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03950926;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2133695;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.2133694;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03950928;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09180799;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.09630445;"
0.076,1061.850,146.021,201.275,39.433,-39.428,1.126,0.003,0.234,0.000,0.000,4,23.068,4.213,0.999,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1990648;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06772776;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1990427;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06774984;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06772783;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06804964;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007930968;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1392314;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.1392448;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.007917495;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03545329;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.03884536;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05784562;"
0.096,1061.070,146.057,201.275,39.354,-39.328,1.817,0.004,0.284,0.000,0.000,4,29.931,8.127,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.1244763;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06137931;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.12447;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06138561;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06138277;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08273315;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001596273;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.06467044;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.06468111;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001585633;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.009049505;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01067719;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05156976;"
0.116,1060.289,146.114,201.275,39.233,-39.129,2.864,0.001,0.323,0.000,0.000,4,32.861,6.327,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07275093;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.060151;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07275233;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06014957;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06083465;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06083465;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0003333102;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01294419;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01294169;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0003357973;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0006678104;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0009916723;"
0.136,1059.507,146.178,201.275,39.239,-39.108,3.199,-0.001,0.384,0.000,0.000,4,26.079,1.264,0.997,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06240597;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05988648;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06240629;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.05988619;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0598864;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06027269;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=7.305318E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002595415;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.002595037;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=7.342757E-05;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0007065833;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0009818077;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0500786;"
0.156,1058.726,146.248,201.275,39.247,-39.092,3.487,-0.002,0.380,0.000,0.000,4,24.232,0.928,0.996,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06034991;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06478171;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06034945;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06478221;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.0603497;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06158125;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004945495;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0005195101;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.0005190969;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.004945911;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001758185;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.001759082;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.05051932;"
0.176,1057.945,146.322,201.275,39.253,-39.077,3.734,-0.003,0.377,0.000,0.001,4,22.152,0.757,0.996,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06488535;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07454644;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06489532;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07453647;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06662154;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.06980607;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01473735;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005084172;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.005083799;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01473772;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008680003;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.008681566;"
0.196,1057.164,146.401,201.275,39.259,-39.065,3.936,-0.004,0.373,0.000,0.000,4,19.887,0.605,0.996,"Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07514292;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.08854549;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07514144;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.088547;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07514182;Ground_Mountain_2_4:(0.080, 0.997, 0.000) separation=0.07990035;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02875102;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01533431;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01533398;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.02875135;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01585315;Ground_Summit authored launch:(0.080, 0.997, 0.000) separation=0.01585531;"
